Section,,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,154.93,129.89,228.04,139.86,,,,,,,,,,,,
Quarterly Results,Expenses,149.34,129.11,230.81,142.37,,,,,,,,,,,,
Quarterly Results,Operating Profit,5.59,0.78,-2.77,-2.51,,,,,,,,,,,,
Quarterly Results,OPM %,3.61%,0.60%,-1.21%,-1.79%,,,,,,,,,,,,
Quarterly Results,Other Income,0.04,0.02,1.69,0.40,,,,,,,,,,,,
Quarterly Results,Interest,0.45,0.11,0.15,0.24,,,,,,,,,,,,
Quarterly Results,Depreciation,0.33,0.37,0.29,0.20,,,,,,,,,,,,
Quarterly Results,Profit before tax,4.85,0.32,-1.52,-2.55,,,,,,,,,,,,
Quarterly Results,Tax %,29.28%,-37.50%,-18.42%,-27.84%,,,,,,,,,,,,
Quarterly Results,Net Profit,3.43,0.44,-1.24,-1.85,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.10,0.01,-0.04,-0.05,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,653,,,,,,,,,,,,
Profit & Loss,Expenses,,,,652,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,1,,,,,,,,,,,,
Profit & Loss,OPM %,,,,0%,,,,,,,,,,,,
Profit & Loss,Other Income,,,,2,,,,,,,,,,,,
Profit & Loss,Interest,,,,1,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,1,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,1,,,,,,,,,,,,
Profit & Loss,Tax %,,,,29%,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,1,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,0.02,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,0%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,35,,,,,,,,,,,,
Balance Sheet,Reserves,,,,28,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,2,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,12,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,77,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,6,,,,,,,,,,,,
Balance Sheet,CWIP,,,,0,,,,,,,,,,,,
Balance Sheet,Investments,,,,8,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,64,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,77,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,45,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,-12,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,-28,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,18,,,,,,,,,,,,
Ratios,Inventory Days,,,,1,,,,,,,,,,,,
Ratios,Days Payable,,,,7,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,12,,,,,,,,,,,,
Ratios,Working Capital Days,,,,24,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,62.77%,41.93%,41.93%,41.93%,72.37%,72.37%,69.65%,69.65%,69.97%,69.97%,64.77%,62.77%,,,,
Shareholding Pattern (Quarterly),FIIs,0.52%,1.96%,1.80%,2.04%,10.02%,10.61%,11.63%,12.45%,3.43%,5.32%,0.46%,0.47%,,,,
Shareholding Pattern (Quarterly),Public,36.71%,56.11%,56.28%,56.04%,17.60%,17.01%,18.71%,17.90%,26.60%,24.70%,34.77%,36.76%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,124954,197119,197494,192636,1225,3676,18133,21808,66075,64057,105410,128135,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,41.93%,,,,69.65%,,,,62.77%,73.26%,73.26%,73.26%,72.37%
Shareholding Pattern (Yearly),FIIs,,,,2.04%,,,,12.45%,,,,0.47%,0.00%,0.00%,0.00%,6.04%
Shareholding Pattern (Yearly),Public,,,,56.04%,,,,17.90%,,,,36.76%,26.74%,26.74%,26.74%,21.58%
Shareholding Pattern (Yearly),No. of Shareholders,,,,192636,,,,21808,,,,128135,92,98,118,118
,,,,,,,,,,,,,,,,,
