Section,,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,TTM,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,45.97,50.26,47.90,41.83,49.63,48.47,59.32,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,40.90,44.20,40.87,34.36,39.87,40.38,42.82,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,5.07,6.06,7.03,7.47,9.76,8.09,16.50,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,11.03%,12.06%,14.68%,17.86%,19.67%,16.69%,27.82%,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.41,0.39,0.04,0.86,0.21,0.07,0.00,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,0.77,0.84,0.90,0.77,0.85,0.83,0.94,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.96,1.00,1.06,1.04,1.06,1.08,1.13,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,3.75,4.61,5.11,6.52,8.06,6.25,14.43,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,35.20%,44.03%,36.59%,33.90%,37.22%,35.36%,34.58%,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,2.43,2.58,3.24,4.30,5.06,4.03,9.45,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,4.91,3.53,4.43,5.88,6.92,5.51,12.92,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,200,,,,188,,199,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,172,,,,155,,157,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,27,,,,32,,42,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,14%,,,,17%,,21%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,3,,,,1,,1,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,3,,,,3,,3,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,4,,,,4,,4,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,24,,,,26,,35,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,32%,,,,36%,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,16,,,,17,,23,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,21.88,,,,22.75,,31.23,,,,,,,,,,,,,,,,,,
