Section,,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,187,118,184,200,273,252,303,337,412
Quarterly Results,Expenses,169,111,169,179,246,230,276,308,376
Quarterly Results,Operating Profit,18,8,15,20,27,22,27,29,36
Quarterly Results,OPM %,9%,7%,8%,10%,10%,9%,9%,9%,9%
Quarterly Results,Other Income,1,1,1,4,5,5,6,4,13
Quarterly Results,Interest,6,4,3,2,4,2,2,2,1
Quarterly Results,Depreciation,3,2,2,2,2,2,2,4,6
Quarterly Results,Profit before tax,10,3,10,21,26,23,28,26,41
Quarterly Results,Tax %,25%,31%,24%,27%,26%,27%,28%,25%,25%
Quarterly Results,Net Profit,8,2,8,15,19,17,20,20,31
Quarterly Results,EPS in Rs,0.82,0.22,0.62,1.25,1.56,1.37,1.65,1.47,2.32
Quarterly Results,Raw PDF,,,,,,,,,
,,,,,,,,,,
Profit & Loss,Sales,553,,,,776,,,,1304
Profit & Loss,Expenses,507,,,,705,,,,1190
Profit & Loss,Operating Profit,47,,,,71,,,,114
Profit & Loss,OPM %,8%,,,,9%,,,,9%
Profit & Loss,Other Income,3,,,,11,,,,27
Profit & Loss,Interest,11,,,,14,,,,8
Profit & Loss,Depreciation,6,,,,8,,,,15
Profit & Loss,Profit before tax,32,,,,60,,,,118
Profit & Loss,Tax %,28%,,,,26%,,,,26%
Profit & Loss,Net Profit,23,,,,44,,,,88
Profit & Loss,EPS in Rs,2.48,,,,3.59,,,,6.55
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%
,,,,,,,,,,
Balance Sheet,Equity Capital,9,,,,12,,,,13
Balance Sheet,Reserves,40,,,,563,,,,1235
Balance Sheet,Borrowings,141,,,,87,,,,20
Balance Sheet,Other Liabilities,45,,,,34,,,,47
Balance Sheet,Total Liabilities,235,,,,696,,,,1315
Balance Sheet,Fixed Assets,29,,,,23,,,,190
Balance Sheet,CWIP,11,,,,50,,,,0
Balance Sheet,Investments,2,,,,26,,,,25
Balance Sheet,Other Assets,193,,,,597,,,,1100
Balance Sheet,Total Assets,235,,,,696,,,,1315
,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-16,,,,-83,,,,20
Cash Flows,Cash from Investing Activity,-18,,,,-332,,,,-486
Cash Flows,Cash from Financing Activity,53,,,,403,,,,496
Cash Flows,Net Cash Flow,19,,,,-12,,,,30
,,,,,,,,,,
Ratios,Debtor Days,68,,,,82,,,,60
Ratios,Inventory Days,,,,,,,,,
Ratios,Days Payable,,,,,,,,,
Ratios,Cash Conversion Cycle,68,,,,82,,,,60
Ratios,Working Capital Days,72,,,,129,,,,100
Ratios,ROCE %,,,,,17%,,,,13%
,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,44.07%,44.07%,43.93%,43.93%,43.88%,40.09%,44.21%
Shareholding Pattern (Quarterly),FIIs,,,15.60%,13.03%,11.70%,5.95%,6.14%,9.17%,8.44%
Shareholding Pattern (Quarterly),DIIs,,,8.54%,6.56%,4.57%,5.44%,10.69%,14.56%,13.26%
Shareholding Pattern (Quarterly),Public,,,31.80%,36.34%,39.82%,44.68%,39.27%,36.17%,34.09%
Shareholding Pattern (Quarterly),No. of Shareholders,,,21416,29323,46567,67620,75100,91311,106663
,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,43.93%,,,,44.21%
Shareholding Pattern (Yearly),FIIs,,,,,11.70%,,,,8.44%
Shareholding Pattern (Yearly),DIIs,,,,,4.57%,,,,13.26%
Shareholding Pattern (Yearly),Public,,,,,39.82%,,,,34.09%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,46567,,,,106663
,,,,,,,,,,
