Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Feb 2016,Mar 2017,Mar 2018,Mar 2019
Quarterly Results,Sales,178,108,155,94,145,98,103,112,182,113,129,170,183,,,,,,
Quarterly Results,Expenses,147,97,142,80,127,91,94,98,168,101,116,143,153,,,,,,
Quarterly Results,Operating Profit,31,11,12,13,18,6,8,14,14,12,14,27,29,,,,,,
Quarterly Results,OPM %,17%,10%,8%,14%,12%,6%,8%,13%,8%,10%,11%,16%,16%,,,,,,
Quarterly Results,Other Income,2,0,2,1,0,4,4,6,4,5,3,-2,1,,,,,,
Quarterly Results,Interest,1,1,2,1,1,1,0,0,1,1,1,1,1,,,,,,
Quarterly Results,Depreciation,8,8,8,8,10,8,8,8,8,7,8,8,8,,,,,,
Quarterly Results,Profit before tax,24,3,5,5,8,1,4,11,10,8,8,16,22,,,,,,
Quarterly Results,Tax %,25%,12%,27%,26%,35%,12%,29%,28%,34%,28%,24%,29%,30%,,,,,,
Quarterly Results,Net Profit,18,2,4,4,5,1,3,8,6,6,6,11,15,,,,,,
Quarterly Results,EPS in Rs,4.14,0.55,0.83,0.85,1.14,0.29,0.63,1.89,1.55,1.36,1.50,2.78,3.61,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,601,,,,501,,,,494,,,,595,414,402,,,,
Profit & Loss,Expenses,485,,,,447,,,,451,,,,513,316,298,,,,
Profit & Loss,Operating Profit,116,,,,54,,,,44,,,,81,98,104,,,,
Profit & Loss,OPM %,19%,,,,11%,,,,9%,,,,14%,24%,26%,,,,
Profit & Loss,Other Income,9,,,,4,,,,16,,,,7,6,4,,,,
Profit & Loss,Interest,2,,,,4,,,,2,,,,3,2,1,,,,
Profit & Loss,Depreciation,29,,,,34,,,,32,,,,31,23,26,,,,
Profit & Loss,Profit before tax,95,,,,20,,,,26,,,,54,79,81,,,,
Profit & Loss,Tax %,26%,,,,28%,,,,29%,,,,29%,16%,23%,,,,
Profit & Loss,Net Profit,71,,,,15,,,,19,,,,39,66,63,,,,
Profit & Loss,EPS in Rs,16.17,,,,3.38,,,,4.37,,,,9.26,15.08,14.36,,,,
Profit & Loss,Dividend Payout %,25%,,,,30%,,,,23%,,,,16%,20%,24%,,,,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,22,,,,22,,,,22,,,,22,22,22,,,,
Balance Sheet,Reserves,485,,,,484,,,,501,,,,536,380,430,,,,
Balance Sheet,Borrowings,35,,,,38,,,,47,,,,45,21,31,,,,
Balance Sheet,Other Liabilities,104,,,,87,,,,106,,,,130,103,92,,,,
Balance Sheet,Total Liabilities,646,,,,631,,,,676,,,,733,526,575,,,,
Balance Sheet,Fixed Assets,394,,,,365,,,,348,,,,350,331,320,,,,
Balance Sheet,CWIP,0,,,,8,,,,17,,,,11,18,45,,,,
Balance Sheet,Investments,8,,,,13,,,,24,,,,23,0,4,,,,
Balance Sheet,Other Assets,244,,,,245,,,,287,,,,350,176,206,,,,
