Section,,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,67,69,71,87,86,101,136,131,134,158,177,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,53,53,60,182,76,88,118,113,112,134,145,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,13,16,11,-95,10,13,18,17,22,24,31,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,20%,23%,16%,-109%,12%,13%,13%,13%,16%,15%,18%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,1,-2,0,220,10,5,4,4,3,4,5,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,1,1,1,0,0,1,3,2,2,1,0,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,3,2,2,2,1,2,3,4,4,3,3,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,11,11,9,123,19,15,16,15,19,24,33,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,45%,46%,42%,25%,38%,34%,39%,35%,36%,38%,37%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,6,6,5,92,11,10,10,10,12,15,21,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,29.80,,,3.32,3.47,4.26,5.10,7.05,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,22%,32%,45%,19%,40%,45%,45%,43%,38%,34%,27%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,15,20,23,90,94,98,74,79,86,92,106,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,6,8,8,1,1,30,22,15,8,2,2,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,13,10,14,17,20,26,25,27,23,26,29,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,37,41,48,111,118,157,124,124,120,124,140,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,16,13,20,16,16,52,33,30,27,24,29,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,0,3,3,2,7,0,1,1,1,4,1,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,0,0,0,0,46,42,29,25,9,9,9,,,,,,,,,,,,,,,,,,
