Section,,Mar 2016,Mar 2009,Mar 2010,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,29.88,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,24.71,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,5.17,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,17.30%,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,-2.64,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,2.17,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.03,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,0.33,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,203.03%,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,-0.33,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,-0.19,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,98.07,50.18,53.77,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,85.37,43.50,46.39,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,12.70,6.68,7.38,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,12.95%,13.31%,13.73%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,1.45,1.90,1.87,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,8.97,4.00,4.38,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,3.24,2.77,2.93,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,1.94,1.81,1.94,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,34.54%,13.81%,31.44%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,1.27,1.56,1.33,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,0.74,,0.81,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,17.14,13.53,16.33,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,18.93,15.03,12.14,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,60.82,42.12,40.72,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,14.75,11.38,17.13,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,111.64,82.06,86.32,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,38.09,31.59,29.92,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,9.75,14.56,21.35,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,63.79,35.91,35.05,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,111.64,82.06,86.32,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,2.52,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,2.30,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-5.73,,,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-0.91,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,28.17,57.10,45.01,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,126.08,184.06,154.99,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,22.55,47.21,66.46,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,131.70,193.96,133.54,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,154.64,157.33,145.61,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,9.13%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,48.35%,48.35%,48.35%,48.35%,48.35%,45.44%,44.86%,43.69%,43.41%,43.41%,43.41%,43.41%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,51.65%,51.65%,51.64%,51.66%,51.65%,54.56%,55.14%,56.29%,56.59%,56.59%,56.58%,56.58%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,10097,9688,9256,9116,8475,7887,7917,8680,8885,8777,8856,8830,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,48.35%,,,,43.69%,,,,43.41%,48.02%,48.02%,48.02%,48.35%,48.35%,48.35%
Shareholding Pattern (Yearly),FIIs,,,,,,,0.00%,,,,0.03%,,,,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,0.15%
Shareholding Pattern (Yearly),Public,,,,,,,51.66%,,,,56.29%,,,,56.58%,51.98%,51.98%,51.98%,51.65%,51.65%,51.50%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,9116,,,,8680,,,,8830,4986,4995,4975,4983,4980,10378
,,,,,,,,,,,,,,,,,,,,,,
