Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Revenue,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,
Quarterly Results,Financing Profit,,,,,,,,,,,,,,,,,
Quarterly Results,Financing Margin %,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,
Quarterly Results,Gross NPA %,,,,,,,,,,,,,,,,,
Quarterly Results,Net NPA %,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Revenue,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,,,
Profit & Loss,Financing Profit,,,,,,,,,,,,,,,,,
Profit & Loss,Financing Margin %,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowing,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ratios,ROE %,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,39.99%,39.99%,39.99%,39.99%,39.99%,39.98%,39.98%,39.98%,39.98%,39.98%,39.98%,39.98%,,,,,
Shareholding Pattern (Quarterly),FIIs,35.64%,34.20%,32.39%,31.93%,33.53%,32.78%,34.75%,31.20%,28.25%,26.73%,23.23%,22.73%,,,,,
Shareholding Pattern (Quarterly),DIIs,7.13%,12.50%,12.46%,13.24%,12.40%,17.45%,14.79%,12.42%,15.06%,16.33%,15.41%,16.36%,,,,,
Shareholding Pattern (Quarterly),Government,0.00%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,,,,,
Shareholding Pattern (Quarterly),Public,17.25%,13.25%,15.09%,14.77%,14.02%,9.73%,10.42%,16.32%,16.63%,16.89%,21.32%,20.86%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,431920,466387,527503,528876,487855,532157,550138,724153,758715,749315,861228,859472,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,39.99%,,,,39.98%,,,,39.98%,82.28%,82.26%,60.95%,39.99%,39.99%
Shareholding Pattern (Yearly),FIIs,,,,31.93%,,,,31.20%,,,,22.73%,9.61%,5.56%,13.05%,34.91%,34.31%
Shareholding Pattern (Yearly),DIIs,,,,13.24%,,,,12.42%,,,,16.36%,1.80%,10.01%,8.84%,1.91%,4.56%
Shareholding Pattern (Yearly),Government,,,,0.07%,,,,0.07%,,,,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,14.77%,,,,16.32%,,,,20.86%,6.31%,2.16%,17.16%,23.19%,21.14%
Shareholding Pattern (Yearly),No. of Shareholders,,,,528876,,,,724153,,,,859472,442555,198498,309077,471877,458163
,,,,,,,,,,,,,,,,,,
