Section,,Mar 2006,Mar 2007,Mar 2008,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,87,103,117,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,73,90,101,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,14,14,16,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,16%,13%,13%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,1,2,1,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,1,1,2,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,2,2,3,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,12,12,13,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,34%,34%,36%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,8,8,8,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,2.41,2.41,2.42,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,22%,0%,0%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,7,7,7,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,53,61,75,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,5,13,19,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,35,32,31,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,99,113,131,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,23,30,33,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,2,5,11,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,0,0,5,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,75,78,82,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,99,113,131,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,8,7,8,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-6,-13,-12,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-2,6,10,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,0,0,6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,49,46,30,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,510,420,431,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,114,89,83,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,446,377,378,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,181,174,170,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,18%,16%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
