Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021
Quarterly Results,Sales,99,91,126,160,196,153,167,118,143,128,190,174,183,,
Quarterly Results,Expenses,71,66,91,115,147,118,131,95,125,112,153,141,149,,
Quarterly Results,Operating Profit,28,25,35,45,49,35,36,24,18,17,37,33,34,,
Quarterly Results,OPM %,28%,27%,28%,28%,25%,23%,22%,20%,13%,13%,19%,19%,19%,,
Quarterly Results,Other Income,2,4,5,6,5,4,1,0,0,1,1,3,0,,
Quarterly Results,Interest,3,2,3,4,6,6,5,6,6,5,5,6,6,,
Quarterly Results,Depreciation,4,4,5,5,5,6,6,6,6,6,8,9,10,,
Quarterly Results,Profit before tax,24,22,33,42,43,27,26,13,7,6,25,21,19,,
Quarterly Results,Tax %,17%,27%,25%,25%,28%,25%,20%,19%,32%,29%,26%,26%,26%,,
Quarterly Results,Net Profit,20,16,25,31,31,20,20,10,5,4,19,16,14,,
Quarterly Results,EPS in Rs,6.44,5.27,8.03,10.22,10.10,6.61,6.65,3.40,1.58,1.44,6.10,5.19,4.46,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,322,,,,574,,,,581,,,,676,214,246
Profit & Loss,Expenses,228,,,,420,,,,468,,,,555,156,163
Profit & Loss,Operating Profit,94,,,,154,,,,113,,,,121,58,83
Profit & Loss,OPM %,29%,,,,27%,,,,19%,,,,18%,27%,34%
Profit & Loss,Other Income,9,,,,19,,,,6,,,,5,4,1
Profit & Loss,Interest,7,,,,15,,,,22,,,,22,5,7
Profit & Loss,Depreciation,14,,,,19,,,,23,,,,32,12,13
Profit & Loss,Profit before tax,82,,,,140,,,,73,,,,72,46,65
Profit & Loss,Tax %,26%,,,,26%,,,,23%,,,,26%,31%,29%
Profit & Loss,Net Profit,61,,,,103,,,,56,,,,53,31,46
Profit & Loss,EPS in Rs,19.79,,,,33.62,,,,18.24,,,,17.19,11.70,14.98
Profit & Loss,Dividend Payout %,15%,,,,0%,,,,0%,,,,0%,43%,40%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,31,,,,31,,,,31,,,,31,27,31
Balance Sheet,Reserves,489,,,,589,,,,646,,,,698,198,446
Balance Sheet,Borrowings,96,,,,143,,,,191,,,,177,29,17
Balance Sheet,Other Liabilities,112,,,,300,,,,140,,,,224,92,93
Balance Sheet,Total Liabilities,728,,,,1063,,,,1008,,,,1130,346,586
Balance Sheet,Fixed Assets,196,,,,291,,,,341,,,,439,155,167
Balance Sheet,CWIP,44,,,,64,,,,73,,,,53,12,11
Balance Sheet,Investments,62,,,,27,,,,0,,,,0,0,0
Balance Sheet,Other Assets,425,,,,680,,,,594,,,,638,179,409
Balance Sheet,Total Assets,728,,,,1063,,,,1008,,,,1130,346,586
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-30,,,,7,,,,57,,,,101,56,9
Cash Flows,Cash from Investing Activity,-145,,,,-87,,,,-56,,,,-103,-12,-22
Cash Flows,Cash from Financing Activity,54,,,,32,,,,25,,,,-36,-41,180
Cash Flows,Net Cash Flow,-121,,,,-47,,,,27,,,,-37,3,167
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,154,,,,133,,,,92,,,,113,105,114
Ratios,Inventory Days,535,,,,524,,,,420,,,,369,382,467
Ratios,Days Payable,179,,,,296,,,,86,,,,113,155,158
Ratios,Cash Conversion Cycle,510,,,,361,,,,426,,,,369,332,423
Ratios,Working Capital Days,270,,,,230,,,,251,,,,220,109,190
Ratios,ROCE %,16%,,,,22%,,,,11%,,,,11%,,19%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,47.47%,47.18%,47.18%,46.63%,39.14%,39.14%,37.26%,37.26%,36.42%,36.42%,31.42%,31.77%,,
Shareholding Pattern (Quarterly),FIIs,,2.30%,3.18%,3.79%,2.51%,4.52%,8.81%,11.02%,10.57%,7.74%,7.81%,7.01%,6.74%,,
Shareholding Pattern (Quarterly),DIIs,,27.26%,27.74%,28.31%,27.57%,28.02%,24.06%,18.97%,18.07%,15.96%,17.28%,23.17%,24.40%,,
Shareholding Pattern (Quarterly),Public,,22.98%,21.90%,20.72%,23.28%,28.32%,27.98%,32.76%,34.10%,39.88%,38.49%,38.39%,37.10%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,174318,184107,184134,205430,211227,275168,312462,313019,335068,317125,304480,301097,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,50.26%,,,,46.63%,,,,37.26%,,,,31.77%,,50.25%
Shareholding Pattern (Yearly),FIIs,6.19%,,,,2.51%,,,,10.57%,,,,6.74%,,3.02%
Shareholding Pattern (Yearly),DIIs,23.46%,,,,27.57%,,,,18.07%,,,,24.40%,,24.14%
Shareholding Pattern (Yearly),Public,20.10%,,,,23.28%,,,,34.10%,,,,37.10%,,22.58%
Shareholding Pattern (Yearly),No. of Shareholders,160523,,,,205430,,,,313019,,,,301097,,107627
,,,,,,,,,,,,,,,,
