Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022,Mar 2023
Quarterly Results,Sales,548,603,606,709,817,825,925,940,,
Quarterly Results,Expenses,522,567,570,663,756,762,853,868,,
Quarterly Results,Operating Profit,26,36,36,46,61,64,72,72,,
Quarterly Results,OPM %,5%,6%,6%,6%,7%,8%,8%,8%,,
Quarterly Results,Other Income,1,5,1,1,1,4,1,3,,
Quarterly Results,Interest,6,6,7,9,12,6,7,13,,
Quarterly Results,Depreciation,2,2,3,6,5,6,8,11,,
Quarterly Results,Profit before tax,19,32,27,32,44,57,58,51,,
Quarterly Results,Tax %,9%,44%,43%,23%,29%,30%,28%,35%,,
Quarterly Results,Net Profit,17,18,15,24,32,40,42,33,,
Quarterly Results,EPS in Rs,19.00,19.94,1.16,1.83,2.37,2.53,2.66,2.12,,
Quarterly Results,Raw PDF,,,,,,,,,,
,,,,,,,,,,,
Profit & Loss,Sales,,,,2466,,,,3507,2197,2412
Profit & Loss,Expenses,,,,2321,,,,3238,2091,2307
Profit & Loss,Operating Profit,,,,144,,,,269,106,105
Profit & Loss,OPM %,,,,6%,,,,8%,5%,4%
Profit & Loss,Other Income,,,,8,,,,9,7,10
Profit & Loss,Interest,,,,29,,,,38,27,24
Profit & Loss,Depreciation,,,,13,,,,30,8,9
Profit & Loss,Profit before tax,,,,110,,,,210,78,82
Profit & Loss,Tax %,,,,28%,,,,30%,27%,27%
Profit & Loss,Net Profit,,,,79,,,,146,57,60
Profit & Loss,EPS in Rs,,,,6.05,,,,9.24,62.93,65.83
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,0%,0%
,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,64,,,,78,9,9
Balance Sheet,Reserves,,,,359,,,,1191,214,273
Balance Sheet,Borrowings,,,,681,,,,608,413,422
Balance Sheet,Other Liabilities,,,,160,,,,291,59,44
Balance Sheet,Total Liabilities,,,,1264,,,,2168,695,749
Balance Sheet,Fixed Assets,,,,229,,,,693,116,116
Balance Sheet,CWIP,,,,212,,,,178,0,38
Balance Sheet,Investments,,,,1,,,,1,23,23
Balance Sheet,Other Assets,,,,822,,,,1296,557,573
Balance Sheet,Total Assets,,,,1264,,,,2168,695,749
,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,-537,,,,-151,-12,103
Cash Flows,Cash from Investing Activity,,,,-496,,,,-444,-19,-87
Cash Flows,Cash from Financing Activity,,,,1035,,,,595,30,-15
Cash Flows,Net Cash Flow,,,,2,,,,-0,-0,0
,,,,,,,,,,,
Ratios,Debtor Days,,,,53,,,,50,41,38
Ratios,Inventory Days,,,,58,,,,86,55,45
Ratios,Days Payable,,,,11,,,,25,4,2
Ratios,Cash Conversion Cycle,,,,100,,,,110,92,81
Ratios,Working Capital Days,,,,98,,,,108,83,74
Ratios,ROCE %,,,,15%,,,,16%,,16%
,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,77.97%,77.99%,77.99%,77.99%,,
Shareholding Pattern (Quarterly),FIIs,,,,,2.30%,2.91%,2.90%,2.36%,,
Shareholding Pattern (Quarterly),DIIs,,,,,13.07%,14.92%,15.50%,16.19%,,
Shareholding Pattern (Quarterly),Public,,,,,6.67%,4.18%,3.63%,3.47%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,100218,62839,57969,56325,,
,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,77.99%,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,2.36%,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,16.19%,,
Shareholding Pattern (Yearly),Public,,,,,,,,3.47%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,56325,,
,,,,,,,,,,,
