Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,May 2025
Quarterly Results,Sales,233,256,246,306,243,372,326,412,340,394,355,346,,,,,,,,,,
Quarterly Results,Expenses,223,249,236,294,230,344,315,407,316,370,328,333,,,,,,,,,,
Quarterly Results,Operating Profit,10,7,11,11,13,28,11,5,24,24,27,13,,,,,,,,,,
Quarterly Results,OPM %,4%,3%,4%,4%,6%,8%,3%,1%,7%,6%,8%,4%,,,,,,,,,,
Quarterly Results,Other Income,2,3,6,15,6,6,15,23,4,8,6,2,,,,,,,,,,
Quarterly Results,Interest,3,4,5,2,3,3,3,3,3,3,2,4,,,,,,,,,,
Quarterly Results,Depreciation,2,2,2,3,2,2,2,4,2,2,3,2,,,,,,,,,,
Quarterly Results,Profit before tax,6,4,10,21,15,29,21,20,23,27,27,8,,,,,,,,,,
Quarterly Results,Tax %,44%,52%,27%,24%,29%,41%,22%,31%,31%,31%,31%,-39%,,,,,,,,,,
Quarterly Results,Net Profit,4,2,8,16,10,17,16,14,16,19,19,12,,,,,,,,,,
Quarterly Results,EPS in Rs,0.98,0.47,2.05,4.31,2.81,4.49,4.25,3.59,4.17,3.82,3.81,2.35,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,1040,,,,1353,,,,1439,240,266,314,366,499,581,600,513,802,
Profit & Loss,Expenses,,,,996,,,,1289,,,,1348,204,230,268,318,434,519,544,477,776,
Profit & Loss,Operating Profit,,,,44,,,,65,,,,91,36,36,46,48,65,62,56,36,25,
Profit & Loss,OPM %,,,,4%,,,,5%,,,,6%,15%,13%,15%,13%,13%,11%,9%,7%,3%,
Profit & Loss,Other Income,,,,24,,,,49,,,,16,6,10,5,4,6,9,8,11,14,
Profit & Loss,Interest,,,,17,,,,19,,,,12,17,17,20,17,19,24,23,19,20,
Profit & Loss,Depreciation,,,,9,,,,11,,,,10,8,7,5,5,7,6,7,6,8,
Profit & Loss,Profit before tax,,,,42,,,,84,,,,86,18,21,26,30,45,40,34,22,11,
Profit & Loss,Tax %,,,,31%,,,,32%,,,,24%,23%,22%,27%,25%,74%,42%,46%,30%,52%,
Profit & Loss,Net Profit,,,,29,,,,57,,,,65,14,17,19,23,12,23,18,16,5,
Profit & Loss,EPS in Rs,,,,7.80,,,,15.08,,,,13.17,3.86,4.58,5.30,6.30,3.21,6.47,5.02,4.10,1.46,
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,,,,4%,8%,7%,6%,5%,10%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,37,,,,38,,,,50,23,23,23,23,23,23,23,24,37,
Balance Sheet,Reserves,,,,328,,,,388,,,,480,133,148,164,186,197,219,239,263,300,
Balance Sheet,Borrowings,,,,79,,,,41,,,,44,97,110,81,98,145,129,97,113,94,
Balance Sheet,Other Liabilities,,,,336,,,,376,,,,380,54,137,124,178,162,235,230,235,331,
Balance Sheet,Total Liabilities,,,,780,,,,842,,,,953,306,418,392,484,527,605,589,634,762,
Balance Sheet,Fixed Assets,,,,67,,,,65,,,,105,47,39,26,29,31,52,48,47,62,
Balance Sheet,CWIP,,,,2,,,,2,,,,0,3,3,4,4,0,6,4,4,3,
Balance Sheet,Investments,,,,0,,,,0,,,,7,0,0,0,0,0,0,0,0,0,
Balance Sheet,Other Assets,,,,710,,,,775,,,,841,256,375,362,451,496,546,536,582,697,
