Section,,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,268,344,296,292,188,316,291,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,248,325,283,285,190,311,276,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,20,19,13,7,-2,5,15,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,8%,6%,4%,2%,-1%,2%,5%,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,4,6,6,6,3,7,9,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,8,7,5,6,8,15,7,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,3,2,2,2,2,2,2,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,14,16,12,4,-9,-5,15,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,35%,33%,36%,4%,1%,-30%,41%,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,9,10,8,4,-9,-3,9,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,10.01,11.42,8.35,4.19,-9.79,-3.70,9.96,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,40%,35%,30%,4%,-10%,0%,45%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,9,9,9,9,9,9,9,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,64,70,75,78,67,64,71,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,171,165,133,227,156,205,159,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,29,24,21,23,23,22,25,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,273,268,238,336,255,300,264,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,25,23,21,20,26,27,26,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,0,0,1,4,0,0,0,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,248,245,215,313,229,273,239,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,273,268,238,336,255,300,264,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-9,-23,83,-30,-14,38,15,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-44,15,-10,-92,116,-80,25,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,71,-17,-40,94,-80,34,-51,,,,,,,,,,,,,,,,,
