Section,,Dec 2024,Mar 2025,Mar 2023,Mar 2024,Jun 2025
Quarterly Results,Sales,162,157,,,
Quarterly Results,Expenses,43,41,,,
Quarterly Results,Operating Profit,119,116,,,
Quarterly Results,OPM %,73%,74%,,,
Quarterly Results,Other Income,8,14,,,
Quarterly Results,Interest,50,48,,,
Quarterly Results,Depreciation,32,32,,,
Quarterly Results,Profit before tax,45,51,,,
Quarterly Results,Tax %,16%,19%,,,
Quarterly Results,Net Profit,38,41,,,
Quarterly Results,EPS in Rs,0.38,0.42,,,
Quarterly Results,Raw PDF,,,,,
,,,,,,
Profit & Loss,Sales,,621,353,562,
Profit & Loss,Expenses,,163,124,164,
Profit & Loss,Operating Profit,,458,229,398,
Profit & Loss,OPM %,,74%,65%,71%,
Profit & Loss,Other Income,,26,3,8,
Profit & Loss,Interest,,193,138,171,
Profit & Loss,Depreciation,,126,91,114,
Profit & Loss,Profit before tax,,165,3,121,
Profit & Loss,Tax %,,23%,103%,28%,
Profit & Loss,Net Profit,,127,-0,87,
Profit & Loss,EPS in Rs,,1.29,-0.70,865.40,
Profit & Loss,Dividend Payout %,,0%,-5517%,34%,
,,,,,,
Balance Sheet,Equity Capital,,989,1,1,
Balance Sheet,Reserves,,931,952,996,
Balance Sheet,Borrowings,,4009,2374,3273,
Balance Sheet,Other Liabilities,,193,152,253,
Balance Sheet,Total Liabilities,,6123,3479,4523,
Balance Sheet,Fixed Assets,,4600,3030,3491,
Balance Sheet,CWIP,,157,152,53,
Balance Sheet,Investments,,0,0,0,
Balance Sheet,Other Assets,,1365,297,980,
Balance Sheet,Total Assets,,6123,3479,4523,
,,,,,,
Cash Flows,Cash from Operating Activity,,478,172,337,
Cash Flows,Cash from Investing Activity,,-378,-1786,-857,
Cash Flows,Cash from Financing Activity,,386,1629,603,
Cash Flows,Net Cash Flow,,486,16,83,
,,,,,,
Ratios,Debtor Days,,70,72,85,
Ratios,Inventory Days,,,,,
Ratios,Days Payable,,,,,
Ratios,Cash Conversion Cycle,,70,72,85,
Ratios,Working Capital Days,,105,80,67,
Ratios,ROCE %,,7%,,8%,
,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,86.94%
Shareholding Pattern (Quarterly),FIIs,,,,,6.07%
Shareholding Pattern (Quarterly),DIIs,,,,,4.63%
Shareholding Pattern (Quarterly),Public,,,,,2.37%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,116554
,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,86.94%
Shareholding Pattern (Yearly),FIIs,,,,,6.07%
Shareholding Pattern (Yearly),DIIs,,,,,4.63%
Shareholding Pattern (Yearly),Public,,,,,2.37%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,116554
,,,,,,
