Section,,Dec 2005,Dec 2006,Dec 2007,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,235,285,339,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,186,220,259,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,49,65,80,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,21%,23%,24%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,15,6,8,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,1,1,1,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,4,5,6,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,58,65,81,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,32%,34%,34%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,40,43,54,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,25.78,27.71,34.84,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,101%,0%,44%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,15,15,15,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,19,61,89,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,11,0,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,89,53,58,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,135,130,162,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,35,49,61,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,6,7,6,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,0,8,17,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,93,67,78,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,135,130,162,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,35,42,43,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-3,-25,-25,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-1,-52,-24,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,30,-36,-5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,8,12,10,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,71,56,67,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,66,78,70,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,13,-10,8,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,-80,-9,6,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,108%,91%,,,,,,,,,,,,,,,,,,
