Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2018,Mar 2019,Mar 2020
Quarterly Results,Sales,26.54,31.90,44.29,45.36,41.67,58.06,68.93,65.51,58.11,69.31,70.57,66.90,65.91,,,,
Quarterly Results,Expenses,23.29,27.95,38.65,38.94,36.44,51.57,60.55,57.90,52.92,61.95,62.70,59.85,59.06,,,,
Quarterly Results,Operating Profit,3.25,3.95,5.64,6.42,5.23,6.49,8.38,7.61,5.19,7.36,7.87,7.05,6.85,,,,
Quarterly Results,OPM %,12.25%,12.38%,12.73%,14.15%,12.55%,11.18%,12.16%,11.62%,8.93%,10.62%,11.15%,10.54%,10.39%,,,,
Quarterly Results,Other Income,0.16,0.24,0.06,0.08,0.24,0.52,0.22,0.43,0.22,0.18,0.17,0.12,0.33,,,,
Quarterly Results,Interest,1.08,1.13,1.29,1.42,1.11,1.37,1.50,1.74,1.67,2.38,2.45,2.47,2.94,,,,
Quarterly Results,Depreciation,0.75,0.66,0.79,1.03,0.98,1.09,1.45,1.63,2.02,2.74,2.88,2.90,2.83,,,,
Quarterly Results,Profit before tax,1.58,2.40,3.62,4.05,3.38,4.55,5.65,4.67,1.72,2.42,2.71,1.80,1.41,,,,
Quarterly Results,Tax %,43.04%,13.75%,16.30%,28.64%,39.35%,31.21%,34.51%,34.48%,-4.65%,28.93%,34.32%,1.11%,7.09%,,,,
Quarterly Results,Net Profit,0.82,1.97,2.96,2.83,2.02,3.08,3.64,2.96,1.79,1.72,1.78,1.78,1.31,,,,
Quarterly Results,EPS in Rs,0.77,1.86,2.80,2.67,1.91,2.91,3.28,2.66,1.61,1.54,1.59,1.59,1.17,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,86,,,,163,,,,251,,,,273,43,,,
Profit & Loss,Expenses,78,,,,142,,,,223,,,,244,44,,,
Profit & Loss,Operating Profit,8,,,,21,,,,28,,,,29,-2,,,
Profit & Loss,OPM %,9%,,,,13%,,,,11%,,,,11%,-4%,,,
Profit & Loss,Other Income,1,,,,1,,,,1,,,,1,1,,,
Profit & Loss,Interest,5,,,,5,,,,6,,,,10,6,,,
Profit & Loss,Depreciation,2,,,,3,,,,6,,,,11,3,,,
Profit & Loss,Profit before tax,1,,,,13,,,,17,,,,8,-9,,,
Profit & Loss,Tax %,28%,,,,25%,,,,34%,,,,21%,-26%,,,
Profit & Loss,Net Profit,1,,,,10,,,,11,,,,7,-6,,,
Profit & Loss,EPS in Rs,0.60,,,,9.24,,,,9.77,,,,5.87,-5.95,,,
Profit & Loss,Dividend Payout %,0%,,,,11%,,,,0%,,,,0%,0%,,,
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,11,,,,11,,,,11,,,,11,11,,,
Balance Sheet,Reserves,8,,,,17,,,,45,,,,60,7,,,
Balance Sheet,Borrowings,32,,,,35,,,,63,,,,124,35,,,
Balance Sheet,Other Liabilities,25,,,,32,,,,42,,,,51,23,,,
Balance Sheet,Total Liabilities,76,,,,95,,,,161,,,,246,75,,,
Balance Sheet,Fixed Assets,10,,,,15,,,,40,,,,52,7,,,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,23,0,,,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,,,
Balance Sheet,Other Assets,66,,,,79,,,,121,,,,171,68,,,
Balance Sheet,Total Assets,76,,,,95,,,,161,,,,246,75,,,
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,13,,,,12,,,,-7,,,,-5,-1,,,
Cash Flows,Cash from Investing Activity,-5,,,,-9,,,,-30,,,,-26,2,,,
Cash Flows,Cash from Financing Activity,-8,,,,-3,,,,38,,,,31,-2,,,
Cash Flows,Net Cash Flow,0,,,,0,,,,-0,,,,-0,-0,,,
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,128,,,,72,,,,71,,,,97,292,,,
Ratios,Inventory Days,176,,,,132,,,,149,,,,168,334,,,
Ratios,Days Payable,161,,,,115,,,,97,,,,106,300,,,
Ratios,Cash Conversion Cycle,142,,,,88,,,,123,,,,159,326,,,
Ratios,Working Capital Days,146,,,,88,,,,103,,,,141,338,,,
Ratios,ROCE %,11%,,,,32%,,,,25%,,,,12%,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,59.68%,56.30%,54.12%,54.12%,51.24%,51.24%,48.81%,48.71%,48.71%,48.34%,48.34%,48.34%,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.08%,,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.00%,0.00%,1.18%,1.18%,2.48%,2.52%,2.10%,1.89%,1.37%,1.34%,,,,
Shareholding Pattern (Quarterly),Public,,40.32%,43.70%,45.88%,45.87%,47.58%,47.58%,48.71%,48.78%,49.19%,49.77%,50.28%,50.23%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,976,1435,2329,3080,3996,4299,5213,7469,10376,12465,12558,12117,,,,
