Section,,Jun 2022,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,433,472,489,527,512,501,490,557,589,,,
Quarterly Results,Expenses,336,353,369,395,380,372,371,430,454,,,
Quarterly Results,Operating Profit,97,119,120,132,133,129,119,127,135,,,
Quarterly Results,OPM %,22%,25%,25%,25%,26%,26%,24%,23%,23%,,,
Quarterly Results,Other Income,4,8,11,4,7,6,13,12,13,,,
Quarterly Results,Interest,0,1,1,0,1,1,0,0,0,,,
Quarterly Results,Depreciation,12,12,13,15,18,14,15,15,18,,,
Quarterly Results,Profit before tax,89,115,118,121,121,120,117,124,130,,,
Quarterly Results,Tax %,26%,28%,26%,25%,21%,26%,26%,26%,26%,,,
Quarterly Results,Net Profit,66,83,87,91,96,89,87,92,96,,,
Quarterly Results,EPS in Rs,61880.00,3.97,4.10,4.00,4.18,3.89,3.70,3.91,3.99,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,
,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,2000,,,,2136,1049,1359,1797
Profit & Loss,Expenses,,,,,1491,,,,1626,773,1026,1376
Profit & Loss,Operating Profit,,,,,509,,,,510,277,334,421
Profit & Loss,OPM %,,,,,25%,,,,24%,26%,25%,23%
Profit & Loss,Other Income,,,,,25,,,,45,10,16,17
Profit & Loss,Interest,,,,,3,,,,1,2,3,2
Profit & Loss,Depreciation,,,,,57,,,,62,49,48,50
Profit & Loss,Profit before tax,,,,,475,,,,491,236,299,385
Profit & Loss,Tax %,,,,,25%,,,,26%,30%,27%,26%
Profit & Loss,Net Profit,,,,,356,,,,365,166,220,285
Profit & Loss,EPS in Rs,,,,,15.60,,,,15.34,151200.00,204000.00,13.65
Profit & Loss,Dividend Payout %,,,,,10%,,,,10%,0%,0%,0%
,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,106,,,,110,0.01,0.01,98
Balance Sheet,Reserves,,,,,1043,,,,2057,-107,88,239
Balance Sheet,Borrowings,,,,,371,,,,5,334,463,335
Balance Sheet,Other Liabilities,,,,,450,,,,469,917,780,875
Balance Sheet,Total Liabilities,,,,,1970,,,,2642,1144,1331,1547
Balance Sheet,Fixed Assets,,,,,362,,,,616,259,259,272
Balance Sheet,CWIP,,,,,180,,,,19,4,15,26
Balance Sheet,Investments,,,,,170,,,,600,120,150,177
Balance Sheet,Other Assets,,,,,1258,,,,1408,761,908,1073
Balance Sheet,Total Assets,,,,,1970,,,,2642,1144,1331,1547
,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,231,,,,262,194,187,227
Cash Flows,Cash from Investing Activity,,,,,-256,,,,-553,-53,-262,-557
Cash Flows,Cash from Financing Activity,,,,,26,,,,311,-133,94,324
Cash Flows,Net Cash Flow,,,,,2,,,,20,8,20,-6
,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,111,,,,112,129,109,94
Ratios,Inventory Days,,,,,202,,,,186,236,233,197
Ratios,Days Payable,,,,,63,,,,53,76,78,62
Ratios,Cash Conversion Cycle,,,,,250,,,,245,290,265,230
Ratios,Working Capital Days,,,,,169,,,,281,-8,65,155
Ratios,ROCE %,,,,,36%,,,,24%,,53%,48%
,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,78.06%,78.06%,78.06%,75.00%,75.00%,75.00%,,,
Shareholding Pattern (Quarterly),FIIs,,,,3.02%,4.43%,5.88%,7.70%,7.47%,6.51%,,,
Shareholding Pattern (Quarterly),DIIs,,,,12.75%,12.44%,12.08%,13.57%,13.54%,13.80%,,,
Shareholding Pattern (Quarterly),Public,,,,6.17%,5.07%,3.98%,3.73%,3.97%,4.69%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,151407,132505,117810,118258,117627,122650,,,
,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,78.06%,,,,75.00%,,,
Shareholding Pattern (Yearly),FIIs,,,,,4.43%,,,,6.51%,,,
Shareholding Pattern (Yearly),DIIs,,,,,12.44%,,,,13.80%,,,
Shareholding Pattern (Yearly),Public,,,,,5.07%,,,,4.69%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,132505,,,,122650,,,
,,,,,,,,,,,,,
