Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,205,122,259,176,118,135,206,221,302,154,141,121,408,,,,
Quarterly Results,Expenses,141,110,229,175,126,104,177,202,312,157,142,136,359,,,,
Quarterly Results,Operating Profit,64,13,30,1,-8,31,29,19,-10,-3,-1,-15,49,,,,
Quarterly Results,OPM %,31%,10%,12%,0%,-7%,23%,14%,9%,-3%,-2%,-1%,-13%,12%,,,,
Quarterly Results,Other Income,32,33,17,46,54,28,25,24,56,60,15,59,40,,,,
Quarterly Results,Interest,26,26,27,23,31,33,26,28,31,27,27,27,24,,,,
Quarterly Results,Depreciation,2,2,2,2,2,2,2,2,3,3,3,3,2,,,,
Quarterly Results,Profit before tax,68,17,18,22,14,24,26,14,12,27,-16,14,63,,,,
Quarterly Results,Tax %,5%,40%,-8%,-1%,-15%,32%,22%,-34%,-63%,36%,-95%,8%,24%,,,,
Quarterly Results,Net Profit,65,10,20,22,16,17,20,18,20,17,-1,13,48,,,,
Quarterly Results,EPS in Rs,3.82,0.52,1.15,1.32,0.90,0.98,1.19,1.09,1.19,1.02,-0.06,0.76,2.80,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,433,,,,674,,,,865,,,,823,368,650,572,432
Profit & Loss,Expenses,358,,,,631,,,,784,,,,794,367,652,582,413
Profit & Loss,Operating Profit,74,,,,43,,,,81,,,,29,1,-2,-10,18
Profit & Loss,OPM %,17%,,,,6%,,,,9%,,,,4%,0%,-0%,-2%,4%
Profit & Loss,Other Income,87,,,,142,,,,123,,,,173,408,203,63,72
Profit & Loss,Interest,122,,,,106,,,,118,,,,105,94,113,128,129
Profit & Loss,Depreciation,7,,,,8,,,,9,,,,10,2,5,6,7
Profit & Loss,Profit before tax,33,,,,72,,,,76,,,,88,312,83,-82,-45
Profit & Loss,Tax %,45%,,,,5%,,,,1%,,,,12%,-10%,41%,6%,51%
Profit & Loss,Net Profit,18,,,,68,,,,75,,,,77,343,49,-86,-68
Profit & Loss,EPS in Rs,0.58,,,,3.88,,,,4.43,,,,4.53,23.15,3.39,-5.80,-4.60
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,
