Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Quarterly Results,Sales,65179,85806,49497,80270,94474,115448,85689,38066,65477,91445,60356,66924,96630,,,,,,,,,,
Quarterly Results,Expenses,64862,85666,49192,79852,94025,115046,85354,38016,65465,91609,60318,66847,96564,,,,,,,,,,
Quarterly Results,Operating Profit,318,141,305,418,450,402,334,50,12,-164,37,77,67,,,,,,,,,,
Quarterly Results,OPM %,0%,0%,1%,1%,0%,0%,0%,0%,0%,-0%,0%,0%,0%,,,,,,,,,,
Quarterly Results,Other Income,0,38,1,1,1,21,12,14,12,204,21,22,21,,,,,,,,,,
Quarterly Results,Interest,0,0,0,0,0,19,0,0,0,43,30,32,33,,,,,,,,,,
Quarterly Results,Depreciation,13,23,23,24,27,26,31,11,11,11,11,12,12,,,,,,,,,,
Quarterly Results,Profit before tax,304,157,283,395,423,377,315,53,13,-14,17,54,43,,,,,,,,,,
Quarterly Results,Tax %,1%,12%,4%,6%,0%,3%,2%,14%,2%,129%,32%,16%,18%,,,,,,,,,,
Quarterly Results,Net Profit,300,139,272,373,422,366,309,45,12,-32,12,46,36,,,,,,,,,,
Quarterly Results,EPS in Rs,10.17,4.69,9.20,12.63,14.28,12.40,10.48,1.53,0.42,-1.07,0.40,1.54,1.20,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,243128,,,,339690,,,,280676,,,,31226,29197,50463,165179,242132,187686,175763,195600,258306,315355
Profit & Loss,Expenses,,241949,,,,338054,,,,280348,,,,30437,28414,49196,163452,240382,185802,173967,194051,257182,315338
Profit & Loss,Operating Profit,,1179,,,,1636,,,,328,,,,789,783,1266,1727,1750,1884,1796,1549,1124,16
Profit & Loss,OPM %,,0%,,,,0%,,,,0%,,,,3%,3%,3%,1%,1%,1%,1%,1%,0%,0%
Profit & Loss,Other Income,,40,,,,24,,,,242,,,,3,1,0,42,48,62,66,7,3,268
Profit & Loss,Interest,,90,,,,81,,,,139,,,,300,363,478,578,430,537,442,222,142,138
Profit & Loss,Depreciation,,91,,,,101,,,,64,,,,2,16,62,79,65,68,74,73,90,45
Profit & Loss,Profit before tax,,1038,,,,1478,,,,367,,,,490,404,726,1112,1303,1342,1346,1261,894,101
Profit & Loss,Tax %,,3%,,,,3%,,,,9%,,,,8%,11%,10%,4%,5%,6%,4%,4%,5%,
Profit & Loss,Net Profit,,1009,,,,1432,,,,336,,,,453,357,655,1069,1244,1266,1292,1206,845,61
Profit & Loss,EPS in Rs,,34.18,,,,48.51,,,,11.36,,,,15.33,12.11,22.18,36.21,42.12,42.87,43.76,40.84,28.61,2.07
Profit & Loss,Dividend Payout %,,3%,,,,0%,,,,0%,,,,7%,8%,5%,3%,3%,2%,2%,2%,4%,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,30,,,,30,,,,30,,30,,30,30,30,30,30,30,30,30,30,
Balance Sheet,Reserves,,12416,,,,14694,,,,15217,,15507,,2385,2713,3332,4362,5606,7145,8811,10504,11192,
Balance Sheet,Borrowings,,815,,,,723,,,,655,,736,,2729,3118,3842,4594,5552,8717,6198,1278,1021,
Balance Sheet,Other Liabilities,,10655,,,,7428,,,,6170,,6881,,8697,5378,8877,11956,12943,7643,13803,18916,11230,
Balance Sheet,Total Liabilities,,23916,,,,22875,,,,22072,,23154,,13840,11238,16081,20941,24131,23535,28841,30728,23473,
Balance Sheet,Fixed Assets,,1449,,,,2038,,,,2071,,2142,,69,168,264,1287,1199,1289,1452,1521,1447,
Balance Sheet,CWIP,,6,,,,38,,,,9,,10,,0,0,0,62,88,5,2,1,12,
Balance Sheet,Investments,,1113,,,,1241,,,,1292,,1298,,3,13,60,841,919,1020,1088,1142,1041,
Balance Sheet,Other Assets,,21348,,,,19557,,,,18700,,19703,,13767,11056,15756,18752,21925,21221,26300,28064,20973,
Balance Sheet,Total Assets,,23916,,,,22875,,,,22072,,23154,,13840,11238,16081,20941,24131,23535,28841,30728,23473,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,-4,,,,457,,,,316,,,,2849,-2502,4185,2069,2474,-2870,3482,2572,-10252,
Cash Flows,Cash from Investing Activity,,86,,,,10,,,,69,,,,-1,-125,-204,-1551,-224,-97,101,324,-54,
Cash Flows,Cash from Financing Activity,,-326,,,,-186,,,,-208,,,,-857,-4,211,138,528,2596,-2990,-5172,-429,
Cash Flows,Net Cash Flow,,-244,,,,281,,,,177,,,,1991,-2632,4192,657,2777,-371,594,-2276,-10735,
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,16,,,,11,,,,15,,,,27,30,22,11,8,8,13,17,15,
Ratios,Inventory Days,,12,,,,7,,,,5,,,,9,7,4,2,2,3,8,9,11,
Ratios,Days Payable,,16,,,,8,,,,8,,,,97,68,65,24,18,14,28,35,16,
Ratios,Cash Conversion Cycle,,12,,,,10,,,,12,,,,-60,-30,-39,-11,-9,-3,-7,-9,9,
Ratios,Working Capital Days,,13,,,,11,,,,13,,,,-56,-20,-33,-10,-8,-1,-5,-7,11,
Ratios,ROCE %,,9%,,,,11%,,,,3%,,,,,14%,18%,20%,17%,14%,12%,11%,9%,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,54.05%,54.05%,54.05%,54.05%,54.05%,54.05%,54.05%,54.55%,54.55%,54.55%,54.55%,54.55%,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,17.72%,17.70%,17.62%,17.67%,17.60%,16.50%,15.38%,15.78%,15.08%,14.72%,14.81%,14.70%,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,11.43%,11.39%,11.35%,11.27%,11.26%,11.16%,11.08%,11.07%,11.08%,11.12%,11.09%,11.12%,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,16.80%,16.87%,16.97%,17.00%,17.08%,18.29%,19.49%,18.60%,19.28%,19.61%,19.54%,19.63%,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,42341,45107,46725,40131,40742,73775,152938,209623,213557,211547,211937,216643,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,54.05%,,,,54.05%,,,,54.55%,,,54.55%,,,,,53.94%,53.94%,54.03%,54.04%,54.05%,
Shareholding Pattern (Yearly),FIIs,,17.72%,,,,17.60%,,,,15.08%,,,14.70%,,,,,17.89%,17.84%,17.69%,17.75%,16.89%,
Shareholding Pattern (Yearly),DIIs,,11.43%,,,,11.26%,,,,11.08%,,,11.12%,,,,,2.59%,5.67%,6.70%,7.49%,9.14%,
Shareholding Pattern (Yearly),Public,,16.80%,,,,17.08%,,,,19.28%,,,19.63%,,,,,25.58%,22.55%,21.58%,20.72%,19.93%,
Shareholding Pattern (Yearly),No. of Shareholders,,42341,,,,40742,,,,213557,,,216643,,,,,30779,26637,24814,22472,46038,
,,,,,,,,,,,,,,,,,,,,,,,,
