Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021
Quarterly Results,Sales,400,419,577,508,462,482,609,624,614,572,721,715,614,,
Quarterly Results,Expenses,360,388,513,453,400,416,521,549,453,481,614,659,539,,
Quarterly Results,Operating Profit,41,31,64,55,62,66,88,75,161,92,107,55,74,,
Quarterly Results,OPM %,10%,7%,11%,11%,13%,14%,14%,12%,26%,16%,15%,8%,12%,,
Quarterly Results,Other Income,6,5,6,12,5,6,6,6,12,7,8,8,10,,
Quarterly Results,Interest,2,3,3,3,3,2,3,3,3,3,3,4,5,,
Quarterly Results,Depreciation,11,11,11,13,12,13,16,16,15,18,19,21,25,,
Quarterly Results,Profit before tax,33,22,56,52,51,56,75,62,155,78,93,39,55,,
Quarterly Results,Tax %,27%,28%,27%,23%,26%,26%,20%,26%,25%,26%,26%,28%,27%,,
Quarterly Results,Net Profit,24,16,41,40,38,41,60,46,116,58,69,28,40,,
Quarterly Results,EPS in Rs,1.00,0.65,1.66,1.63,1.51,1.67,2.45,1.86,4.64,2.34,2.76,1.14,1.78,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1611,,,,1966,,,,2329,,,,2622,1075,1311
Profit & Loss,Expenses,1471,,,,1752,,,,1937,,,,2294,979,1166
Profit & Loss,Operating Profit,140,,,,214,,,,392,,,,328,96,145
Profit & Loss,OPM %,9%,,,,11%,,,,17%,,,,13%,9%,11%
Profit & Loss,Other Income,10,,,,23,,,,27,,,,33,8,11
Profit & Loss,Interest,7,,,,11,,,,11,,,,15,6,3
Profit & Loss,Depreciation,38,,,,49,,,,60,,,,82,34,33
Profit & Loss,Profit before tax,105,,,,177,,,,348,,,,264,64,120
Profit & Loss,Tax %,28%,,,,23%,,,,24%,,,,27%,11%,25%
Profit & Loss,Net Profit,76,,,,136,,,,263,,,,194,56,90
Profit & Loss,EPS in Rs,3.12,,,,5.50,,,,10.61,,,,8.01,23.18,37.10
Profit & Loss,Dividend Payout %,3%,,,,14%,,,,9%,,,,12%,9%,5%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,25,,,,25,,,,25,,,,25,24,24
Balance Sheet,Reserves,796,,,,931,,,,1193,,,,1358,505,581
Balance Sheet,Borrowings,160,,,,170,,,,166,,,,231,54,87
Balance Sheet,Other Liabilities,122,,,,146,,,,145,,,,323,94,124
Balance Sheet,Total Liabilities,1102,,,,1271,,,,1530,,,,1937,677,817
Balance Sheet,Fixed Assets,511,,,,661,,,,812,,,,989,407,423
Balance Sheet,CWIP,49,,,,70,,,,12,,,,96,3,36
Balance Sheet,Investments,126,,,,20,,,,31,,,,56,36,69
Balance Sheet,Other Assets,416,,,,520,,,,674,,,,796,230,290
Balance Sheet,Total Assets,1102,,,,1271,,,,1530,,,,1937,677,817
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,57,,,,171,,,,245,,,,193,55,117
Cash Flows,Cash from Investing Activity,-232,,,,-123,,,,-199,,,,-131,-58,-114
Cash Flows,Cash from Financing Activity,169,,,,-5,,,,-54,,,,-56,-26,-9
Cash Flows,Net Cash Flow,-5,,,,43,,,,-8,,,,7,-29,-6
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,17,,,,15,,,,16,,,,14,14,13
Ratios,Inventory Days,27,,,,21,,,,20,,,,22,22,26
Ratios,Days Payable,16,,,,14,,,,14,,,,14,8,20
Ratios,Cash Conversion Cycle,28,,,,21,,,,22,,,,22,27,20
Ratios,Working Capital Days,37,,,,38,,,,34,,,,56,15,16
Ratios,ROCE %,13%,,,,18%,,,,29%,,,,18%,,19%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,75.97%,75.97%,75.37%,75.21%,75.18%,75.10%,75.10%,74.98%,74.98%,74.92%,,
Shareholding Pattern (Quarterly),FIIs,,,,3.71%,3.45%,5.46%,7.02%,6.89%,7.66%,7.51%,7.48%,7.70%,7.33%,,
Shareholding Pattern (Quarterly),DIIs,,,,9.90%,10.57%,12.42%,13.55%,13.96%,13.51%,13.32%,12.78%,11.96%,12.21%,,
Shareholding Pattern (Quarterly),Public,,,,10.42%,10.03%,6.74%,4.22%,3.99%,3.72%,4.06%,4.76%,5.38%,5.57%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,92561,83142,75172,85411,86930,85927,92097,109780,142514,144000,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,75.97%,,,,75.10%,,,,74.92%,,
Shareholding Pattern (Yearly),FIIs,,,,,3.45%,,,,7.66%,,,,7.33%,,
Shareholding Pattern (Yearly),DIIs,,,,,10.57%,,,,13.51%,,,,12.21%,,
Shareholding Pattern (Yearly),Public,,,,,10.03%,,,,3.72%,,,,5.57%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,83142,,,,85927,,,,144000,,
,,,,,,,,,,,,,,,,
