Section,,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2012,Mar 2013,Mar 2014,Mar 2016,TTM,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,84,84,82,86,88,90,90,92,99,99,108,106,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,57,53,51,55,54,55,56,59,64,60,67,69,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,28,31,31,30,34,35,34,33,35,39,40,38,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,33%,37%,38%,35%,39%,39%,38%,36%,35%,39%,38%,35%,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,1,0,3,4,10,4,3,2,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,8,7,10,8,8,8,7,9,8,7,5,1,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,4,4,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,17,21,18,22,32,26,26,22,26,28,30,31,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,7%,40%,10%,9%,16%,10%,12%,10%,22%,21%,18%,25%,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,16,12,17,20,27,24,22,19,20,22,25,23,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,8.60,1.13,1.52,1.40,1.87,1.65,1.57,1.36,1.42,1.52,1.74,1.56,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,329,,,,,,,371,,,,268,333,349,347,412,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,208,,,,,,,232,,,,178,232,225,214,260,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,121,,,,,,,139,,,,90,102,124,134,152,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,37%,,,,,,,38%,,,,34%,31%,36%,39%,37%,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,1,,,,,,,11,,,,1,5,21,23,5,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,26,,,,,,,31,,,,30,32,33,34,22,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,15,,,,,,,20,,,,8,10,13,19,21,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,80,,,,,,,99,,,,53,64,99,103,115,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,15%,,,,,,,14%,,,,11%,11%,9%,17%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,68,,,,,,,86,,,,47,57,90,86,90,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,6.24,,,,,,,6.00,,,,34.95,38.36,49.23,6.00,6.24,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,0%,,,,,,,0%,,,,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
