Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Mar 2025
Quarterly Results,Sales,16.68,21.50,21.06,18.64,26.64,19.25,17.27,19.46,13.44,14.34,12.91,12.96,15.27,,,,,,,,,
Quarterly Results,Expenses,15.29,20.07,19.79,18.19,24.86,17.59,14.18,18.44,12.25,12.55,11.18,12.71,14.06,,,,,,,,,
Quarterly Results,Operating Profit,1.39,1.43,1.27,0.45,1.78,1.66,3.09,1.02,1.19,1.79,1.73,0.25,1.21,,,,,,,,,
Quarterly Results,OPM %,8.33%,6.65%,6.03%,2.41%,6.68%,8.62%,17.89%,5.24%,8.85%,12.48%,13.40%,1.93%,7.92%,,,,,,,,,
Quarterly Results,Other Income,0.31,0.21,0.23,0.42,0.27,0.27,0.41,0.31,0.29,0.67,0.35,0.74,0.86,,,,,,,,,
Quarterly Results,Interest,0.00,0.00,0.01,0.01,0.02,0.01,0.01,0.03,0.01,0.02,0.00,0.02,0.01,,,,,,,,,
Quarterly Results,Depreciation,0.07,0.08,0.07,0.07,0.07,0.08,0.06,0.07,0.08,0.14,0.19,0.20,0.20,,,,,,,,,
Quarterly Results,Profit before tax,1.63,1.56,1.42,0.79,1.96,1.84,3.43,1.23,1.39,2.30,1.89,0.77,1.86,,,,,,,,,
Quarterly Results,Tax %,34.97%,22.44%,28.17%,31.65%,27.55%,26.63%,25.66%,30.08%,27.34%,21.74%,30.16%,23.38%,25.81%,,,,,,,,,
Quarterly Results,Net Profit,1.07,1.21,1.04,0.54,1.41,1.36,2.55,0.88,1.01,1.80,1.31,0.58,1.37,,,,,,,,,
Quarterly Results,EPS in Rs,0.21,0.23,0.20,0.11,0.27,0.26,0.49,0.17,0.20,0.35,0.25,0.11,0.27,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,66.62,,,,85.59,,,,64.51,,,,32.83,32.34,33.81,35.28,44.40,44.07,44.27,55.48,
Profit & Loss,Expenses,,61.63,,,,80.42,,,,57.41,,,,33.30,30.24,30.20,30.49,40.65,40.55,39.71,50.50,
Profit & Loss,Operating Profit,,4.99,,,,5.17,,,,7.10,,,,-0.47,2.10,3.61,4.79,3.75,3.52,4.56,4.98,
Profit & Loss,OPM %,,7.49%,,,,6.04%,,,,11.01%,,,,-1.43%,6.49%,10.68%,13.58%,8.45%,7.99%,10.30%,8.98%,
Profit & Loss,Other Income,,1.37,,,,1.19,,,,1.68,,,,2.03,0.09,0.35,0.98,0.57,1.00,2.15,2.62,
Profit & Loss,Interest,,0.02,,,,0.05,,,,0.08,,,,0.79,0.68,0.67,0.52,0.23,0.09,0.08,0.05,
Profit & Loss,Depreciation,,0.25,,,,0.29,,,,0.35,,,,0.27,0.21,0.18,0.14,0.13,0.14,0.18,0.73,
Profit & Loss,Profit before tax,,6.09,,,,6.02,,,,8.35,,,,0.50,1.30,3.11,5.11,3.96,4.29,6.45,6.82,
Profit & Loss,Tax %,,30.05%,,,,27.74%,,,,25.39%,,,,32.00%,34.62%,32.80%,22.31%,28.03%,33.33%,25.89%,,
Profit & Loss,Net Profit,,4.26,,,,4.36,,,,6.23,,,,0.34,0.85,2.09,3.98,2.82,2.84,4.77,5.06,
Profit & Loss,EPS in Rs,,0.83,,,,0.84,,,,1.21,,,,0.45,1.12,2.76,0.78,0.55,0.55,0.92,0.98,
Profit & Loss,Dividend Payout %,,30.83%,,,,0.00%,,,,12.41%,,,,0.00%,0.00%,0.00%,0.00%,16.32%,24.31%,24.32%,,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,7.67,,,,7.67,,,,7.67,,7.67,,0.76,0.76,0.85,10.24,7.67,7.67,7.67,,
Balance Sheet,Reserves,,31.47,,,,34.68,,,,42.28,,45.30,,10.69,11.50,14.23,15.47,22.42,24.67,27.78,,
Balance Sheet,Borrowings,,1.24,,,,0.98,,,,0.00,,0.61,,8.92,5.28,5.02,0.82,0.18,0.30,0.99,,
Balance Sheet,Other Liabilities,,12.23,,,,10.31,,,,9.62,,10.35,,4.43,6.30,5.94,6.60,5.95,6.73,6.78,,
