Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2023,Jun 2022,Sep 2022,Dec 2022,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,36.86,31.94,39.90,44.15,40.93,51.65,46.39,45.64,,,,,,,,
Quarterly Results,Expenses,35.27,29.67,33.25,38.18,38.49,45.43,39.99,42.66,,,,,,,,
Quarterly Results,Operating Profit,1.59,2.27,6.65,5.97,2.44,6.22,6.40,2.98,,,,,,,,
Quarterly Results,OPM %,4.31%,7.11%,16.67%,13.52%,5.96%,12.04%,13.80%,6.53%,,,,,,,,
Quarterly Results,Other Income,0.20,0.08,0.07,0.15,0.03,0.09,0.26,0.39,,,,,,,,
Quarterly Results,Interest,0.16,0.20,0.51,0.30,0.16,0.16,0.59,0.29,,,,,,,,
Quarterly Results,Depreciation,0.07,0.07,0.14,0.94,0.42,0.45,0.44,0.45,,,,,,,,
Quarterly Results,Profit before tax,1.56,2.08,6.07,4.88,1.89,5.70,5.63,2.63,,,,,,,,
Quarterly Results,Tax %,28.85%,28.85%,29.00%,31.56%,29.10%,29.12%,28.95%,29.28%,,,,,,,,
Quarterly Results,Net Profit,1.11,1.48,4.31,3.33,1.34,4.04,3.99,1.86,,,,,,,,
Quarterly Results,EPS in Rs,0.02,0.03,0.09,0.07,0.03,0.08,0.08,0.04,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,153,,,,185,164,,,,,,,
Profit & Loss,Expenses,,,,136,,,,167,150,,,,,,,
Profit & Loss,Operating Profit,,,,16,,,,18,14,,,,,,,
Profit & Loss,OPM %,,,,11%,,,,10%,8%,,,,,,,
Profit & Loss,Other Income,,,,0,,,,1,1,,,,,,,
Profit & Loss,Interest,,,,1,,,,1,1,,,,,,,
Profit & Loss,Depreciation,,,,1,,,,2,0,,,,,,,
Profit & Loss,Profit before tax,,,,15,,,,16,13,,,,,,,
Profit & Loss,Tax %,,,,30%,,,,29%,29%,,,,,,,
Profit & Loss,Net Profit,,,,10,,,,11,9,,,,,,,
Profit & Loss,EPS in Rs,,,,0.21,,,,0.23,0.19,,,,,,,
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,0%,,,,,,,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,35,,,,49,26,,,,,,,
Balance Sheet,Reserves,,,,348,,,,345,346,,,,,,,
Balance Sheet,Borrowings,,,,9,,,,10,5,,,,,,,
Balance Sheet,Other Liabilities,,,,54,,,,62,41,,,,,,,
Balance Sheet,Total Liabilities,,,,445,,,,465,418,,,,,,,
Balance Sheet,Fixed Assets,,,,351,,,,350,347,,,,,,,
Balance Sheet,CWIP,,,,0,,,,0,0,,,,,,,
Balance Sheet,Investments,,,,0,,,,0,0,,,,,,,
Balance Sheet,Other Assets,,,,94,,,,115,71,,,,,,,
Balance Sheet,Total Assets,,,,445,,,,465,418,,,,,,,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,2,,,,,-1,,,,,,,
Cash Flows,Cash from Investing Activity,,,,-6,,,,,-0,,,,,,,
Cash Flows,Cash from Financing Activity,,,,4,,,,,1,,,,,,,
Cash Flows,Net Cash Flow,,,,0,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,75,,,,85,56,,,,,,,
Ratios,Inventory Days,,,,143,,,,136,91,,,,,,,
Ratios,Days Payable,,,,113,,,,97,81,,,,,,,
Ratios,Cash Conversion Cycle,,,,104,,,,124,66,,,,,,,
Ratios,Working Capital Days,,,,105,,,,111,74,,,,,,,
Ratios,ROCE %,,,,4%,,,,4%,,,,,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,43.77%,43.77%,43.77%,43.77%,43.77%,43.77%,43.77%,43.77%,43.77%,74.85%,74.85%,74.85%,,,,
Shareholding Pattern (Quarterly),FIIs,0.83%,0.46%,0.46%,0.46%,0.46%,0.48%,0.07%,0.91%,0.53%,0.00%,1.27%,1.43%,,,,
Shareholding Pattern (Quarterly),Government,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.46%,0.46%,0.00%,0.00%,0.00%,0.00%,,,,
Shareholding Pattern (Quarterly),Public,55.40%,55.78%,55.75%,55.76%,55.77%,55.75%,55.70%,54.86%,55.71%,25.15%,23.88%,23.71%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,18643,21331,23743,32194,34480,36436,59250,60240,3456,1186,2336,2907,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,43.77%,,,,43.77%,43.77%,,,,68.63%,68.63%,74.85%,74.85%
Shareholding Pattern (Yearly),FIIs,,,,0.46%,,,,0.91%,0.53%,,,,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Government,,,,0.00%,,,,0.46%,0.00%,,,,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,55.76%,,,,54.86%,55.71%,,,,31.37%,31.37%,25.15%,25.15%
Shareholding Pattern (Yearly),No. of Shareholders,,,,32194,,,,60240,3456,,,,99,55,52,100
,,,,,,,,,,,,,,,,,
