Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Jun 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,18.92,11.85,16.87,12.23,14.52,14.40,17.12,19.28,20.12,20.77,13.56,22.61,24.02,,,,,,,,,
Quarterly Results,Expenses,14.46,11.70,15.58,11.52,13.66,13.73,16.50,18.86,19.48,20.27,13.93,22.07,24.84,,,,,,,,,
Quarterly Results,Operating Profit,4.46,0.15,1.29,0.71,0.86,0.67,0.62,0.42,0.64,0.50,-0.37,0.54,-0.82,,,,,,,,,
Quarterly Results,OPM %,23.57%,1.27%,7.65%,5.81%,5.92%,4.65%,3.62%,2.18%,3.18%,2.41%,-2.73%,2.39%,-3.41%,,,,,,,,,
Quarterly Results,Other Income,1.45,0.38,0.68,0.79,0.50,0.73,0.60,0.94,0.95,0.95,1.75,1.43,2.39,,,,,,,,,
Quarterly Results,Interest,0.42,0.33,0.44,0.55,0.67,0.53,0.44,0.50,0.36,0.39,0.40,0.47,0.63,,,,,,,,,
Quarterly Results,Depreciation,0.43,0.46,0.47,0.48,0.48,0.40,0.47,0.47,0.51,0.44,0.43,0.44,0.50,,,,,,,,,
Quarterly Results,Profit before tax,5.06,-0.26,1.06,0.47,0.21,0.47,0.31,0.39,0.72,0.62,0.55,1.06,0.44,,,,,,,,,
Quarterly Results,Tax %,33.20%,0.00%,23.58%,38.30%,-9.52%,31.91%,-45.16%,35.90%,19.44%,30.65%,29.09%,32.08%,70.45%,,,,,,,,,
Quarterly Results,Net Profit,3.38,-0.26,0.81,0.29,0.23,0.32,0.45,0.25,0.57,0.43,0.39,0.72,0.13,,,,,,,,,
Quarterly Results,EPS in Rs,0.50,-0.04,0.12,0.04,0.03,0.05,0.07,0.04,0.07,0.05,0.04,0.08,0.01,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,60.90,,,,70.23,,,,70.91,,,,80.96,13.86,32.97,40.23,40.94,46.05,,,,
Profit & Loss,Expenses,58.57,,,,67.32,,,,68.57,,,,81.11,14.12,32.65,39.26,40.04,45.03,,,,
Profit & Loss,Operating Profit,2.33,,,,2.91,,,,2.34,,,,-0.15,-0.26,0.32,0.97,0.90,1.02,,,,
Profit & Loss,OPM %,3.83%,,,,4.14%,,,,3.30%,,,,-0.19%,-1.88%,0.97%,2.41%,2.20%,2.21%,,,,
Profit & Loss,Other Income,3.04,,,,2.57,,,,3.22,,,,6.52,0.95,1.50,2.12,2.41,3.08,,,,
Profit & Loss,Interest,1.39,,,,2.01,,,,1.83,,,,1.89,0.22,1.60,1.59,1.71,1.16,,,,
Profit & Loss,Depreciation,2.23,,,,1.90,,,,1.85,,,,1.81,0.27,1.38,1.39,1.40,1.34,,,,
Profit & Loss,Profit before tax,1.75,,,,1.57,,,,1.88,,,,2.67,0.20,-1.16,0.11,0.20,1.60,,,,
Profit & Loss,Tax %,5.71%,,,,26.75%,,,,27.13%,,,,37.08%,50.00%,-6.90%,-54.55%,45.00%,30.62%,,,,
Profit & Loss,Net Profit,1.65,,,,1.16,,,,1.37,,,,1.68,0.10,-1.08,0.17,0.11,1.11,,,,
Profit & Loss,EPS in Rs,0.25,,,,0.17,,,,0.16,,,,0.19,0.18,-1.10,0.17,0.03,0.23,,,,
Profit & Loss,Dividend Payout %,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,10.30,,,,13.39,,,,17.15,,,,17.71,0.87,1.50,1.50,5.00,7.50,,,,
Balance Sheet,Reserves,3.77,,,,1.60,,,,42.56,,,,47.43,1.86,0.83,0.99,1.10,-0.25,,,,
Balance Sheet,Borrowings,29.43,,,,29.51,,,,21.84,,,,19.34,8.27,20.71,21.84,20.89,16.48,,,,
Balance Sheet,Other Liabilities,16.99,,,,18.75,,,,22.56,,,,29.89,5.14,15.00,15.35,13.07,13.13,,,,
Balance Sheet,Total Liabilities,60.49,,,,63.25,,,,104.11,,,,114.37,16.14,38.04,39.68,40.06,36.86,,,,
Balance Sheet,Fixed Assets,13.73,,,,12.16,,,,12.73,,,,11.63,4.98,9.35,9.89,9.35,7.66,,,,
Balance Sheet,CWIP,2.51,,,,4.47,,,,7.00,,,,8.77,0.23,1.11,1.87,2.00,2.00,,,,
Balance Sheet,Investments,2.48,,,,1.03,,,,1.03,,,,1.14,0.45,0.04,0.04,0.04,0.04,,,,
Balance Sheet,Other Assets,41.77,,,,45.59,,,,83.35,,,,92.83,10.48,27.54,27.88,28.67,27.16,,,,
Balance Sheet,Total Assets,60.49,,,,63.25,,,,104.11,,,,114.37,16.14,38.04,39.68,40.06,36.86,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,0.76,,,,-1.05,,,,-17.62,,,,-2.67,,,1.27,-0.69,3.20,,,,
Cash Flows,Cash from Investing Activity,-0.99,,,,-0.74,,,,-17.69,,,,-1.51,,,-2.69,-0.99,0.56,,,,
Cash Flows,Cash from Financing Activity,0.34,,,,1.99,,,,35.64,,,,5.15,,,1.26,1.37,-4.16,,,,
Cash Flows,Net Cash Flow,0.11,,,,0.20,,,,0.34,,,,0.97,,,-0.17,-0.31,-0.41,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,106.26,,,,103.32,,,,108.56,,,,128.90,161.43,149.56,120.85,107.97,94.72,,,,
Ratios,Inventory Days,131.86,,,,129.33,,,,178.61,,,,169.55,101.68,127.63,120.29,135.69,108.28,,,,
Ratios,Days Payable,124.33,,,,118.20,,,,141.24,,,,124.97,155.01,185.37,153.19,136.24,110.64,,,,
Ratios,Cash Conversion Cycle,113.79,,,,114.45,,,,145.93,,,,173.47,108.11,91.82,87.95,107.42,92.36,,,,
Ratios,Working Capital Days,125.08,,,,112.05,,,,217.68,,,,218.48,127.99,118.35,97.90,125.53,102.09,,,,
Ratios,ROCE %,,,,,8.14%,,,,5.89%,,,,5.49%,,,7.18%,7.44%,10.88%,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,72.81%,72.81%,72.81%,68.94%,68.64%,68.64%,53.57%,54.24%,54.72%,54.72%,54.72%,,,,,,53.92%,,,
Shareholding Pattern (Quarterly),FIIs,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.50%,3.39%,3.39%,3.39%,2.71%,,,,,,2.23%,,,
Shareholding Pattern (Quarterly),Public,,,27.20%,27.20%,27.20%,31.06%,31.36%,31.36%,42.93%,42.37%,41.89%,41.90%,42.58%,,,,,,43.85%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,123,130,150,2677,5469,4409,4967,6765,7749,10153,12164,,,,,,12232,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,72.81%,,,,72.81%,,,,53.57%,,,,54.72%,,,,,,53.92%,72.81%,72.81%,72.81%
