Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Apr 2025,Mar 2021,Mar 2022
Quarterly Results,Revenue,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,
Quarterly Results,Financing Profit,,,,,,,,,,,,,,
Quarterly Results,Financing Margin %,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,
Quarterly Results,Gross NPA %,,,,,,,,,,,,,,
Quarterly Results,Net NPA %,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Revenue,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,
Profit & Loss,Financing Profit,,,,,,,,,,,,,,
Profit & Loss,Financing Margin %,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,
Balance Sheet,Borrowing,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ratios,ROE %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,33.56%,33.53%,33.46%,30.21%,30.19%,23.60%,23.56%,23.45%,23.38%,14.31%,14.25%,12.47%,,
Shareholding Pattern (Quarterly),FIIs,10.31%,9.37%,15.69%,17.56%,17.02%,24.83%,25.09%,24.73%,25.57%,37.91%,36.00%,36.54%,,
Shareholding Pattern (Quarterly),DIIs,6.42%,6.51%,8.41%,10.00%,9.96%,11.72%,11.84%,11.96%,12.41%,18.28%,19.82%,21.21%,,
Shareholding Pattern (Quarterly),Public,49.72%,50.58%,42.44%,42.24%,42.83%,39.84%,39.50%,39.85%,38.62%,29.50%,29.93%,29.79%,,
Shareholding Pattern (Quarterly),No. of Shareholders,73601,74548,73731,78164,78918,78152,76526,75625,78604,86972,88276,88604,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,33.46%,,,,23.56%,,,,14.25%,12.47%,33.70%,33.60%
Shareholding Pattern (Yearly),FIIs,,,15.69%,,,,25.09%,,,,36.00%,36.54%,10.86%,10.90%
Shareholding Pattern (Yearly),DIIs,,,8.41%,,,,11.84%,,,,19.82%,21.21%,42.64%,40.48%
Shareholding Pattern (Yearly),Public,,,42.44%,,,,39.50%,,,,29.93%,29.79%,12.79%,15.00%
Shareholding Pattern (Yearly),Others,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.02%
Shareholding Pattern (Yearly),No. of Shareholders,,,73731,,,,76526,,,,88276,88604,136780,61837
,,,,,,,,,,,,,,,
