Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,1652,1628,1834,1723,1699,1806,1887,1885,1975,1899,2081,2075,2099,,,,,,,
Quarterly Results,Expenses,1547,1515,1690,1582,1534,1623,1693,1709,1754,1725,1873,1889,1552,,,,,,,
Quarterly Results,Operating Profit,105,114,144,141,165,183,194,176,221,174,208,186,547,,,,,,,
Quarterly Results,OPM %,6%,7%,8%,8%,10%,10%,10%,9%,11%,9%,10%,9%,26%,,,,,,,
Quarterly Results,Other Income,-243,-71,-763,4,21,-9,15,34,12,6,7,-88,-378,,,,,,,
Quarterly Results,Interest,37,38,49,51,53,49,50,50,45,44,43,42,41,,,,,,,
Quarterly Results,Depreciation,84,85,77,82,92,80,85,89,82,80,82,81,81,,,,,,,
Quarterly Results,Profit before tax,-258,-81,-745,11,41,44,74,71,105,56,91,-25,47,,,,,,,
Quarterly Results,Tax %,10%,4%,7%,-91%,3%,23%,25%,-443%,44%,39%,36%,82%,51%,,,,,,,
Quarterly Results,Net Profit,-285,-84,-795,22,40,34,56,384,58,34,58,-45,23,,,,,,,
Quarterly Results,EPS in Rs,-18.67,-5.55,-52.03,1.34,2.59,2.11,3.55,25.05,3.72,2.12,3.64,-3.10,1.35,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,5844,,,,6891,,,,7552,,,,8154,6770,7909,9299,10279,12036,11122,4374
Profit & Loss,Expenses,5484,,,,6316,,,,6793,,,,7365,6206,7341,8716,9398,10978,10306,4036
Profit & Loss,Operating Profit,360,,,,575,,,,759,,,,789,564,568,582,881,1059,816,338
Profit & Loss,OPM %,6%,,,,8%,,,,10%,,,,10%,8%,7%,6%,9%,9%,7%,8%
Profit & Loss,Other Income,-996,,,,-821,,,,66,,,,-126,229,73,172,108,122,94,-556
Profit & Loss,Interest,118,,,,190,,,,194,,,,170,475,-43,90,86,97,139,89
Profit & Loss,Depreciation,305,,,,337,,,,337,,,,323,254,292,337,386,566,732,274
Profit & Loss,Profit before tax,-1059,,,,-773,,,,294,,,,169,63,392,327,516,519,39,-581
Profit & Loss,Tax %,5%,,,,6%,,,,-81%,,,,59%,73%,6%,4%,13%,17%,94%,8%
Profit & Loss,Net Profit,-1107,,,,-817,,,,532,,,,70,17,370,313,451,429,3,-629
Profit & Loss,EPS in Rs,-72.64,,,,-53.66,,,,34.43,,,,4.01,16.06,353.36,254.29,36.57,31.54,0.01,-41.36
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,16%,1%,13%,1%,14%,21284%,0%
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,15,,,,15,,,,15,,,,15,10,10,11,12,13,13,15
Balance Sheet,Reserves,1973,,,,961,,,,1482,,,,1550,1073,1737,2172,2815,3053,2991,3013
Balance Sheet,Borrowings,1625,,,,1806,,,,1390,,,,1118,1651,1617,1510,1194,2432,4255,3695
