Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021
Quarterly Results,Sales,0.01,0.03,0.10,0.14,11.77,0.17,0.16,0.15,0.14,0.15,0.14,0.14,0.14,,
Quarterly Results,Expenses,1.14,1.35,1.46,1.20,5.67,3.05,1.26,3.57,1.67,1.99,1.66,2.40,2.09,,
Quarterly Results,Operating Profit,-1.13,-1.32,-1.36,-1.06,6.10,-2.88,-1.10,-3.42,-1.53,-1.84,-1.52,-2.26,-1.95,,
Quarterly Results,OPM %,-11300.00%,-4400.00%,-1360.00%,-757.14%,51.83%,-1694.12%,-687.50%,-2280.00%,-1092.86%,-1226.67%,-1085.71%,-1614.29%,-1392.86%,,
Quarterly Results,Other Income,1.26,0.98,0.98,1.48,1.35,1.55,3.70,2.22,1.78,1.92,1.92,1.47,1.33,,
Quarterly Results,Interest,0.06,0.18,0.06,0.11,0.08,0.08,0.06,0.05,0.08,0.06,0.06,0.06,0.06,,
Quarterly Results,Depreciation,0.50,0.47,0.58,0.53,0.58,0.53,0.54,0.54,0.56,0.52,0.54,0.55,0.54,,
Quarterly Results,Profit before tax,-0.43,-0.99,-1.02,-0.22,6.79,-1.94,2.00,-1.79,-0.39,-0.50,-0.20,-1.40,-1.22,,
Quarterly Results,Tax %,48.84%,-24.24%,-19.61%,-454.55%,-2.50%,-1.03%,14.00%,-8.38%,-17.95%,-16.00%,-75.00%,-17.86%,-25.41%,,
Quarterly Results,Net Profit,-0.64,-0.74,-0.81,0.77,6.95,-1.92,1.72,-1.64,-0.32,-0.42,-0.06,-1.15,-0.91,,
Quarterly Results,EPS in Rs,-0.10,-0.12,-0.13,0.13,1.13,-0.31,0.28,-0.27,-0.05,-0.07,-0.01,-0.19,-0.15,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,0.03,,,,12.04,,,,0.62,,,,0.57,0.00,0.04
Profit & Loss,Expenses,3.01,,,,9.56,,,,9.53,,,,8.13,2.28,6.34
Profit & Loss,Operating Profit,-2.98,,,,2.48,,,,-8.91,,,,-7.56,-2.28,-6.30
Profit & Loss,OPM %,-9933.33%,,,,20.60%,,,,-1437.10%,,,,-1326.32%,,-15750.00%
Profit & Loss,Other Income,4.73,,,,4.67,,,,9.24,,,,6.63,-14.51,3.81
Profit & Loss,Interest,0.24,,,,0.43,,,,0.27,,,,0.24,0.00,0.02
Profit & Loss,Depreciation,1.67,,,,2.17,,,,2.17,,,,2.15,2.18,2.13
Profit & Loss,Profit before tax,-0.16,,,,4.55,,,,-2.11,,,,-3.32,-18.97,-4.64
Profit & Loss,Tax %,-87.50%,,,,-35.38%,,,,1.90%,,,,-23.80%,33.16%,1.94%
Profit & Loss,Net Profit,-0.02,,,,6.17,,,,-2.15,,,,-2.54,-25.25,-4.73
Profit & Loss,EPS in Rs,-0.00,,,,1.01,,,,-0.35,,,,-0.41,,-0.77
Profit & Loss,Dividend Payout %,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,6.13,,,,6.13,,,,6.13,,,,6.13,0.00,6.13
Balance Sheet,Reserves,262.04,,,,239.44,,,,237.29,,,,234.90,266.77,262.06
Balance Sheet,Borrowings,2.05,,,,2.17,,,,1.33,,,,1.11,0.16,2.04
Balance Sheet,Other Liabilities,52.00,,,,46.12,,,,44.55,,,,43.41,49.44,47.82
Balance Sheet,Total Liabilities,322.22,,,,293.86,,,,289.30,,,,285.55,316.37,318.05
Balance Sheet,Fixed Assets,51.01,,,,44.47,,,,42.87,,,,41.11,53.63,42.98
Balance Sheet,CWIP,0.30,,,,0.01,,,,0.04,,,,0.00,0.01,0.14
