Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,68.24%,68.24%,68.24%,68.28%,68.30%,68.30%,68.30%,68.30%,68.30%,68.30%,68.30%,68.30%,
Shareholding Pattern (Quarterly),FIIs,5.99%,6.79%,6.24%,5.66%,5.73%,5.35%,4.56%,5.37%,4.95%,6.03%,6.52%,7.19%,
Shareholding Pattern (Quarterly),DIIs,10.33%,8.88%,7.89%,7.65%,7.54%,7.17%,5.39%,5.30%,5.48%,5.45%,4.93%,4.26%,
Shareholding Pattern (Quarterly),Public,15.44%,16.09%,17.62%,18.43%,18.43%,19.19%,21.77%,21.04%,21.27%,20.22%,20.25%,20.25%,
Shareholding Pattern (Quarterly),No. of Shareholders,86853,94594,96998,95605,93478,92991,95929,87980,89621,85328,89394,91051,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,68.28%,,,,68.30%,,,,68.30%,68.24%
Shareholding Pattern (Yearly),FIIs,,,,5.66%,,,,5.37%,,,,7.19%,7.13%
Shareholding Pattern (Yearly),DIIs,,,,7.65%,,,,5.30%,,,,4.26%,7.73%
Shareholding Pattern (Yearly),Public,,,,18.43%,,,,21.04%,,,,20.25%,16.90%
Shareholding Pattern (Yearly),No. of Shareholders,,,,95605,,,,87980,,,,91051,82578
,,,,,,,,,,,,,,
