Section,,Dec 2005,Dec 2006,Dec 2007,Dec 2008,Dec 2009,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,310,373,443,514,503,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,287,351,412,478,461,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,23,22,31,36,42,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,7%,6%,7%,7%,8%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,5,10,6,5,5,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,4,5,7,6,4,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,6,6,7,8,9,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,18,21,22,28,34,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,32%,30%,36%,35%,35%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,12,15,14,18,22,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,13.39,16.16,15.52,19.77,24.04,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,20%,16%,17%,18%,17%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,7,7,7,9,9,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,100,112,122,186,203,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,44,68,21,49,43,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,79,83,148,98,87,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,230,269,298,342,341,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,47,54,55,75,73,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,3,4,18,6,9,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,180,211,224,261,260,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,230,269,298,342,341,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,7,-4,40,-7,35,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-9,-10,-22,-14,-9,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,0,15,-8,18,-15,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-1,0,10,-3,11,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,124,117,104,103,100,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,77,80,59,70,68,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,122,75,72,64,56,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,80,122,90,109,112,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,106,116,47,104,106,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,14%,17%,16%,15%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,71.75%,71.75%,71.75%,71.75%,71.75%,71.75%,71.75%,71.75%,71.75%,71.75%,71.75%,71.75%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,28.24%,28.24%,28.25%,28.24%,28.24%,28.25%,28.26%,28.25%,28.24%,28.23%,28.23%,28.24%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,8239,7748,7588,7590,7480,7155,7063,6918,6975,6381,6417,6652,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,71.75%,,,,71.75%,,,,71.75%,71.75%,71.75%,71.75%,71.75%,71.75%,71.75%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,0.00%,,,,0.00%,,,,0.00%,0.01%,0.12%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,,,,28.24%,,,,28.25%,,,,28.24%,28.23%,28.13%,28.24%,28.24%,28.24%,28.24%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,7590,,,,6918,,,,6652,8858,7632,7261,7084,7704,8239
,,,,,,,,,,,,,,,,,,,,,,,,
