Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2017,Mar 2018
Quarterly Results,Sales,2181,2621,2700,2638,2433,2796,2960,3045,2908,3263,3251,3272,3060,,,,,
Quarterly Results,Expenses,1961,2359,2342,2243,2080,2429,2534,2589,2498,2826,2818,2867,2719,,,,,
Quarterly Results,Operating Profit,220,261,359,395,353,367,425,456,410,437,433,406,341,,,,,
Quarterly Results,OPM %,10%,10%,13%,15%,15%,13%,14%,15%,14%,13%,13%,12%,11%,,,,,
Quarterly Results,Other Income,16,17,24,27,-23,24,29,24,33,30,25,146,26,,,,,
Quarterly Results,Interest,5,5,5,6,8,8,8,8,11,9,14,11,10,,,,,
Quarterly Results,Depreciation,99,96,102,115,124,117,122,122,123,123,127,132,144,,,,,
Quarterly Results,Profit before tax,133,178,275,301,198,266,325,350,309,335,317,409,213,,,,,
Quarterly Results,Tax %,26%,26%,27%,26%,28%,25%,27%,23%,26%,26%,26%,27%,24%,,,,,
Quarterly Results,Net Profit,99,132,201,222,142,198,238,268,230,249,236,298,162,,,,,
Quarterly Results,EPS in Rs,5.79,7.73,11.78,12.99,8.34,11.61,13.96,15.68,12.55,13.61,12.87,16.30,8.83,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,8697,,,,10392,,,,11708,,,,12846,6793,6839,7150,,
Profit & Loss,Expenses,7666,,,,8945,,,,10046,,,,11230,5838,5741,6033,,
Profit & Loss,Operating Profit,1031,,,,1447,,,,1662,,,,1616,955,1099,1117,,
Profit & Loss,OPM %,12%,,,,14%,,,,14%,,,,13%,14%,16%,16%,,
Profit & Loss,Other Income,71,,,,29,,,,106,,,,227,43,55,86,,
Profit & Loss,Interest,15,,,,30,,,,34,,,,44,7,12,11,,
Profit & Loss,Depreciation,396,,,,450,,,,484,,,,526,261,301,319,,
Profit & Loss,Profit before tax,691,,,,997,,,,1250,,,,1273,730,841,873,,
