Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Apr 2025,Mar 2017
Quarterly Results,Sales,152.57,158.87,169.27,161.79,159.74,174.99,176.11,165.12,167.38,159.40,165.94,152.93,139.33,,,,,,
Quarterly Results,Expenses,133.94,158.83,162.00,160.15,155.99,146.23,146.90,133.99,139.98,134.00,131.49,118.40,108.43,,,,,,
Quarterly Results,Operating Profit,18.63,0.04,7.27,1.64,3.75,28.76,29.21,31.13,27.40,25.40,34.45,34.53,30.90,,,,,,
Quarterly Results,OPM %,12.21%,0.03%,4.29%,1.01%,2.35%,16.44%,16.59%,18.85%,16.37%,15.93%,20.76%,22.58%,22.18%,,,,,,
Quarterly Results,Other Income,1.89,2.00,1.59,1.98,1.69,11.47,2.47,0.66,2.42,0.70,1.33,0.44,2.00,,,,,,
Quarterly Results,Interest,16.42,19.06,18.68,20.85,22.04,25.74,26.24,25.30,24.77,25.69,25.41,27.74,27.88,,,,,,
Quarterly Results,Depreciation,5.85,5.89,6.30,6.43,6.15,7.31,7.96,7.64,7.26,7.92,7.92,8.15,7.94,,,,,,
Quarterly Results,Profit before tax,-1.75,-22.91,-16.12,-23.66,-22.75,7.18,-2.52,-1.15,-2.21,-7.51,2.45,-0.92,-2.92,,,,,,
Quarterly Results,Tax %,-85.71%,2.66%,11.35%,-8.37%,5.23%,32.45%,102.78%,105.22%,71.95%,-15.45%,75.51%,107.61%,-11.99%,,,,,,
Quarterly Results,Net Profit,-0.25,-23.51,-17.95,-21.68,-23.94,4.85,-5.11,-2.37,-3.80,-6.35,0.60,-1.91,-2.56,,,,,,
Quarterly Results,EPS in Rs,0.06,-0.32,-0.20,-0.25,-0.30,0.27,0.00,0.01,0.02,-0.04,0.08,0.02,-0.02,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,532,,,,655,,,,684,,,,615,26,60,179,318,,
Profit & Loss,Expenses,476,,,,633,,,,562,,,,489,11,31,127,265,,
Profit & Loss,Operating Profit,56,,,,22,,,,122,,,,126,15,28,53,54,,
Profit & Loss,OPM %,11%,,,,3%,,,,18%,,,,20%,58%,47%,29%,17%,,
Profit & Loss,Other Income,-2,,,,1,,,,15,,,,4,0,0,0,-0,,
Profit & Loss,Interest,51,,,,84,,,,105,,,,107,10,9,17,24,,
Profit & Loss,Depreciation,21,,,,25,,,,30,,,,32,0,8,12,15,,
Profit & Loss,Profit before tax,-18,,,,-85,,,,1,,,,-9,4,11,24,15,,
Profit & Loss,Tax %,18%,,,,2%,,,,599%,,,,15%,37%,42%,43%,59%,,
Profit & Loss,Net Profit,-21,,,,-87,,,,-6,,,,-10,3,7,14,6,,
Profit & Loss,EPS in Rs,-0.07,,,,-1.07,,,,0.30,,,,0.04,0.89,0.17,0.44,0.25,,
Profit & Loss,Dividend Payout %,-28%,,,,-2%,,,,7%,,,,50%,13%,48%,5%,8%,,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,78,,,,78,,,,78,,,,78,4,78,78,78,,
Balance Sheet,Reserves,543,,,,528,,,,545,,,,550,128,430,444,485,,
Balance Sheet,Borrowings,764,,,,924,,,,899,,,,996,7,132,121,327,,
Balance Sheet,Other Liabilities,242,,,,265,,,,279,,,,228,16,30,70,154,,
Balance Sheet,Total Liabilities,1626,,,,1795,,,,1801,,,,1853,154,670,713,1044,,
Balance Sheet,Fixed Assets,78,,,,81,,,,94,,,,98,8,31,47,56,,
Balance Sheet,CWIP,11,,,,35,,,,10,,,,0,2,2,1,5,,
Balance Sheet,Investments,10,,,,44,,,,10,,,,64,0,24,9,0,,
Balance Sheet,Other Assets,1528,,,,1634,,,,1687,,,,1691,144,614,656,982,,
Balance Sheet,Total Assets,1626,,,,1795,,,,1801,,,,1853,154,670,713,1044,,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-313,,,,-23,,,,121,,,,13,-5,-453,30,-69,,
