Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Apr 2025
Quarterly Results,Sales,2.81,1.86,10.00,2.53,2.17,6.92,8.50,9.28,6.59,9.44,9.32,5.54,5.85,,,,,,,,,
Quarterly Results,Expenses,2.69,7.97,2.26,2.46,12.36,2.65,2.92,3.10,2.43,3.37,3.74,3.90,7.83,,,,,,,,,
Quarterly Results,Operating Profit,0.12,-6.11,7.74,0.07,-10.19,4.27,5.58,6.18,4.16,6.07,5.58,1.64,-1.98,,,,,,,,,
Quarterly Results,OPM %,4.27%,-328.49%,77.40%,2.77%,-469.59%,61.71%,65.65%,66.59%,63.13%,64.30%,59.87%,29.60%,-33.85%,,,,,,,,,
Quarterly Results,Other Income,0.16,0.14,0.13,0.16,0.24,0.20,0.25,0.49,-0.08,0.28,0.44,0.05,0.08,,,,,,,,,
Quarterly Results,Interest,0.33,0.35,0.04,0.08,0.09,0.15,0.17,0.17,0.38,0.28,0.29,0.32,0.29,,,,,,,,,
Quarterly Results,Depreciation,0.16,0.12,0.13,0.13,0.14,0.12,0.12,0.13,0.16,0.13,0.15,0.16,0.17,,,,,,,,,
Quarterly Results,Profit before tax,-0.21,-6.44,7.70,0.02,-10.18,4.20,5.54,6.37,3.54,5.94,5.58,1.21,-2.36,,,,,,,,,
Quarterly Results,Tax %,-14.29%,-4.81%,10.39%,1150.00%,-24.85%,26.43%,21.84%,14.91%,30.51%,15.99%,19.00%,20.66%,8.90%,,,,,,,,,
Quarterly Results,Net Profit,-0.19,-6.13,6.90,-0.22,-7.65,3.10,4.34,5.41,2.46,4.99,4.53,0.96,-2.58,,,,,,,,,
Quarterly Results,EPS in Rs,-0.19,-6.13,6.90,-0.22,-7.65,3.10,4.34,5.41,2.46,4.99,4.53,0.95,-2.21,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,19.77,,,,7.59,,,,31.42,,,,26.33,21.33,37.28,49.44,45.44,58.16,7.67,9.37,21.90,
Profit & Loss,Expenses,7.49,,,,16.27,,,,11.00,,,,15.03,19.57,33.18,42.41,45.99,45.29,7.95,21.36,5.12,
Profit & Loss,Operating Profit,12.28,,,,-8.68,,,,20.42,,,,11.30,1.76,4.10,7.03,-0.55,12.87,-0.28,-11.99,16.78,
Profit & Loss,OPM %,62.11%,,,,-114.36%,,,,64.99%,,,,42.92%,8.25%,11.00%,14.22%,-1.21%,22.13%,-3.65%,-127.96%,76.62%,
Profit & Loss,Other Income,0.42,,,,0.63,,,,0.71,,,,0.85,0.02,0.00,0.01,4.73,0.03,0.23,0.57,1.15,
Profit & Loss,Interest,0.93,,,,0.33,,,,0.95,,,,1.17,0.47,0.31,0.17,0.17,0.86,1.12,1.42,0.99,
Profit & Loss,Depreciation,0.61,,,,0.53,,,,0.52,,,,0.61,0.13,0.19,0.56,0.83,0.65,0.59,0.77,0.76,
Profit & Loss,Profit before tax,11.16,,,,-8.91,,,,19.66,,,,10.37,1.18,3.60,6.31,3.18,11.39,-1.76,-13.61,16.18,
Profit & Loss,Tax %,13.26%,,,,-20.20%,,,,22.18%,,,,23.82%,26.27%,18.06%,-0.16%,-3.46%,23.35%,-25.00%,-20.28%,37.21%,
Profit & Loss,Net Profit,9.68,,,,-7.09,,,,15.31,,,,7.89,0.86,2.96,6.31,3.29,8.73,-1.31,-10.85,10.16,
Profit & Loss,EPS in Rs,9.93,,,,-6.48,,,,15.93,,,,6.75,0.86,2.96,6.31,3.29,8.73,-1.31,-10.85,10.16,
Profit & Loss,Dividend Payout %,10.07%,,,,-9.26%,,,,10.04%,,,,0.00%,0.00%,33.78%,15.85%,30.40%,11.45%,-76.34%,0.00%,9.84%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,10.00,,,,10.00,,,,10.00,,,,11.69,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Balance Sheet,Reserves,54.26,,,,48.54,,,,62.99,,,,167.60,26.76,29.65,34.76,36.84,45.57,47.19,35.03,45.33,
Balance Sheet,Borrowings,2.01,,,,3.63,,,,6.18,,,,3.91,2.62,4.16,0.00,0.00,5.19,7.77,7.60,0.81,
Balance Sheet,Other Liabilities,42.47,,,,44.94,,,,42.35,,,,44.66,7.22,8.70,3.80,9.90,14.70,17.73,17.78,22.47,
Balance Sheet,Total Liabilities,108.74,,,,107.11,,,,121.52,,,,227.86,46.60,52.51,48.56,56.74,75.46,82.69,70.41,78.61,
Balance Sheet,Fixed Assets,11.51,,,,11.39,,,,13.05,,,,12.76,2.87,2.72,5.71,3.32,9.52,9.96,10.28,10.63,
Balance Sheet,CWIP,0.00,,,,0.00,,,,0.00,,,,0.00,0.45,1.84,0.00,0.00,0.00,0.00,0.00,0.00,
Balance Sheet,Investments,35.14,,,,21.17,,,,29.61,,,,51.55,11.57,11.18,6.91,6.79,7.27,14.87,2.69,24.45,
Balance Sheet,Other Assets,62.09,,,,74.55,,,,78.86,,,,163.55,31.71,36.77,35.94,46.63,58.67,57.86,57.44,43.53,
Balance Sheet,Total Assets,108.74,,,,107.11,,,,121.52,,,,227.86,46.60,52.51,48.56,56.74,75.46,82.69,70.41,78.61,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,4.88,,,,1.35,,,,-2.75,,,,-21.50,-2.45,-11.10,-8.21,0.32,7.27,4.10,13.13,4.36,
Cash Flows,Cash from Investing Activity,-8.53,,,,-1.57,,,,3.42,,,,-75.28,-2.77,5.22,12.80,4.66,-4.66,-0.46,-14.09,3.77,
Cash Flows,Cash from Financing Activity,-0.60,,,,0.40,,,,0.15,,,,94.87,-1.07,1.26,-5.54,-1.38,3.30,-0.73,-1.76,-7.11,
Cash Flows,Net Cash Flow,-4.25,,,,0.18,,,,0.83,,,,-1.90,-6.29,-4.62,-0.95,3.61,5.92,2.91,-2.71,1.02,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,48.93,,,,137.54,,,,90.26,,,,255.21,75.46,98.50,80.99,99.76,138.13,1063.12,423.43,58.83,
Ratios,Inventory Days,,,,,,,,,,,,,,45.35,105.07,59.44,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,138.45,66.08,15.89,,,,,,
Ratios,Cash Conversion Cycle,48.93,,,,137.54,,,,90.26,,,,255.21,-17.63,137.48,124.53,99.76,138.13,1063.12,423.43,58.83,
Ratios,Working Capital Days,-566.79,,,,-1250.33,,,,-246.39,,,,-107.57,93.60,130.51,143.00,167.00,136.18,439.24,229.05,-179.83,
Ratios,ROCE %,19.75%,,,,-13.09%,,,,28.22%,,,,8.67%,4.20%,9.40%,14.63%,-2.62%,22.77%,-1.02%,-20.73%,31.57%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,72.18%,72.18%,72.18%,72.18%,72.18%,72.18%,72.18%,72.18%,72.18%,72.18%,61.73%,,,,,,,,,60.87%
Shareholding Pattern (Quarterly),FIIs,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,0.52%,,,,,,,,,0.55%
Shareholding Pattern (Quarterly),Government,,,0.00%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.06%,0.05%,,,,,,,,,0.05%
Shareholding Pattern (Quarterly),Public,,,27.81%,27.77%,27.78%,27.78%,27.78%,27.77%,27.77%,27.76%,27.76%,27.63%,37.69%,,,,,,,,,38.54%
Shareholding Pattern (Quarterly),No. of Shareholders,,,4236,3964,3984,3946,3853,3855,4263,4036,4410,4835,5626,,,,,,,,,5692
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,72.18%,,,,72.18%,,,,72.18%,,,,61.73%,,,,65.93%,65.93%,69.93%,70.89%,70.89%,60.87%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.52%,,,,0.00%,0.26%,0.00%,0.00%,0.00%,0.55%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.05%,,,,0.05%,,,,0.05%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%
Shareholding Pattern (Yearly),Public,27.82%,,,,27.78%,,,,27.77%,,,,37.69%,,,,34.07%,33.75%,30.07%,29.11%,29.11%,38.54%
Shareholding Pattern (Yearly),No. of Shareholders,4268,,,,3984,,,,4263,,,,5626,,,,2934,4462,4264,3945,3494,5692
,,,,,,,,,,,,,,,,,,,,,,,
