Section,,Mar 2015,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,506,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,531,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,-26,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,-5%,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,3,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,30,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,9,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,-61,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,-0%,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,-61,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,-7.54,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,-0%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,82,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,-13,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,335,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,191,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,595,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,185,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,0,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,-0,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,409,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,595,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-76,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,20,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,58,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,169,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,107,,,,,,,,,,,,,,,,,
Ratios,Days Payable,135,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,141,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,149,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,69.10%,69.10%,69.10%,69.10%,69.10%,69.11%,69.11%,69.11%,69.11%,69.11%,69.11%,69.11%,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,,,,,
Shareholding Pattern (Quarterly),Public,,30.90%,30.90%,30.90%,30.90%,30.90%,30.89%,30.89%,30.89%,30.89%,30.89%,30.91%,30.89%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,11284,11202,11106,10948,17395,18992,21321,20591,21321,20123,19951,20813,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,69.10%,,,,69.11%,,,,69.11%,69.10%,69.10%,69.10%,69.10%,69.10%
Shareholding Pattern (Yearly),FIIs,,,,,0.00%,,,,0.01%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,30.90%,,,,30.89%,,,,30.89%,30.90%,30.90%,30.90%,30.90%,30.90%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,10948,,,,20591,,,,20813,11531,11129,11070,10977,11313
,,,,,,,,,,,,,,,,,,,
