Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 2013,Sep 2014,Mar 201618m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2016
Quarterly Results,Sales,5305,5696,5826,5645,5842,6440,6217,6162,6349,7196,6881,7001,7075,,,,,,,,,
Quarterly Results,Expenses,4765,5203,5346,5083,4988,5310,5060,5108,5437,6037,5870,6166,5996,,,,,,,,,
Quarterly Results,Operating Profit,540,493,481,562,854,1130,1157,1055,912,1160,1011,835,1079,,,,,,,,,
Quarterly Results,OPM %,10%,9%,8%,10%,15%,18%,19%,17%,14%,16%,15%,12%,15%,,,,,,,,,
Quarterly Results,Other Income,66,34,77,71,70,75,71,78,94,84,113,98,113,,,,,,,,,
Quarterly Results,Interest,67,66,75,86,92,84,86,90,93,85,84,94,98,,,,,,,,,
Quarterly Results,Depreciation,311,298,309,316,330,333,351,360,385,396,410,415,433,,,,,,,,,
Quarterly Results,Profit before tax,228,164,174,231,501,787,791,682,527,763,631,424,661,,,,,,,,,
Quarterly Results,Tax %,28%,25%,25%,24%,32%,25%,26%,25%,25%,25%,25%,26%,22%,,,,,,,,,
Quarterly Results,Net Profit,165,124,130,175,341,589,587,510,396,571,471,315,512,,,,,,,,,
Quarterly Results,EPS in Rs,389.52,291.43,306.19,412.23,803.19,1388.20,1383.27,1201.83,933.96,1346.40,1109.85,743.79,1207.49,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,19317,,,,23008,,,,25169,,,,28153,12248,13329,20179,13412,14954,16062,16237,16162,
Profit & Loss,Expenses,17256,,,,20604,,,,20896,,,,24069,10468,11384,15743,10763,12665,13744,13855,13208,
Profit & Loss,Operating Profit,2061,,,,2404,,,,4272,,,,4084,1780,1945,4437,2649,2288,2317,2382,2954,
Profit & Loss,OPM %,11%,,,,10%,,,,17%,,,,15%,15%,15%,22%,20%,15%,14%,15%,18%,
Profit & Loss,Other Income,315,,,,245,,,,306,,,,408,25,63,317,327,330,416,335,205,
Profit & Loss,Interest,263,,,,326,,,,361,,,,360,196,232,361,257,259,273,301,282,
Profit & Loss,Depreciation,1205,,,,1253,,,,1430,,,,1654,374,424,737,611,707,808,982,1141,
Profit & Loss,Profit before tax,908,,,,1070,,,,2787,,,,2479,1235,1353,3656,2109,1653,1652,1434,1737,
Profit & Loss,Tax %,26%,,,,28%,,,,25%,,,,25%,35%,33%,31%,30%,32%,32%,1%,26%,
Profit & Loss,Net Profit,669,,,,769,,,,2081,,,,1869,809,908,2509,1486,1132,1131,1423,1277,
Profit & Loss,EPS in Rs,1577.96,,,,1813.04,,,,4907.26,,,,4407.54,1906.58,2141.71,5916.93,3504.33,2668.20,2665.82,3354.22,3011.15,
Profit & Loss,Dividend Payout %,10%,,,,10%,,,,4%,,,,5%,2%,2%,2%,2%,2%,2%,3%,5%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,4,,,,4,,,,4,,,,4,4,4,,4,4,4,4,4,4
