Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,1243,873,1296,1598,1644,1214,1045,611,,,
Quarterly Results,Expenses,1461,1308,1597,1910,1849,1593,1505,1306,,,
Quarterly Results,Operating Profit,-218,-435,-301,-312,-205,-379,-460,-695,,,
Quarterly Results,OPM %,-18%,-50%,-23%,-20%,-12%,-31%,-44%,-114%,,,
Quarterly Results,Other Income,34,49,71,73,51,100,127,117,,,
Quarterly Results,Interest,36,46,43,61,67,84,93,122,,,
Quarterly Results,Depreciation,47,92,103,116,126,132,138,170,,,
Quarterly Results,Profit before tax,-267,-524,-376,-416,-347,-495,-564,-870,,,
Quarterly Results,Tax %,0%,0%,0%,0%,0%,0%,0%,0%,,,
Quarterly Results,Net Profit,-267,-524,-376,-416,-347,-495,-564,-870,,,
Quarterly Results,EPS in Rs,-1.37,-2.68,-1.92,-2.13,-1.45,-1.12,-1.28,-1.97,,,
Quarterly Results,Raw PDF,,,,,,,,,,,
,,,,,,,,,,,,
Profit & Loss,Sales,,,,5010,,,,4514,1,373,2631
Profit & Loss,Expenses,,,,6276,,,,6253,278,1174,3883
Profit & Loss,Operating Profit,,,,-1266,,,,-1739,-277,-800,-1252
Profit & Loss,OPM %,,,,-25%,,,,-39%,-32228%,-214%,-48%
Profit & Loss,Other Income,,,,226,,,,395,98,83,55
Profit & Loss,Interest,,,,187,,,,366,1,18,108
Profit & Loss,Depreciation,,,,358,,,,566,20,49,167
Profit & Loss,Profit before tax,,,,-1584,,,,-2276,-199,-784,-1472
Profit & Loss,Tax %,,,,0%,,,,0%,0%,0%,0%
Profit & Loss,Net Profit,,,,-1584,,,,-2276,-199,-784,-1472
Profit & Loss,EPS in Rs,,,,-8.10,,,,-5.16,-199230.00,-4.01,-7.53
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,0%,0%,0%
,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,1955,,,,4411,0.01,1955,1955
Balance Sheet,Reserves,,,,-2909,,,,732,1971,-98,-1409
Balance Sheet,Borrowings,,,,5684,,,,3556,42,2608,3505
Balance Sheet,Other Liabilities,,,,3006,,,,2376,100,931,1521
Balance Sheet,Total Liabilities,,,,7735,,,,11075,2113,5396,5573
Balance Sheet,Fixed Assets,,,,2491,,,,3602,104,1025,1219
Balance Sheet,CWIP,,,,713,,,,254,43,83,507
Balance Sheet,Investments,,,,64,,,,40,455,1102,276
Balance Sheet,Other Assets,,,,4468,,,,7179,1510,3186,3571
Balance Sheet,Total Assets,,,,7735,,,,11075,2113,5396,5573
,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,-633,,,,-2391,-252,-885,-1507
Cash Flows,Cash from Investing Activity,,,,-1136,,,,-2864,549,-1322,-319
Cash Flows,Cash from Financing Activity,,,,1590,,,,5429,3,3085,659
Cash Flows,Net Cash Flow,,,,-179,,,,174,300,878,-1167
,,,,,,,,,,,,
Ratios,Debtor Days,,,,12,,,,1,161,15,12
Ratios,Inventory Days,,,,58,,,,77,,216,83
Ratios,Days Payable,,,,112,,,,94,,271,98
Ratios,Cash Conversion Cycle,,,,-43,,,,-16,161,-40,-4
Ratios,Working Capital Days,,,,-34,,,,90,-21055,-23,40
Ratios,ROCE %,,,,-32%,,,,-28%,,-24%,-30%
,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,36.78%,36.78%,36.78%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,4.18%,2.11%,2.89%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,5.16%,4.55%,2.93%,,,
Shareholding Pattern (Quarterly),Public,,,,,,48.41%,51.25%,52.14%,,,
Shareholding Pattern (Quarterly),Others,,,,,,5.48%,5.33%,5.27%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,1425352,1569436,1672130,,,
,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,36.78%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,2.89%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,2.93%,,,
Shareholding Pattern (Yearly),Public,,,,,,,,52.14%,,,
Shareholding Pattern (Yearly),Others,,,,,,,,5.27%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,1672130,,,
,,,,,,,,,,,,
