Section,,Mar 2005,Jun 2005,Sep 2005,Dec 2005,Mar 2006,Jun 2006,Sep 2006,Dec 2006,Mar 2007,Jun 2007,Dec 200818m,Dec 2009,Mar 201115m,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Dec 2008,Mar 2011,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,239.47,219.34,217.39,219.88,272.16,296.63,242.76,197.40,254.59,249.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,194.89,189.19,183.94,173.05,211.28,224.99,202.50,161.04,213.81,242.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,44.58,30.15,33.45,46.83,60.88,71.64,40.26,36.36,40.78,7.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,18.62%,13.75%,15.39%,21.30%,22.37%,24.15%,16.58%,18.42%,16.02%,2.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,1.72,1.35,0.74,0.90,1.17,1.85,1.15,1.39,3.77,35.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,13.02,24.48,22.37,22.98,22.45,31.88,24.26,24.86,28.54,37.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,4.97,5.28,5.13,5.26,5.20,5.86,5.89,6.25,6.23,6.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,28.31,1.74,6.69,19.49,34.40,35.75,11.26,6.64,9.78,-1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,11.87%,-12.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,21.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,24.95,1.92,6.69,19.49,34.40,35.75,11.26,6.64,9.78,-2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,1008,,,,939,1854,1998,3063,2129,2297,1987,837,821,926,529,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,796,,,,835,1655,1835,2815,1888,2090,1826,723,778,812,566,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,213,,,,104,199,164,248,241,207,161,113,43,114,-37,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,21%,,,,11%,11%,8%,8%,11%,9%,8%,14%,5%,12%,-7%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,5,,,,66,-6,51,10,10,9,469,32,37,126,-12,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,101,,,,118,234,105,246,190,216,274,131,81,140,150,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,22,,,,25,91,69,129,113,114,128,64,74,57,53,,,,,,,,,,,,,,,,,,
