Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Oct 2021,Mar 2022,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,2.47,1.25,2.21,1.57,1.88,2.37,3.32,2.52,3.16,1.43,1.44,,,,,,
Quarterly Results,Expenses,2.04,1.16,1.83,1.64,2.10,2.51,2.79,2.48,3.21,1.72,3.54,,,,,,
Quarterly Results,Operating Profit,0.43,0.09,0.38,-0.07,-0.22,-0.14,0.53,0.04,-0.05,-0.29,-2.10,,,,,,
Quarterly Results,OPM %,17.41%,7.20%,17.19%,-4.46%,-11.70%,-5.91%,15.96%,1.59%,-1.58%,-20.28%,-145.83%,,,,,,
Quarterly Results,Other Income,0.07,0.01,0.06,0.00,0.05,0.03,0.35,0.06,0.06,0.06,0.30,,,,,,
Quarterly Results,Interest,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,,,,,
Quarterly Results,Depreciation,0.04,0.03,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,,,,,,
Quarterly Results,Profit before tax,0.45,0.06,0.39,-0.11,-0.20,-0.15,0.84,0.06,-0.03,-0.28,-1.84,,,,,,
Quarterly Results,Tax %,11.11%,16.67%,38.46%,-127.27%,-5.00%,6.67%,11.90%,16.67%,-66.67%,-25.00%,-25.00%,,,,,,
Quarterly Results,Net Profit,0.40,0.05,0.24,0.03,-0.19,-0.16,0.74,0.05,-0.01,-0.21,-1.38,,,,,,
Quarterly Results,EPS in Rs,0.39,0.05,0.24,0.03,-0.19,-0.16,0.73,0.05,-0.01,-0.21,-1.35,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,6.91,,,,9.14,,,,8.55,,,,,,
Profit & Loss,Expenses,,,6.20,,,,9.02,,,,10.95,,,,,,
Profit & Loss,Operating Profit,,,0.71,,,,0.12,,,,-2.40,,,,,,
Profit & Loss,OPM %,,,10.27%,,,,1.31%,,,,-28.07%,,,,,,
Profit & Loss,Other Income,,,0.14,,,,0.42,,,,0.48,,,,,,
Profit & Loss,Interest,,,0.02,,,,0.02,,,,0.02,,,,,,
Profit & Loss,Depreciation,,,0.16,,,,0.15,,,,0.16,,,,,,
Profit & Loss,Profit before tax,,,0.67,,,,0.37,,,,-2.10,,,,,,
Profit & Loss,Tax %,,,29.85%,,,,-10.81%,,,,-25.71%,,,,,,
Profit & Loss,Net Profit,,,0.47,,,,0.41,,,,-1.56,,,,,,
Profit & Loss,EPS in Rs,,,0.46,,,,0.40,,,,-1.53,,,,,,
Profit & Loss,Dividend Payout %,,,0.00%,,,,0.00%,,,,0.00%,,,,,,
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,10.20,,,,10.20,,,,10.20,,,,,,
Balance Sheet,Reserves,,,8.25,,,,8.83,,,,7.34,,,,,,
Balance Sheet,Borrowings,,,0.25,,,,0.20,,,,0.14,,,,,,
Balance Sheet,Other Liabilities,,,1.85,,,,1.21,,,,0.53,,,,,,
Balance Sheet,Total Liabilities,,,20.55,,,,20.44,,,,18.21,,,,,,
Balance Sheet,Fixed Assets,,,2.00,,,,1.94,,,,1.79,,,,,,
Balance Sheet,CWIP,,,0.00,,,,0.00,,,,0.00,,,,,,
Balance Sheet,Investments,,,0.65,,,,0.89,,,,0.97,,,,,,
Balance Sheet,Other Assets,,,17.90,,,,17.61,,,,15.45,,,,,,
Balance Sheet,Total Assets,,,20.55,,,,20.44,,,,18.21,,,,,,
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,0.77,,,,0.36,,,,-0.15,,,,,,
Cash Flows,Cash from Investing Activity,,,0.28,,,,-0.82,,,,-0.76,,,,,,
Cash Flows,Cash from Financing Activity,,,-1.80,,,,-0.07,,,,-0.08,,,,,,
Cash Flows,Net Cash Flow,,,-0.75,,,,-0.53,,,,-0.99,,,,,,
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,302.67,,,,183.70,,,,140.88,,,,,,
Ratios,Inventory Days,,,121.67,,,,52.14,,,,38.92,,,,,,
Ratios,Days Payable,,,407.44,,,,55.04,,,,23.61,,,,,,
Ratios,Cash Conversion Cycle,,,16.89,,,,180.80,,,,156.19,,,,,,
Ratios,Working Capital Days,,,540.90,,,,372.99,,,,303.10,,,,,,
Ratios,ROCE %,,,,,,,2.06%,,,,-11.27%,,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,,73.53%,73.52%,73.52%,,,,
Shareholding Pattern (Quarterly),Public,26.47%,26.47%,26.47%,26.47%,26.47%,26.47%,26.47%,26.47%,26.47%,,26.47%,26.48%,26.47%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,111,468,852,848,937,1995,2336,2659,3956,,4509,115,112,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,73.53%,,,,73.53%,,,,73.53%,,73.52%,73.53%,73.52%,73.52%,73.52%
Shareholding Pattern (Yearly),Public,,,26.47%,,,,26.47%,,,,26.47%,,26.47%,26.48%,26.47%,26.47%,26.47%
Shareholding Pattern (Yearly),No. of Shareholders,,,852,,,,2336,,,,4509,,112,153,122,113,112
,,,,,,,,,,,,,,,,,,
