Section,,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,186,628,139,138,194,485,158,108,59,456,105,103,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,90,358,125,149,144,346,51,26,51,397,29,32,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,96,270,14,-11,51,138,107,82,8,59,76,72,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,52%,43%,10%,-8%,26%,29%,68%,76%,13%,13%,72%,69%,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,4,10,15,1,59,-24,-81,36,49,-6,-26,0,,,,,,,,,,,,,,,,
Profit & Loss,Interest,0,2,0,1,5,11,21,21,3,0,0,0,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,2,2,1,1,2,2,2,2,3,3,2,2,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,98,276,27,-12,104,101,3,95,50,50,47,70,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,0%,10%,13%,1%,21%,21%,126%,23%,21%,26%,-40%,40%,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,97,250,24,-12,82,79,-1,63,29,37,66,42,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,3.79,9.73,0.93,-0.46,3.20,3.08,-0.04,2.45,1.14,1.42,2.57,1.64,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,257,257,257,257,257,257,257,257,257,257,257,257,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,1334,1583,1610,1596,1678,1758,1760,1822,1850,1908,1969,2011,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,15,88,1,3,95,276,175,135,0,0,0,0,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,163,123,98,97,84,77,154,47,40,44,40,42,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,1768,2051,1966,1953,2114,2368,2345,2261,2147,2209,2266,2310,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,26,24,23,24,24,20,15,130,127,126,125,123,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
