Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 202315m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,4427,4468,3987,4537,4791,5201,4435,4914,5409,5155,4614,5927,6067,,,,,,,,,,,,,,,
Quarterly Results,Expenses,3792,4042,3971,4158,4322,4430,3885,4010,4572,4476,4178,4812,5236,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,635,426,16,379,469,771,549,905,837,679,436,1116,830,,,,,,,,,,,,,,,
Quarterly Results,OPM %,14%,10%,0%,8%,10%,15%,12%,18%,15%,13%,9%,19%,14%,,,,,,,,,,,,,,,
Quarterly Results,Other Income,62,58,56,-35,55,80,212,94,350,73,124,649,330,,,,,,,,,,,,,,,
Quarterly Results,Interest,11,15,18,19,15,25,29,34,67,33,33,28,14,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,154,165,173,173,177,200,213,235,237,235,242,260,265,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,532,305,-118,152,331,626,519,729,883,484,284,1476,882,,,,,,,,,,,,,,,
Quarterly Results,Tax %,26%,25%,-26%,26%,29%,25%,25%,26%,-7%,26%,30%,26%,15%,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,396,227,-87,113,236,466,388,538,943,360,200,1092,751,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,21.10,12.11,-4.65,6.03,12.55,24.82,20.65,28.63,50.23,19.15,10.63,58.14,39.99,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,19959,,,,21762,11062,11646,11706,10990,13285,14802,15658,13786,16152,22210,,,,,
Profit & Loss,Expenses,,,,,,,,,16897,,,,18701,9416,10116,10123,9532,11370,12754,13245,11431,13154,20285,,,,,
Profit & Loss,Operating Profit,,,,,,,,,3062,,,,3061,1646,1529,1583,1458,1915,2048,2413,2355,2998,1925,,,,,
Profit & Loss,OPM %,,,,,,,,,15%,,,,14%,15%,13%,14%,13%,14%,14%,15%,17%,19%,9%,,,,,
Profit & Loss,Other Income,,,,,,,,,735,,,,1175,265,241,-90,115,137,153,332,50,164,196,,,,,
Profit & Loss,Interest,,,,,,,,,155,,,,108,114,83,65,79,99,88,86,57,55,77,,,,,
Profit & Loss,Depreciation,,,,,,,,,885,,,,1001,584,568,663,609,644,603,606,639,601,841,,,,,
Profit & Loss,Profit before tax,,,,,,,,,2757,,,,3127,1214,1120,766,885,1310,1510,2053,1709,2506,1203,,,,,
Profit & Loss,Tax %,,,,,,,,,15%,,,,23%,11%,-3%,25%,26%,29%,-1%,33%,16%,26%,26%,,,,,
Profit & Loss,Net Profit,,,,,,,,,2335,,,,2402,1095,1162,587,658,925,1521,1378,1430,1863,885,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,124.34,,,,127.92,58.31,61.88,31.30,35.06,49.23,80.97,73.35,76.16,99.21,47.13,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,6%,,,,6%,52%,55%,54%,49%,53%,17%,19%,18%,59%,20%,,,,,
