Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2020,Mar 2021,Mar 2017,Mar 2018,Mar 2019
Quarterly Results,Sales,333,843,674,1000,876,1966,1091,1912,1554,2417,1436,1675,1193,,,,,,,,,,,
Quarterly Results,Expenses,221,581,517,773,712,1430,805,1463,1096,1699,1025,1139,932,,,,,,,,,,,
Quarterly Results,Operating Profit,112,262,157,227,165,536,286,449,458,719,411,536,261,,,,,,,,,,,
Quarterly Results,OPM %,34%,31%,23%,23%,19%,27%,26%,24%,29%,30%,29%,32%,22%,,,,,,,,,,,
Quarterly Results,Other Income,10,-1182,13,30,19,12,20,11,8,6,34,18,19,,,,,,,,,,,
Quarterly Results,Interest,4,5,21,21,17,1,1,2,2,2,4,8,13,,,,,,,,,,,
Quarterly Results,Depreciation,4,5,5,6,7,8,10,15,17,19,18,22,22,,,,,,,,,,,
Quarterly Results,Profit before tax,114,-930,143,230,160,540,295,444,448,704,424,524,245,,,,,,,,,,,
Quarterly Results,Tax %,-8%,0%,0%,0%,-68%,25%,22%,25%,38%,21%,29%,26%,17%,,,,,,,,,,,
Quarterly Results,Net Profit,123,-930,143,230,269,403,231,332,277,557,301,389,202,,,,,,,,,,,
Quarterly Results,EPS in Rs,3.35,-20.92,3.21,5.17,5.33,7.99,4.58,6.56,5.48,11.03,5.76,7.44,3.86,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,692,,,,3353,,,,6525,,,,6721,330,681,568,690,1007,759,370,251,,,
Profit & Loss,Expenses,546,,,,2539,,,,4793,,,,4768,324,630,534,668,979,739,349,240,,,
Profit & Loss,Operating Profit,146,,,,814,,,,1732,,,,1953,6,51,34,22,28,21,21,11,,,
Profit & Loss,OPM %,21%,,,,24%,,,,27%,,,,29%,2%,7%,6%,3%,3%,3%,6%,4%,,,
Profit & Loss,Other Income,-22,,,,-1124,,,,50,,,,51,59,5,10,24,17,16,26,20,,,
Profit & Loss,Interest,18,,,,65,,,,6,,,,27,21,8,9,7,15,8,16,17,,,
Profit & Loss,Depreciation,18,,,,23,,,,49,,,,81,21,20,17,20,26,27,18,14,,,
Profit & Loss,Profit before tax,88,,,,-398,,,,1727,,,,1896,23,29,18,19,4,2,13,0,,,
Profit & Loss,Tax %,-11%,,,,-27%,,,,28%,,,,24%,1%,1%,0%,0%,0%,0%,-143%,0%,,,
Profit & Loss,Net Profit,97,,,,-289,,,,1243,,,,1450,22,28,18,19,4,2,32,0,,,
Profit & Loss,EPS in Rs,2.64,,,,-5.72,,,,24.60,,,,27.71,1.01,1.28,0.80,0.84,0.17,0.09,1.41,0.01,,,
Profit & Loss,Dividend Payout %,19%,,,,0%,,,,4%,,,,4%,0%,0%,0%,0%,0%,0%,0%,0%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,37,,,,50,,,,51,,,,52,22,22,22,22,22,22,23,25,,,
Balance Sheet,Reserves,445,,,,1478,,,,2760,,,,6350,-24,60,78,97,100,102,122,157,,,
Balance Sheet,Borrowings,96,,,,4,,,,33,,,,795,135,66,45,38,32,26,124,155,,,
Balance Sheet,Other Liabilities,246,,,,493,,,,1094,,,,2219,174,311,298,353,395,306,374,383,,,
Balance Sheet,Total Liabilities,824,,,,2026,,,,3938,,,,9417,307,459,444,510,550,457,642,720,,,
Balance Sheet,Fixed Assets,400,,,,532,,,,1235,,,,1613,197,191,161,334,317,295,374,362,,,
Balance Sheet,CWIP,86,,,,298,,,,1268,,,,4181,4,73,158,4,2,4,42,85,,,
Balance Sheet,Investments,0,,,,37,,,,29,,,,75,0,0,9,0,0,0,0,0,,,
Balance Sheet,Other Assets,338,,,,1159,,,,1406,,,,3548,106,195,116,172,231,158,226,274,,,
Balance Sheet,Total Assets,824,,,,2026,,,,3938,,,,9417,307,459,444,510,550,457,642,720,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-78,,,,-516,,,,1701,,,,1205,28,109,102,51,29,16,52,-15,,,
Cash Flows,Cash from Investing Activity,-57,,,,-612,,,,-1725,,,,-3976,-5,-82,-88,-24,-5,-6,-34,-62,,,
Cash Flows,Cash from Financing Activity,149,,,,1143,,,,-1,,,,2808,-22,-20,-17,-25,-21,-15,-6,66,,,
Cash Flows,Net Cash Flow,13,,,,14,,,,-25,,,,37,0,7,-3,3,4,-4,12,-11,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,13,,,,3,,,,4,,,,9,13,43,7,11,18,18,8,10,,,
Ratios,Inventory Days,195,,,,182,,,,95,,,,196,58,33,23,34,31,17,107,208,,,
Ratios,Days Payable,18,,,,50,,,,162,,,,16,156,163,158,169,127,119,77,63,,,
Ratios,Cash Conversion Cycle,189,,,,135,,,,-63,,,,188,-86,-86,-128,-124,-79,-85,37,155,,,
Ratios,Working Capital Days,89,,,,16,,,,-10,,,,5,-76,-66,-120,-123,-79,-95,72,145,,,
Ratios,ROCE %,34%,,,,81%,,,,79%,,,,38%,11%,26%,18%,13%,12%,7%,,6%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,74.63%,74.63%,74.62%,65.75%,65.75%,65.75%,65.69%,65.69%,65.69%,63.48%,63.48%,63.44%,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.24%,0.32%,0.20%,0.19%,0.14%,0.25%,0.32%,0.68%,1.10%,1.95%,1.97%,2.10%,,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.06%,0.07%,1.26%,1.75%,1.93%,,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,25.10%,25.01%,25.16%,34.05%,34.09%,33.98%,33.88%,33.51%,33.09%,33.28%,32.78%,32.49%,,,,,,,,,,,
Shareholding Pattern (Quarterly),Others,,0.03%,0.03%,0.01%,0.00%,0.00%,0.00%,0.08%,0.04%,0.02%,0.03%,0.01%,0.03%,,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,21011,21081,20970,21745,22770,29844,31607,33891,37806,62762,114240,120648,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,69.41%,,,,65.75%,,,,65.69%,,,,63.44%,,,,,,,63.02%,65.90%,62.84%,63.14%,63.76%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.19%,,,,0.68%,,,,2.10%,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.06%,,,,1.93%,,,,,,,0.01%,0.01%,0.01%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,30.56%,,,,34.05%,,,,33.51%,,,,32.49%,,,,,,,35.82%,33.56%,37.15%,36.85%,36.24%
Shareholding Pattern (Yearly),Others,0.03%,,,,0.00%,,,,0.04%,,,,0.03%,,,,,,,1.15%,0.53%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),No. of Shareholders,19082,,,,21745,,,,33891,,,,120648,,,,,,,11610,12679,12891,11678,11982
,,,,,,,,,,,,,,,,,,,,,,,,,
