Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 201418m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2014
Quarterly Results,Sales,96.98,39.12,35.91,17.70,84.37,54.88,71.99,47.01,84.66,85.52,65.89,67.91,102.06,,,,,,,,,
Quarterly Results,Expenses,229.11,46.69,47.53,38.64,168.44,88.97,74.13,72.64,191.97,90.11,86.92,72.19,144.75,,,,,,,,,
Quarterly Results,Operating Profit,-132.13,-7.57,-11.62,-20.94,-84.07,-34.09,-2.14,-25.63,-107.31,-4.59,-21.03,-4.28,-42.69,,,,,,,,,
Quarterly Results,OPM %,-136.24%,-19.35%,-32.36%,-118.31%,-99.64%,-62.12%,-2.97%,-54.52%,-126.75%,-5.37%,-31.92%,-6.30%,-41.83%,,,,,,,,,
Quarterly Results,Other Income,-210.88,4.02,6.61,-0.70,23.50,27.32,36.18,36.33,12.62,3.90,12.41,7.65,54.56,,,,,,,,,
Quarterly Results,Interest,4.35,2.24,4.09,0.47,16.27,6.90,3.64,1.59,1.34,0.91,0.62,0.41,2.02,,,,,,,,,
Quarterly Results,Depreciation,3.29,2.71,2.53,2.40,2.54,2.04,1.72,1.59,2.09,1.46,1.47,1.46,2.52,,,,,,,,,
Quarterly Results,Profit before tax,-350.65,-8.50,-11.63,-24.51,-79.38,-15.71,28.68,7.52,-98.12,-3.06,-10.71,1.50,7.33,,,,,,,,,
Quarterly Results,Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
Quarterly Results,Net Profit,-350.43,-8.50,-11.63,-24.51,-79.35,-15.50,28.65,7.69,-98.12,-3.01,-10.73,1.49,7.34,,,,,,,,,
Quarterly Results,EPS in Rs,-26.73,-0.65,-0.89,-1.87,-6.05,-1.18,2.19,0.59,-7.48,-0.23,-0.82,0.11,0.56,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,308,,,,177,,,,259,,,,321,3991,2783,2132,1818,1869,1239,562,333,
Profit & Loss,Expenses,526,,,,301,,,,428,,,,394,3835,2584,2336,1668,1712,1327,556,554,
Profit & Loss,Operating Profit,-218,,,,-124,,,,-169,,,,-73,156,199,-204,150,157,-88,6,-221,
Profit & Loss,OPM %,-71%,,,,-70%,,,,-65%,,,,-23%,4%,7%,-10%,8%,8%,-7%,1%,-67%,
Profit & Loss,Other Income,-108,,,,33,,,,112,,,,79,157,116,134,196,277,-1618,-354,-3,
Profit & Loss,Interest,46,,,,23,,,,13,,,,4,334,273,308,349,409,290,26,43,
Profit & Loss,Depreciation,14,,,,10,,,,7,,,,7,114,64,56,48,45,37,32,19,
Profit & Loss,Profit before tax,-386,,,,-124,,,,-78,,,,-5,-136,-22,-435,-52,-21,-2033,-406,-286,
Profit & Loss,Tax %,0%,,,,0%,,,,0%,,,,0%,3%,4%,0%,1%,-18%,1%,0%,0%,
Profit & Loss,Net Profit,-386,,,,-124,,,,-77,,,,-5,-140,-23,-437,-46,15,-2043,-405,-285,
Profit & Loss,EPS in Rs,-29.45,,,,-9.46,,,,-5.91,,,,-0.37,-16.15,-0.97,-26.89,-3.53,0.88,-155.79,-30.89,-21.74,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,131,,,,131,,,,131,,,,131,,112,121,131,131,131,131,131,90
Balance Sheet,Reserves,-3113,,,,-3238,,,,-3315,,,,-3320,,20,-240,-285,-270,-1969,-2443,-2727,-77
Balance Sheet,Borrowings,2669,,,,2671,,,,2671,,,,2672,,2125,2166,2162,2643,2692,2673,2669,2000
Balance Sheet,Other Liabilities,2246,,,,2287,,,,2221,,,,2223,,2073,1948,2299,2802,2466,2507,2365,1941
Balance Sheet,Total Liabilities,1932,,,,1852,,,,1707,,,,1707,,4329,3995,4307,5306,3320,2868,2439,3954
