Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,136.40,110.88,103.67,107.94,124.42,147.96,151.59,130.02,,,,,,,,,
Quarterly Results,Expenses,133.52,103.91,99.00,105.91,118.99,140.88,145.71,123.23,,,,,,,,,
Quarterly Results,Operating Profit,2.88,6.97,4.67,2.03,5.43,7.08,5.88,6.79,,,,,,,,,
Quarterly Results,OPM %,2.11%,6.29%,4.50%,1.88%,4.36%,4.79%,3.88%,5.22%,,,,,,,,,
Quarterly Results,Other Income,4.64,0.28,2.94,7.66,3.20,2.23,2.73,0.68,,,,,,,,,
Quarterly Results,Interest,3.42,3.62,4.03,3.70,3.80,3.51,3.57,4.92,,,,,,,,,
Quarterly Results,Depreciation,1.21,1.19,1.24,1.21,1.26,1.30,1.30,1.26,,,,,,,,,
Quarterly Results,Profit before tax,2.89,2.44,2.34,4.78,3.57,4.50,3.74,1.29,,,,,,,,,
Quarterly Results,Tax %,22.49%,22.54%,18.80%,40.79%,23.81%,15.56%,22.19%,95.35%,,,,,,,,,
Quarterly Results,Net Profit,2.24,1.88,1.90,2.84,2.71,3.80,2.92,0.06,,,,,,,,,
Quarterly Results,EPS in Rs,0.04,0.04,0.04,0.07,0.06,0.08,0.06,0.00,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,459,,,,554,,,,,,,,,
Profit & Loss,Expenses,,,,442,,,,529,,,,,,,,,
Profit & Loss,Operating Profit,,,,17,,,,25,,,,,,,,,
Profit & Loss,OPM %,,,,4%,,,,5%,,,,,,,,,
Profit & Loss,Other Income,,,,16,,,,9,,,,,,,,,
Profit & Loss,Interest,,,,15,,,,16,,,,,,,,,
Profit & Loss,Depreciation,,,,5,,,,5,,,,,,,,,
Profit & Loss,Profit before tax,,,,12,,,,13,,,,,,,,,
Profit & Loss,Tax %,,,,29%,,,,28%,,,,,,,,,
Profit & Loss,Net Profit,,,,9,,,,10,,,,,,,,,
Profit & Loss,EPS in Rs,,,,0.20,,,,0.21,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,60,,,,90,,,,,,,,,
Balance Sheet,Reserves,,,,44,,,,56,,,,,,,,,
Balance Sheet,Borrowings,,,,121,,,,148,,,,,,,,,
Balance Sheet,Other Liabilities,,,,89,,,,91,,,,,,,,,
Balance Sheet,Total Liabilities,,,,314,,,,385,,,,,,,,,
Balance Sheet,Fixed Assets,,,,66,,,,77,,,,,,,,,
Balance Sheet,CWIP,,,,3,,,,0,,,,,,,,,
Balance Sheet,Investments,,,,0,,,,0,,,,,,,,,
Balance Sheet,Other Assets,,,,244,,,,308,,,,,,,,,
Balance Sheet,Total Assets,,,,314,,,,385,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,12,,,,-18,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,-1,,,,-36,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,-11,,,,54,,,,,,,,,
Cash Flows,Net Cash Flow,,,,0,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,89,,,,107,,,,,,,,,
Ratios,Inventory Days,,,,96,,,,93,,,,,,,,,
Ratios,Days Payable,,,,59,,,,59,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,126,,,,141,,,,,,,,,
Ratios,Working Capital Days,,,,125,,,,141,,,,,,,,,
Ratios,ROCE %,,,,,,,,10%,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,40.91%,40.91%,40.91%,42.11%,42.11%,42.11%,42.11%,31.78%,60.47%,52.98%,44.37%,41.06%,,,,,
Shareholding Pattern (Quarterly),FIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,
Shareholding Pattern (Quarterly),Public,59.09%,59.09%,59.09%,57.89%,57.89%,57.89%,57.87%,68.22%,39.54%,47.01%,55.63%,58.94%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,52040,57494,55708,57085,68545,68545,76143,81681,51450,50862,53239,53188,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,42.11%,,,,31.78%,,,,41.06%,73.33%,73.33%,73.33%,73.36%,63.44%
Shareholding Pattern (Yearly),Public,,,,57.89%,,,,68.22%,,,,58.94%,26.67%,26.67%,26.67%,26.64%,36.56%
Shareholding Pattern (Yearly),No. of Shareholders,,,,57085,,,,81681,,,,53188,301,281,311,460,49072
,,,,,,,,,,,,,,,,,,
