Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021
Quarterly Results,Sales,106,92,120,191,113,108,134,203,123,121,132,200,126,,
Quarterly Results,Expenses,78,67,83,127,83,78,89,131,93,87,99,147,97,,
Quarterly Results,Operating Profit,29,25,37,64,31,30,44,72,29,34,34,53,28,,
Quarterly Results,OPM %,27%,27%,31%,34%,27%,28%,33%,35%,24%,28%,25%,27%,23%,,
Quarterly Results,Other Income,1,1,1,1,1,2,1,1,4,1,1,1,1,,
Quarterly Results,Interest,5,5,5,6,5,5,7,8,6,7,8,8,7,,
Quarterly Results,Depreciation,6,6,6,6,7,8,8,8,8,9,9,9,9,,
Quarterly Results,Profit before tax,19,15,26,53,20,19,31,57,19,19,18,37,14,,
Quarterly Results,Tax %,27%,26%,26%,25%,29%,28%,25%,25%,28%,25%,20%,25%,4%,,
Quarterly Results,Net Profit,14,11,19,39,14,14,23,43,14,15,14,28,13,,
Quarterly Results,EPS in Rs,1.73,1.35,2.39,4.67,1.69,1.62,2.74,5.09,1.61,1.73,1.72,3.32,1.54,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,424,,,,516,,,,568,,,,579,485,386
Profit & Loss,Expenses,311,,,,358,,,,392,,,,430,432,322
Profit & Loss,Operating Profit,113,,,,158,,,,176,,,,149,53,64
Profit & Loss,OPM %,27%,,,,31%,,,,31%,,,,26%,11%,17%
Profit & Loss,Other Income,3,,,,3,,,,8,,,,4,-2,-2
Profit & Loss,Interest,23,,,,21,,,,26,,,,30,33,33
Profit & Loss,Depreciation,24,,,,26,,,,32,,,,35,35,26
Profit & Loss,Profit before tax,70,,,,114,,,,126,,,,88,-17,3
Profit & Loss,Tax %,25%,,,,26%,,,,26%,,,,21%,-8%,5%
Profit & Loss,Net Profit,52,,,,84,,,,93,,,,70,-16,3
Profit & Loss,EPS in Rs,6.63,,,,9.98,,,,11.06,,,,8.32,-10.42,1.98
Profit & Loss,Dividend Payout %,36%,,,,84%,,,,77%,,,,43%,0%,126%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,16,,,,17,,,,17,,,,17,15,15
Balance Sheet,Reserves,380,,,,515,,,,533,,,,569,285,290
Balance Sheet,Borrowings,240,,,,203,,,,324,,,,315,393,315
Balance Sheet,Other Liabilities,123,,,,147,,,,152,,,,174,138,132
Balance Sheet,Total Liabilities,759,,,,881,,,,1026,,,,1076,831,752
Balance Sheet,Fixed Assets,361,,,,413,,,,454,,,,495,355,318
Balance Sheet,CWIP,1,,,,2,,,,5,,,,6,0,0
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,0
Balance Sheet,Other Assets,396,,,,466,,,,567,,,,575,476,434
Balance Sheet,Total Assets,759,,,,881,,,,1026,,,,1076,831,752
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,87,,,,90,,,,121,,,,58,45,120
Cash Flows,Cash from Investing Activity,-57,,,,-74,,,,-43,,,,-75,-44,-22
Cash Flows,Cash from Financing Activity,-61,,,,-9,,,,2,,,,-74,33,-94
Cash Flows,Net Cash Flow,-31,,,,6,,,,81,,,,-90,34,3
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,94,,,,81,,,,109,,,,148,114,117
Ratios,Inventory Days,764,,,,775,,,,924,,,,877,334,404
Ratios,Days Payable,318,,,,356,,,,390,,,,374,161,164
Ratios,Cash Conversion Cycle,541,,,,501,,,,643,,,,651,287,357
Ratios,Working Capital Days,212,,,,185,,,,171,,,,240,220,236
Ratios,ROCE %,15%,,,,20%,,,,19%,,,,13%,,6%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,27.33%,27.33%,27.27%,26.27%,26.27%,26.18%,25.47%,24.66%,24.66%,24.66%,,
Shareholding Pattern (Quarterly),FIIs,,,,7.42%,5.86%,6.78%,20.61%,19.69%,13.85%,12.03%,10.60%,9.61%,7.97%,,
Shareholding Pattern (Quarterly),DIIs,,,,8.86%,11.76%,10.23%,17.52%,19.56%,22.61%,22.23%,21.68%,19.89%,18.26%,,
Shareholding Pattern (Quarterly),Public,,,,56.39%,55.06%,55.73%,35.60%,34.49%,37.36%,40.26%,43.04%,45.84%,49.11%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,208138,151880,133957,153180,162109,210043,229880,238898,247695,261898,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,27.33%,,,,26.18%,,,,24.66%,,
Shareholding Pattern (Yearly),FIIs,,,,,5.86%,,,,13.85%,,,,7.97%,,
Shareholding Pattern (Yearly),DIIs,,,,,11.76%,,,,22.61%,,,,18.26%,,
Shareholding Pattern (Yearly),Public,,,,,55.06%,,,,37.36%,,,,49.11%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,151880,,,,210043,,,,261898,,
,,,,,,,,,,,,,,,,
