Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 2022,Dec 2022,Mar 2023,Jul 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,409,415,397,439,415,495,427,428,,,,,,,,,,
Quarterly Results,Expenses,380,384,364,391,372,456,392,397,,,,,,,,,,
Quarterly Results,Operating Profit,29,31,33,49,42,39,35,31,,,,,,,,,,
Quarterly Results,OPM %,7%,8%,8%,11%,10%,8%,8%,7%,,,,,,,,,,
Quarterly Results,Other Income,7,6,8,9,6,9,7,7,,,,,,,,,,
Quarterly Results,Interest,4,5,5,5,5,5,5,3,,,,,,,,,,
Quarterly Results,Depreciation,7,7,7,9,8,8,8,8,,,,,,,,,,
Quarterly Results,Profit before tax,25,25,29,44,35,35,28,27,,,,,,,,,,
Quarterly Results,Tax %,26%,26%,25%,25%,26%,26%,25%,27%,,,,,,,,,,
Quarterly Results,Net Profit,19,18,22,33,26,26,21,20,,,,,,,,,,
Quarterly Results,EPS in Rs,2.29,2.27,2.68,4.03,3.20,3.17,2.63,2.41,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,1661,,,,1764,,,,,,,,,,
Profit & Loss,Expenses,,,,1519,,,,1616,,,,,,,,,,
Profit & Loss,Operating Profit,,,,142,,,,148,,,,,,,,,,
Profit & Loss,OPM %,,,,9%,,,,8%,,,,,,,,,,
Profit & Loss,Other Income,,,,30,,,,29,,,,,,,,,,
Profit & Loss,Interest,,,,18,,,,19,,,,,,,,,,
Profit & Loss,Depreciation,,,,31,,,,33,,,,,,,,,,
Profit & Loss,Profit before tax,,,,123,,,,125,,,,,,,,,,
Profit & Loss,Tax %,,,,25%,,,,26%,,,,,,,,,,
Profit & Loss,Net Profit,,,,92,,,,93,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,11.25,,,,11.39,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,18%,,,,26%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,81,,,,82,,,,,,,,,,
Balance Sheet,Reserves,,,,638,,,,716,,,,,,,,,,
Balance Sheet,Borrowings,,,,84,,,,120,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,237,,,,218,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,1040,,,,1136,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,325,,,,316,,,,,,,,,,
Balance Sheet,CWIP,,,,1,,,,117,,,,,,,,,,
Balance Sheet,Investments,,,,0,,,,10,,,,,,,,,,
Balance Sheet,Other Assets,,,,714,,,,693,,,,,,,,,,
Balance Sheet,Total Assets,,,,1040,,,,1136,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,142,,,,127,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,-50,,,,-127,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,-94,,,,3,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,-2,,,,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,58,,,,54,,,,,,,,,,
Ratios,Inventory Days,,,,129,,,,113,,,,,,,,,,
Ratios,Days Payable,,,,63,,,,47,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,123,,,,120,,,,,,,,,,
Ratios,Working Capital Days,,,,98,,,,94,,,,,,,,,,
Ratios,ROCE %,,,,,,,,17%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,60.71%,60.71%,60.67%,60.55%,60.55%,60.53%,60.49%,60.37%,60.81%,60.81%,60.71%,51.13%,,,,,,
Shareholding Pattern (Quarterly),FIIs,1.22%,0.96%,0.75%,0.49%,0.64%,0.60%,0.58%,0.64%,0.33%,0.54%,1.14%,0.50%,,,,,,
Shareholding Pattern (Quarterly),DIIs,1.06%,2.42%,2.50%,2.63%,3.14%,3.84%,4.51%,4.17%,1.24%,0.79%,1.03%,3.54%,,,,,,
Shareholding Pattern (Quarterly),Public,37.03%,35.91%,36.08%,36.33%,35.67%,35.01%,34.42%,34.82%,37.61%,37.86%,37.13%,44.84%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,31951,31906,33715,32866,34683,35229,36348,36287,33560,31934,30124,35856,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,60.55%,,,,60.37%,,,60.71%,51.13%,74.97%,65.75%,66.48%,59.18%,60.73%,60.78%
Shareholding Pattern (Yearly),FIIs,,,,0.49%,,,,0.64%,,,1.14%,0.50%,0.08%,0.04%,0.04%,0.00%,0.00%,0.38%
Shareholding Pattern (Yearly),DIIs,,,,2.63%,,,,4.17%,,,1.03%,3.54%,0.33%,10.23%,10.12%,9.20%,6.86%,1.27%
Shareholding Pattern (Yearly),Public,,,,36.33%,,,,34.82%,,,37.13%,44.84%,24.62%,23.98%,23.37%,31.62%,32.42%,37.56%
Shareholding Pattern (Yearly),No. of Shareholders,,,,32866,,,,36287,,,30124,35856,16421,17922,17416,17660,18214,36348
,,,,,,,,,,,,,,,,,,,
