Section,,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,283,411,430,307,358,418,466,377,429,454,704,468,599,,,,,,,,,,,,,,
Quarterly Results,Expenses,211,286,357,247,249,347,369,310,328,380,605,393,484,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,72,125,73,60,110,71,96,67,100,74,98,74,115,,,,,,,,,,,,,,
Quarterly Results,OPM %,26%,30%,17%,19%,31%,17%,21%,18%,23%,16%,14%,16%,19%,,,,,,,,,,,,,,
Quarterly Results,Other Income,9,7,10,9,23,56,22,8,11,8,48,15,14,,,,,,,,,,,,,,
Quarterly Results,Interest,1,0,2,1,1,1,2,1,1,2,2,1,1,,,,,,,,,,,,,,
Quarterly Results,Depreciation,41,38,40,39,40,38,43,40,37,37,41,37,38,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,40,94,41,28,91,88,74,35,74,43,103,51,90,,,,,,,,,,,,,,
Quarterly Results,Tax %,27%,26%,33%,24%,26%,25%,26%,25%,25%,26%,26%,25%,25%,,,,,,,,,,,,,,
Quarterly Results,Net Profit,29,70,27,21,68,66,54,26,55,32,76,38,68,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.91,2.17,0.85,0.66,2.10,2.06,1.69,0.81,1.72,1.00,2.37,1.20,2.12,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,1378,,,,1548,,,,1964,,,453,482,578,850,987,1003,1128,2225,,,,,,
Profit & Loss,Expenses,,,1050,,,,1181,,,,1584,,,284,299,372,591,712,701,794,1863,,,,,,
Profit & Loss,Operating Profit,,,327,,,,368,,,,380,,,169,184,206,259,274,302,334,362,,,,,,
Profit & Loss,OPM %,,,24%,,,,24%,,,,19%,,,37%,38%,36%,30%,28%,30%,30%,16%,,,,,,
Profit & Loss,Other Income,,,33,,,,79,,,,36,,,84,73,70,52,44,35,-12,84,,,,,,
Profit & Loss,Interest,,,4,,,,6,,,,7,,,0,0,1,1,4,8,7,6,,,,,,
Profit & Loss,Depreciation,,,159,,,,160,,,,154,,,85,90,81,116,119,112,131,153,,,,,,
Profit & Loss,Profit before tax,,,197,,,,281,,,,255,,,169,166,195,194,196,218,185,288,,,,,,
Profit & Loss,Tax %,,,28%,,,,26%,,,,26%,,,18%,27%,47%,33%,20%,38%,24%,,,,,,,
Profit & Loss,Net Profit,,,142,,,,209,,,,189,,,276,242,103,130,158,135,141,215,,,,,,
Profit & Loss,EPS in Rs,,,4.44,,,,6.51,,,,5.89,,,4.30,3.77,3.20,4.06,4.92,4.22,4.40,6.69,,,,,,
Profit & Loss,Dividend Payout %,,,50%,,,,37%,,,,43%,,,12%,14%,40%,34%,11%,47%,48%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,321,,,,321,,,,321,,321,,,321,321,321,321,321,,,,,,,
