Section,,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,47.79,55.05,57.12,61.67,60.67,,,,
Quarterly Results,Expenses,43.86,43.37,48.39,52.05,51.14,,,,
Quarterly Results,Operating Profit,3.93,11.68,8.73,9.62,9.53,,,,
Quarterly Results,OPM %,8.22%,21.22%,15.28%,15.60%,15.71%,,,,
Quarterly Results,Other Income,-0.36,-0.42,0.73,0.59,2.04,,,,
Quarterly Results,Interest,1.33,1.40,1.18,1.54,1.26,,,,
Quarterly Results,Depreciation,3.25,3.26,3.40,3.95,4.30,,,,
Quarterly Results,Profit before tax,-1.01,6.60,4.88,4.72,6.01,,,,
Quarterly Results,Tax %,-139.60%,16.36%,23.36%,22.67%,41.26%,,,,
Quarterly Results,Net Profit,2.35,7.71,5.90,4.82,4.27,,,,
Quarterly Results,EPS in Rs,74.05,243.91,2.12,0.93,0.78,,,,
Quarterly Results,Raw PDF,,,,,,,,,
,,,,,,,,,,
Profit & Loss,Sales,,194,,,239,150,92,137,162
Profit & Loss,Expenses,,169,,,197,146,88,130,152
Profit & Loss,Operating Profit,,25,,,42,3,4,7,9
Profit & Loss,OPM %,,13%,,,18%,2%,5%,5%,6%
Profit & Loss,Other Income,,-0,,,10,2,0,-10,2
Profit & Loss,Interest,,6,,,5,3,3,4,4
Profit & Loss,Depreciation,,12,,,15,7,6,8,11
Profit & Loss,Profit before tax,,7,,,31,-4,-4,-16,-5
Profit & Loss,Tax %,,-136%,,,21%,5%,8%,15%,4%
Profit & Loss,Net Profit,,25,,,32,-5,-5,-19,-4
Profit & Loss,EPS in Rs,,804.81,,,5.78,-154.92,-156.22,-596.62,-128.94
Profit & Loss,Dividend Payout %,,0%,,,0%,0%,0%,0%,0%
,,,,,,,,,,
Balance Sheet,Equity Capital,,0.31,,,11,0.31,0.31,0.31,0.31
Balance Sheet,Reserves,,31,,,198,37,33,9,6
Balance Sheet,Borrowings,,61,,,20,37,39,50,50
Balance Sheet,Other Liabilities,,42,,,57,31,34,43,40
Balance Sheet,Total Liabilities,,135,,,285,106,106,103,97
Balance Sheet,Fixed Assets,,46,,,51,39,42,40,40
Balance Sheet,CWIP,,0,,,0,0,7,0,0
Balance Sheet,Investments,,6,,,10,0,0,0,0
Balance Sheet,Other Assets,,83,,,224,66,56,63,56
Balance Sheet,Total Assets,,135,,,285,106,106,103,97
,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,8,,,44,12,10,-2,14
Cash Flows,Cash from Investing Activity,,-15,,,-29,-18,-9,3,-10
Cash Flows,Cash from Financing Activity,,1,,,111,6,-0,-4,-1
Cash Flows,Net Cash Flow,,-5,,,125,0,0,-3,3
,,,,,,,,,,
Ratios,Debtor Days,,47,,,56,64,64,54,46
Ratios,Inventory Days,,186,,,119,186,305,272,212
Ratios,Days Payable,,119,,,204,197,273,245,197
Ratios,Cash Conversion Cycle,,114,,,-30,54,96,81,61
Ratios,Working Capital Days,,52,,,39,50,57,56,40
Ratios,ROCE %,,19%,,,19%,,3%,-1%,1%
,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,41.70%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,34.24%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,12.86%,,,,
Shareholding Pattern (Quarterly),Public,,,,,11.19%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,29482,,,,
,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,41.70%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,34.24%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,12.86%,,,,
Shareholding Pattern (Yearly),Public,,,,,11.19%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,29482,,,,
,,,,,,,,,,
