Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Dec 2024,Mar 2025
Quarterly Results,Sales,183,177,189,176,191,170,195,182,186,179,198,190,,,,,,,,,
Quarterly Results,Expenses,168,157,173,162,176,151,180,168,173,164,183,176,,,,,,,,,
Quarterly Results,Operating Profit,15,20,16,14,15,19,15,14,14,15,15,14,,,,,,,,,
Quarterly Results,OPM %,8%,11%,8%,8%,8%,11%,8%,8%,7%,8%,7%,8%,,,,,,,,,
Quarterly Results,Other Income,3,7,1,11,4,15,7,12,7,10,10,15,,,,,,,,,
Quarterly Results,Interest,-0,0,-0,0,-0,-0,-0,0,-0,0,-0,-0,,,,,,,,,
Quarterly Results,Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Quarterly Results,Profit before tax,18,27,17,25,18,33,21,25,20,25,25,29,,,,,,,,,
Quarterly Results,Tax %,26%,19%,14%,18%,27%,20%,15%,17%,24%,20%,16%,22%,,,,,,,,,
Quarterly Results,Net Profit,13,22,16,21,13,25,18,21,15,20,21,23,,,,,,,,,
Quarterly Results,EPS in Rs,10.58,17.82,12.47,17.12,10.21,20.38,14.29,16.88,12.17,15.88,16.70,18.11,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,646,,,,726,,,,741,,,502,519,479,524,532,532,753,,
Profit & Loss,Expenses,,588,,,,662,,,,684,,,471,484,444,480,497,486,696,,
Profit & Loss,Operating Profit,,59,,,,64,,,,57,,,31,35,35,44,36,45,57,,
Profit & Loss,OPM %,,9%,,,,9%,,,,8%,,,6%,7%,7%,8%,7%,9%,8%,,
Profit & Loss,Other Income,,18,,,,30,,,,35,,,7,11,9,16,26,24,42,,
Profit & Loss,Interest,,0,,,,0,,,,0,,,-0,-0,-0,0,0,0,0,,
Profit & Loss,Depreciation,,1,,,,1,,,,1,,,1,1,1,1,1,1,1,,
Profit & Loss,Profit before tax,,76,,,,94,,,,91,,,38,46,44,58,61,68,99,,
Profit & Loss,Tax %,,20%,,,,20%,,,,19%,,,30%,30%,29%,29%,19%,23%,,,
Profit & Loss,Net Profit,,61,,,,75,,,,74,,,27,32,31,41,50,53,78,,
Profit & Loss,EPS in Rs,,48.68,,,,60.21,,,,59.23,,,21.38,25.78,25.09,33.06,39.70,42.38,62.86,,
Profit & Loss,Dividend Payout %,,27%,,,,40%,,,,46%,,,28%,28%,29%,36%,25%,24%,,,
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,12,,,,12,,,,12,,12,8,8,8,8,12,12,,,
Balance Sheet,Reserves,,1222,,,,1356,,,,2058,,2512,224,740,872,1004,926,1428,,,
Balance Sheet,Borrowings,,5,,,,-0,,,,-0,,-0,13,12,19,14,14,-0,,,
Balance Sheet,Other Liabilities,,129,,,,134,,,,240,,316,46,59,56,109,105,190,,,
Balance Sheet,Total Liabilities,,1369,,,,1502,,,,2311,,2841,292,819,955,1135,1057,1631,,,
Balance Sheet,Fixed Assets,,17,,,,19,,,,20,,20,11,14,16,17,17,17,,,
Balance Sheet,CWIP,,-0,,,,-0,,,,-0,,-0,-0,-0,0,-0,-0,-0,,,
Balance Sheet,Investments,,1168,,,,1286,,,,2063,,2579,116,675,791,962,858,1412,,,
Balance Sheet,Other Assets,,184,,,,196,,,,228,,242,165,131,148,156,182,203,,,
Balance Sheet,Total Assets,,1369,,,,1502,,,,2311,,2841,292,819,955,1135,1057,1631,,,
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,-2,,,,32,,,,27,,,32,23,11,16,3,91,,,
Cash Flows,Cash from Investing Activity,,-7,,,,3,,,,15,,,-14,-58,-4,-5,40,-73,,,
Cash Flows,Cash from Financing Activity,,-8,,,,-33,,,,-30,,,-21,-5,2,-17,-33,-14,,,
Cash Flows,Net Cash Flow,,-17,,,,2,,,,12,,,-3,-40,9,-6,9,5,,,
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,52,,,,46,,,,48,,,40,41,51,52,54,53,,,
Ratios,Inventory Days,,47,,,,49,,,,45,,,40,37,47,47,51,42,,,
Ratios,Days Payable,,42,,,,35,,,,36,,,30,34,38,37,29,61,,,
Ratios,Cash Conversion Cycle,,57,,,,60,,,,58,,,51,43,61,62,76,34,,,
Ratios,Working Capital Days,,53,,,,55,,,,54,,,47,45,58,61,76,36,,,
Ratios,ROCE %,,5%,,,,6%,,,,5%,,,,7%,5%,5%,5%,5%,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,30.72%,30.71%,30.71%,30.71%,30.71%,30.71%,30.71%,30.71%,30.71%,30.71%,,,,,,,,30.71%,30.71%
Shareholding Pattern (Quarterly),FIIs,,,0.00%,7.53%,7.59%,7.86%,7.96%,7.96%,7.96%,8.04%,8.08%,7.88%,,,,,,,,7.89%,7.89%
Shareholding Pattern (Quarterly),DIIs,,,10.00%,2.49%,2.49%,2.49%,2.49%,2.49%,2.49%,2.49%,2.49%,2.49%,,,,,,,,2.49%,2.49%
Shareholding Pattern (Quarterly),Public,,,59.28%,59.26%,59.20%,58.93%,58.83%,58.83%,58.83%,58.75%,58.71%,58.92%,,,,,,,,58.90%,58.91%
Shareholding Pattern (Quarterly),No. of Shareholders,,,8606,8721,8564,8595,8862,9200,9845,9703,9937,10737,,,,,,,,10904,11124
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,30.72%,,,,30.71%,,,,30.71%,,,,30.72%,30.72%,30.72%,30.72%,30.72%,,,30.71%
Shareholding Pattern (Yearly),FIIs,,0.00%,,,,7.86%,,,,8.04%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,,,7.89%
Shareholding Pattern (Yearly),DIIs,,10.00%,,,,2.49%,,,,2.49%,,,,8.41%,8.50%,8.63%,9.73%,10.00%,,,2.49%
Shareholding Pattern (Yearly),Public,,59.28%,,,,58.93%,,,,58.75%,,,,60.87%,60.79%,60.65%,59.55%,59.29%,,,58.91%
Shareholding Pattern (Yearly),No. of Shareholders,,8733,,,,8595,,,,9703,,,,7312,7565,7515,8224,8317,,,11124
,,,,,,,,,,,,,,,,,,,,,,
