Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,195,145,130,125,116,118,107,123,121,135,126,135,,,,,,,,,
Quarterly Results,Expenses,177,141,120,113,109,105,95,107,107,119,114,125,,,,,,,,,
Quarterly Results,Operating Profit,17,4,10,11,7,13,12,16,14,16,12,10,,,,,,,,,
Quarterly Results,OPM %,9%,3%,8%,9%,6%,11%,11%,13%,11%,12%,10%,8%,,,,,,,,,
Quarterly Results,Other Income,6,7,5,-43,6,6,7,17,7,8,7,19,,,,,,,,,
Quarterly Results,Interest,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Quarterly Results,Depreciation,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,
Quarterly Results,Profit before tax,20,8,11,-35,10,16,16,30,18,22,16,27,,,,,,,,,
Quarterly Results,Tax %,29%,63%,28%,12%,43%,27%,26%,21%,23%,21%,23%,13%,,,,,,,,,
Quarterly Results,Net Profit,14,3,8,-39,6,12,12,23,14,17,12,23,,,,,,,,,
Quarterly Results,EPS in Rs,0.80,0.17,0.47,-2.19,0.31,0.65,0.67,1.31,0.77,0.96,0.69,1.30,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,594,,,,463,,,,518,748,706,669,695,588,636,527,472,720
Profit & Loss,Expenses,,,,551,,,,415,,,,465,629,616,581,616,525,565,481,423,665
Profit & Loss,Operating Profit,,,,44,,,,48,,,,53,119,90,88,79,63,71,45,48,55
Profit & Loss,OPM %,,,,7%,,,,10%,,,,10%,16%,13%,13%,11%,11%,11%,9%,10%,8%
Profit & Loss,Other Income,,,,-26,,,,36,,,,41,51,23,18,21,26,-123,35,112,27
Profit & Loss,Interest,,,,0,,,,0,,,,0,3,2,83,78,52,34,25,16,4
Profit & Loss,Depreciation,,,,13,,,,12,,,,11,18,23,18,17,18,18,15,14,13
Profit & Loss,Profit before tax,,,,5,,,,72,,,,82,149,87,5,5,18,-104,40,130,66
Profit & Loss,Tax %,,,,383%,,,,27%,,,,19%,33%,34%,366%,465%,106%,4%,17%,29%,20%
Profit & Loss,Net Profit,,,,-14,,,,52,,,,66,100,52,-14,-18,-1,-108,34,93,53
Profit & Loss,EPS in Rs,,,,-0.76,,,,2.94,,,,3.73,5.58,2.94,-0.79,-1.02,-0.11,-6.06,1.88,5.19,2.95
Profit & Loss,Dividend Payout %,,,,-66%,,,,17%,,,,0%,9%,17%,-63%,-49%,-470%,-8%,27%,10%,17%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,18,,,,18,,,,18,18,18,18,18,18,18,18,18,18
Balance Sheet,Reserves,,,,1178,,,,1233,,,,1388,2295,2253,1157,1218,1104,1016,1048,1139,1197
Balance Sheet,Borrowings,,,,239,,,,236,,,,0,42,27,904,923,622,580,470,330,236
Balance Sheet,Other Liabilities,,,,53,,,,49,,,,62,54,62,109,97,97,73,59,54,62
Balance Sheet,Total Liabilities,,,,1488,,,,1535,,,,1467,2409,2361,2188,2256,1840,1687,1594,1541,1512
Balance Sheet,Fixed Assets,,,,225,,,,213,,,,201,219,206,183,275,274,279,256,230,224
Balance Sheet,CWIP,,,,1,,,,1,,,,0,7,6,10,6,20,6,6,1,0
Balance Sheet,Investments,,,,805,,,,882,,,,810,1170,1163,1208,1269,838,814,748,699,722
Balance Sheet,Other Assets,,,,458,,,,440,,,,457,1012,986,787,706,708,587,585,611,567
Balance Sheet,Total Assets,,,,1488,,,,1535,,,,1467,2409,2361,2188,2256,1840,1687,1594,1541,1512
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,72,,,,41,,,,45,57,79,71,86,48,71,61,-5,91
Cash Flows,Cash from Investing Activity,,,,-60,,,,-30,,,,111,27,59,15,-47,515,2,74,170,4
Cash Flows,Cash from Financing Activity,,,,-17,,,,-11,,,,-155,-60,-149,-96,-39,-559,-78,-135,-158,-98
Cash Flows,Net Cash Flow,,,,-5,,,,-0,,,,1,23,-11,-10,-1,4,-5,0,7,-3
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,32,,,,39,,,,39,54,45,41,41,49,38,48,47,33
Ratios,Inventory Days,,,,182,,,,243,,,,208,138,169,222,171,220,193,206,293,156
Ratios,Days Payable,,,,4,,,,8,,,,3,8,13,21,4,8,7,4,6,5
Ratios,Cash Conversion Cycle,,,,211,,,,275,,,,244,184,201,242,207,261,225,249,334,184
Ratios,Working Capital Days,,,,196,,,,241,,,,331,384,332,293,-230,308,16,262,323,188
Ratios,ROCE %,,,,3%,,,,4%,,,,6%,6%,4%,4%,4%,3%,4%,3%,4%,4%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,73.01%,73.01%,73.01%,73.80%,73.80%,73.80%,73.80%,73.80%,73.80%,73.79%,73.91%,73.91%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,0.62%,0.73%,0.78%,0.92%,0.76%,0.92%,1.44%,1.73%,1.68%,1.61%,1.61%,1.40%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,1.59%,1.60%,1.60%,1.60%,1.60%,1.66%,1.65%,1.63%,1.64%,1.60%,1.63%,1.64%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,24.78%,24.67%,24.61%,23.68%,23.85%,23.64%,23.13%,22.85%,22.90%,22.99%,22.84%,23.04%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,96644,93031,92223,89868,86142,83113,83493,82998,82525,87655,87034,101427,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,73.80%,,,,73.80%,,,,73.91%,,,,73.01%,73.01%,73.01%,73.01%,73.01%,73.01%
Shareholding Pattern (Yearly),FIIs,,,,0.92%,,,,1.73%,,,,1.40%,,,,4.55%,5.37%,5.60%,5.09%,4.74%,0.64%
Shareholding Pattern (Yearly),DIIs,,,,1.60%,,,,1.63%,,,,1.64%,,,,1.94%,1.96%,2.21%,2.04%,1.61%,1.60%
Shareholding Pattern (Yearly),Public,,,,23.68%,,,,22.85%,,,,23.04%,,,,20.50%,19.66%,19.18%,19.86%,20.65%,24.76%
Shareholding Pattern (Yearly),No. of Shareholders,,,,89868,,,,82998,,,,101427,,,,75236,78882,76100,82330,83974,97395
,,,,,,,,,,,,,,,,,,,,,,
