Section,,Dec 2005,Dec 2006,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,223,242,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,194,225,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,29,18,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,13%,7%,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,7,18,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,2,3,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,6,6,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,27,27,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,71%,36%,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,8,17,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,1.97,4.37,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,667,727,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,610,692,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,57,35,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,9%,5%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,50,84,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,8,9,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,23,23,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,77,87,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,50%,36%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,38,55,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,9.71,14.03,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,23%,17%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,40,40,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,250,294,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,120,112,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,436,468,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,846,914,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,161,153,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,8,4,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,4,4,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,674,754,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,846,914,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-12,38,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-34,-16,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,25,-26,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-21,-4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,94,108,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,186,163,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,170,139,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,111,133,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,112,128,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,20%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,71.43%,71.44%,71.44%,71.44%,71.44%,71.44%,71.44%,71.44%,71.44%,71.44%,71.44%,71.44%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,2.95%,3.10%,3.19%,3.18%,3.18%,3.30%,3.53%,3.62%,3.63%,3.30%,3.42%,3.49%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,13.10%,12.76%,12.78%,12.74%,13.06%,13.23%,12.70%,12.80%,12.47%,12.08%,11.69%,11.56%,,,,,,
Shareholding Pattern (Quarterly),Public,,,12.51%,12.71%,12.59%,12.64%,12.32%,12.05%,12.33%,12.15%,12.47%,13.18%,13.45%,13.53%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,57760,57896,57048,57253,48404,45329,46907,45852,46201,51289,54289,54216,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,71.44%,,,,71.44%,,,,71.44%,68.58%,68.69%,68.69%,71.43%,71.43%,71.43%
Shareholding Pattern (Yearly),FIIs,,,,,,3.18%,,,,3.62%,,,,3.49%,7.61%,4.43%,3.62%,2.17%,2.87%,2.90%
Shareholding Pattern (Yearly),DIIs,,,,,,12.74%,,,,12.80%,,,,11.56%,12.57%,14.42%,15.88%,13.86%,12.49%,12.90%
Shareholding Pattern (Yearly),Public,,,,,,12.64%,,,,12.15%,,,,13.53%,11.24%,12.46%,11.80%,12.53%,13.21%,12.77%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,57253,,,,45852,,,,54216,22176,44345,44093,57059,65285,60230
,,,,,,,,,,,,,,,,,,,,,
