Section,,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,355,432,470,321,385,413,470,472,571,471,530,478,584,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,321,388,414,303,355,376,428,432,513,433,480,443,524,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,34,44,56,18,30,37,42,40,58,38,50,34,60,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,9%,10%,12%,6%,8%,9%,9%,8%,10%,8%,10%,7%,10%,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,1,1,1,1,3,2,-3,-1,2,2,2,11,2,,,,,,,,,,,,,,,,
Quarterly Results,Interest,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,22,21,20,19,18,17,17,17,18,19,19,19,20,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,12,23,36,-1,14,21,21,21,41,20,32,25,42,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,27%,28%,26%,-6%,26%,26%,27%,26%,27%,23%,18%,25%,27%,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,9,17,27,-1,11,16,15,16,30,15,26,19,30,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.33,0.65,1.04,-0.05,0.39,0.59,0.58,0.58,1.14,0.59,1.03,0.70,1.11,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,1333,,,,1589,,,,2044,,,1421,1460,1492,1553,1518,1211,1519,1754,1511,2063,,,,,,
Profit & Loss,Expenses,,,1230,,,,1461,,,,1857,,,1246,1295,1313,1337,1324,1063,1306,1532,1374,1879,,,,,,
Profit & Loss,Operating Profit,,,103,,,,127,,,,187,,,175,165,179,216,194,148,213,222,137,183,,,,,,
Profit & Loss,OPM %,,,8%,,,,8%,,,,9%,,,12%,11%,12%,14%,13%,12%,14%,13%,9%,9%,,,,,,
Profit & Loss,Other Income,,,5,,,,3,,,,5,,,3,9,39,5,16,12,9,12,9,17,,,,,,
Profit & Loss,Interest,,,5,,,,4,,,,5,,,46,41,39,31,32,25,21,16,10,5,,,,,,
Profit & Loss,Depreciation,,,83,,,,71,,,,73,,,46,58,68,104,99,79,96,96,93,77,,,,,,
Profit & Loss,Profit before tax,,,21,,,,56,,,,114,,,86,74,111,86,79,56,104,122,43,118,,,,,,
Profit & Loss,Tax %,,,33%,,,,27%,,,,24%,,,30%,35%,22%,31%,32%,28%,34%,36%,18%,,,,,,,
Profit & Loss,Net Profit,,,14,,,,41,,,,87,,,60,48,86,58,54,40,68,78,35,90,,,,,,
Profit & Loss,EPS in Rs,,,0.48,,,,1.51,,,,3.33,,,2.45,1.92,3.41,1.91,1.86,1.86,3.21,2.98,1.24,3.43,,,,,,
Profit & Loss,Dividend Payout %,,,31%,,,,26%,,,,15%,,,27%,34%,23%,34%,27%,27%,16%,27%,28%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,24,,,,24,,,,24,,24,20,20,20,20,20,20,20,24,24,,,,,,,
