Section,,Mar 2025,May 2025
Quarterly Results,Sales,,
Quarterly Results,Expenses,,
Quarterly Results,Operating Profit,,
Quarterly Results,OPM %,,
Quarterly Results,Other Income,,
Quarterly Results,Interest,,
Quarterly Results,Depreciation,,
Quarterly Results,Profit before tax,,
Quarterly Results,Tax %,,
Quarterly Results,Net Profit,,
Quarterly Results,EPS in Rs,,
Quarterly Results,Raw PDF,,
,,,
Profit & Loss,Sales,7830,
Profit & Loss,Expenses,6607,
Profit & Loss,Operating Profit,1223,
Profit & Loss,OPM %,16%,
Profit & Loss,Other Income,-21,
Profit & Loss,Interest,413,
Profit & Loss,Depreciation,706,
Profit & Loss,Profit before tax,83,
Profit & Loss,Tax %,29%,
Profit & Loss,Net Profit,60,
Profit & Loss,EPS in Rs,,
Profit & Loss,Dividend Payout %,0%,
,,,
Balance Sheet,Equity Capital,0.05,
Balance Sheet,Reserves,1276,
Balance Sheet,Borrowings,2932,
Balance Sheet,Other Liabilities,4070,
Balance Sheet,Total Liabilities,8279,
Balance Sheet,Fixed Assets,3280,
Balance Sheet,CWIP,13,
Balance Sheet,Investments,117,
Balance Sheet,Other Assets,4869,
Balance Sheet,Total Assets,8279,
,,,
Cash Flows,Cash from Operating Activity,1144,
Cash Flows,Cash from Investing Activity,139,
Cash Flows,Cash from Financing Activity,-1230,
Cash Flows,Net Cash Flow,53,
,,,
Ratios,Debtor Days,62,
Ratios,Inventory Days,235,
Ratios,Days Payable,237,
Ratios,Cash Conversion Cycle,60,
Ratios,Working Capital Days,47,
Ratios,ROCE %,,
,,,
Shareholding Pattern (Quarterly),Promoters,,46.58%
Shareholding Pattern (Quarterly),FIIs,,23.07%
Shareholding Pattern (Quarterly),DIIs,,11.22%
Shareholding Pattern (Quarterly),Public,,18.77%
Shareholding Pattern (Quarterly),Others,,0.35%
Shareholding Pattern (Quarterly),No. of Shareholders,,298741
,,,
Shareholding Pattern (Yearly),Promoters,,46.58%
Shareholding Pattern (Yearly),FIIs,,23.07%
Shareholding Pattern (Yearly),DIIs,,11.22%
Shareholding Pattern (Yearly),Public,,18.77%
Shareholding Pattern (Yearly),Others,,0.35%
Shareholding Pattern (Yearly),No. of Shareholders,,298741
,,,
