Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2021,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Quarterly Results,Sales,20.30,23.02,26.98,24.87,35.69,31.70,19.92,23.03,29.38,16.84,19.19,17.51,17.93,,,,,,,,,,
Quarterly Results,Expenses,10.73,8.33,10.61,12.75,23.32,22.11,14.93,18.31,26.00,18.20,15.58,15.99,16.24,,,,,,,,,,
Quarterly Results,Operating Profit,9.57,14.69,16.37,12.12,12.37,9.59,4.99,4.72,3.38,-1.36,3.61,1.52,1.69,,,,,,,,,,
Quarterly Results,OPM %,47.14%,63.81%,60.67%,48.73%,34.66%,30.25%,25.05%,20.50%,11.50%,-8.08%,18.81%,8.68%,9.43%,,,,,,,,,,
Quarterly Results,Other Income,0.55,0.56,0.66,0.54,0.98,0.70,0.61,0.58,0.66,0.66,0.81,0.77,0.93,,,,,,,,,,
Quarterly Results,Interest,0.02,0.04,0.02,0.04,0.05,0.04,0.04,0.13,-0.01,0.03,0.06,0.17,0.09,,,,,,,,,,
Quarterly Results,Depreciation,0.38,0.42,0.44,0.45,0.47,0.50,0.69,0.94,0.73,0.86,0.88,0.88,0.87,,,,,,,,,,
Quarterly Results,Profit before tax,9.72,14.79,16.57,12.17,12.83,9.75,4.87,4.23,3.32,-1.59,3.48,1.24,1.66,,,,,,,,,,
Quarterly Results,Tax %,26.23%,25.49%,25.29%,26.54%,25.33%,28.21%,23.61%,30.50%,33.43%,6.92%,27.30%,34.68%,20.48%,,,,,,,,,,
Quarterly Results,Net Profit,7.16,11.02,12.37,8.93,9.57,7.01,3.41,2.80,2.25,-1.75,2.46,0.75,1.26,,,,,,,,,,
Quarterly Results,EPS in Rs,7.32,11.26,12.64,9.13,9.78,7.17,3.49,2.86,2.30,-1.79,2.51,0.77,1.29,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,65.97,,,,110.34,,,,103.97,,,,71.47,66.86,57.40,43.94,39.09,35.58,62.82,,,,
Profit & Loss,Expenses,43.90,,,,54.72,,,,81.29,,,,66.04,56.54,49.64,38.12,34.16,31.12,37.20,,,,
Profit & Loss,Operating Profit,22.07,,,,55.62,,,,22.68,,,,5.43,10.32,7.76,5.82,4.93,4.46,25.62,,,,
Profit & Loss,OPM %,33.45%,,,,50.41%,,,,21.81%,,,,7.60%,15.44%,13.52%,13.25%,12.61%,12.54%,40.78%,,,,
Profit & Loss,Other Income,1.79,,,,2.65,,,,2.56,,,,3.18,0.38,0.23,0.30,0.18,0.36,2.05,,,,
Profit & Loss,Interest,0.09,,,,0.14,,,,0.20,,,,0.34,3.59,3.81,3.26,3.41,2.75,0.08,,,,
Profit & Loss,Depreciation,1.67,,,,1.78,,,,2.85,,,,3.49,2.16,2.39,2.43,2.03,1.99,1.79,,,,
Profit & Loss,Profit before tax,22.10,,,,56.35,,,,22.19,,,,4.78,4.95,1.79,0.43,-0.33,0.08,25.80,,,,
Profit & Loss,Tax %,24.34%,,,,25.64%,,,,28.39%,,,,38.08%,28.89%,25.14%,9.30%,378.79%,-212.50%,18.64%,,,,
Profit & Loss,Net Profit,16.71,,,,41.90,,,,15.47,,,,2.73,3.52,1.35,0.39,-1.59,0.25,20.99,,,,
Profit & Loss,EPS in Rs,17.08,,,,42.83,,,,15.81,,,,2.79,3.60,1.38,0.40,-1.63,0.26,21.46,,,,
Profit & Loss,Dividend Payout %,17.56%,,,,7.00%,,,,15.80%,,,,0.00%,27.78%,3.62%,0.00%,0.00%,0.00%,23.30%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,9.78,,,,9.78,,,,9.78,,,,9.78,9.78,9.78,9.78,9.78,9.78,9.78,,,,
Balance Sheet,Reserves,90.41,,,,124.74,,,,138.33,,,,151.48,23.57,24.25,24.54,22.75,23.00,75.20,,,,
Balance Sheet,Borrowings,0.00,,,,0.00,,,,0.00,,,,0.03,26.34,19.53,19.75,20.10,15.56,0.30,,,,
Balance Sheet,Other Liabilities,10.36,,,,16.56,,,,14.56,,,,16.80,14.85,12.90,10.47,10.05,8.64,9.50,,,,
Balance Sheet,Total Liabilities,110.55,,,,151.08,,,,162.67,,,,178.09,74.54,66.46,64.54,62.68,56.98,94.78,,,,
Balance Sheet,Fixed Assets,37.55,,,,40.06,,,,65.38,,,,63.79,34.51,33.23,31.51,29.30,27.33,22.47,,,,
Balance Sheet,CWIP,1.88,,,,21.39,,,,0.83,,,,2.26,1.13,1.51,1.17,1.17,1.20,0.15,,,,
Balance Sheet,Investments,12.67,,,,13.30,,,,15.76,,,,16.07,0.10,0.10,0.10,0.10,0.08,5.94,,,,
Balance Sheet,Other Assets,58.45,,,,76.33,,,,80.70,,,,95.97,38.80,31.62,31.76,32.11,28.37,66.22,,,,
Balance Sheet,Total Assets,110.55,,,,151.08,,,,162.67,,,,178.09,74.54,66.46,64.54,62.68,56.98,94.78,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,27.27,,,,16.28,,,,21.90,,,,-5.02,-0.53,16.01,2.73,2.49,7.12,15.37,,,,
Cash Flows,Cash from Investing Activity,-21.49,,,,-8.66,,,,-18.83,,,,14.65,-4.50,-5.43,0.86,0.51,0.08,-14.93,,,,
Cash Flows,Cash from Financing Activity,-5.28,,,,-6.01,,,,-3.13,,,,9.75,4.72,-10.61,-3.61,-3.06,-7.29,-3.69,,,,
Cash Flows,Net Cash Flow,0.50,,,,1.61,,,,-0.07,,,,19.38,-0.31,-0.03,-0.02,-0.06,-0.09,-3.25,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,55.44,,,,75.72,,,,58.63,,,,70.68,56.50,65.75,67.04,72.74,75.71,54.79,,,,
Ratios,Inventory Days,43.30,,,,233.57,,,,135.42,,,,320.39,177.56,122.26,184.13,184.33,155.05,283.59,,,,
Ratios,Days Payable,44.80,,,,104.92,,,,40.49,,,,88.82,71.12,58.50,66.67,52.30,34.46,64.90,,,,
Ratios,Cash Conversion Cycle,53.93,,,,204.37,,,,153.56,,,,302.25,162.95,129.52,184.50,204.77,196.31,273.47,,,,
Ratios,Working Capital Days,39.61,,,,96.39,,,,94.37,,,,184.52,99.25,79.04,109.73,129.79,115.20,104.35,,,,
Ratios,ROCE %,23.96%,,,,48.22%,,,,15.78%,,,,3.31%,,9.89%,6.86%,5.77%,5.61%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,54.56%,54.56%,54.56%,54.64%,54.64%,54.64%,54.64%,54.87%,54.87%,54.87%,54.87%,55.17%,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.11%,0.11%,0.11%,0.00%,0.00%,0.00%,0.04%,0.00%,0.00%,0.00%,0.02%,,,,,,,,,,
