Section,,Mar 2018,Mar 2023,Mar 2024,Sep 2022,Dec 2022,Jun 2023,Sep 2023,Dec 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,233.33,10.42,7.51,,,,,,,,,,,,,,
Profit & Loss,Expenses,221.88,9.84,5.01,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,11.45,0.58,2.50,,,,,,,,,,,,,,
Profit & Loss,OPM %,4.91%,5.57%,33.29%,,,,,,,,,,,,,,
Profit & Loss,Other Income,0.00,0.02,0.01,,,,,,,,,,,,,,
Profit & Loss,Interest,0.99,1.06,0.63,,,,,,,,,,,,,,
Profit & Loss,Depreciation,28.80,0.70,0.74,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,-18.34,-1.16,1.14,,,,,,,,,,,,,,
Profit & Loss,Tax %,-11.45%,0.86%,0.88%,,,,,,,,,,,,,,
Profit & Loss,Net Profit,-50.41,-1.18,1.13,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,-2.85,-0.06,0.06,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0.00%,0.00%,0.00%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,28.63,28.71,39.94,,,,,,,,,,,,,,
Balance Sheet,Reserves,42.26,-35.32,-32.81,,,,,,,,,,,,,,
Balance Sheet,Borrowings,107.68,17.20,8.85,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,29.02,2.48,2.46,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,207.59,13.07,18.44,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,41.35,1.83,1.09,,,,,,,,,,,,,,
Balance Sheet,CWIP,0.00,0.00,0.00,,,,,,,,,,,,,,
Balance Sheet,Investments,15.29,0.00,0.00,,,,,,,,,,,,,,
Balance Sheet,Other Assets,150.95,11.24,17.35,,,,,,,,,,,,,,
Balance Sheet,Total Assets,207.59,13.07,18.44,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,8.63,0.35,-3.45,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-24.10,-0.32,0.03,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,89.68,-0.05,3.62,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,74.21,-0.01,0.20,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,69.06,49.04,334.38,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,69.06,49.04,334.38,,,,,,,,,,,,,,
Ratios,Working Capital Days,40.77,67.96,309.11,,,,,,,,,,,,,,
Ratios,ROCE %,,,13.32%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,14.79%,0.16%,23.10%,19.19%,0.17%,0.18%,0.16%,0.16%,0.08%,0.08%,0.08%,9.03%,,,,
Shareholding Pattern (Quarterly),FIIs,,0.43%,0.43%,0.44%,0.44%,0.43%,0.43%,0.43%,0.43%,0.21%,0.21%,0.21%,0.22%,,,,
Shareholding Pattern (Quarterly),DIIs,,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.02%,0.02%,0.02%,0.01%,,,,
Shareholding Pattern (Quarterly),Public,,84.74%,99.38%,76.42%,80.33%,99.36%,99.35%,99.37%,99.37%,99.69%,99.68%,99.67%,90.74%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,15174,25809,15488,15803,13119,13178,14625,26472,28610,34226,35940,37763,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,42.79%,14.79%,0.16%,,,,,,,,,0.08%,9.03%,42.79%,0.17%,42.79%,35.20%
Shareholding Pattern (Yearly),FIIs,8.89%,0.43%,0.43%,,,,,,,,,0.21%,0.22%,11.53%,1.75%,1.75%,0.44%
Shareholding Pattern (Yearly),DIIs,2.68%,0.04%,0.04%,,,,,,,,,0.02%,0.01%,0.04%,0.05%,0.05%,0.04%
Shareholding Pattern (Yearly),Public,45.64%,84.74%,99.38%,,,,,,,,,99.67%,90.74%,45.64%,98.04%,55.42%,64.32%
Shareholding Pattern (Yearly),No. of Shareholders,6072,15174,25809,,,,,,,,,35940,37763,6211,6853,8492,12088
,,,,,,,,,,,,,,,,,,
