Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,252,259,572,252,365,506,252,296,641,1280,1063,,,,
Quarterly Results,Expenses,235,244,545,218,327,468,215,252,595,1228,1016,,,,
Quarterly Results,Operating Profit,17,15,27,33,39,38,37,44,46,52,48,,,,
Quarterly Results,OPM %,7%,6%,5%,13%,11%,8%,15%,15%,7%,4%,4%,,,,
Quarterly Results,Other Income,3,7,1,4,0,1,0,0,1,0,1,,,,
Quarterly Results,Interest,2,5,2,13,14,13,12,15,12,17,15,,,,
Quarterly Results,Depreciation,0,0,0,0,0,0,0,0,0,0,0,,,,
Quarterly Results,Profit before tax,18,18,25,24,25,26,25,29,35,35,33,,,,
Quarterly Results,Tax %,-5%,14%,11%,14%,6%,8%,16%,16%,22%,24%,9%,,,,
Quarterly Results,Net Profit,19,15,23,21,23,24,21,24,27,27,30,,,,
Quarterly Results,EPS in Rs,3.72,2.78,4.19,3.84,4.26,4.32,3.89,4.43,5.06,5.13,5.61,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,1163,,,,1380,,,,3281,4377,2771,1331,645
Profit & Loss,Expenses,,,1078,,,,1228,,,,3091,4321,2675,1250,554
Profit & Loss,Operating Profit,,,86,,,,152,,,,189,57,96,81,91
Profit & Loss,OPM %,,,7%,,,,11%,,,,6%,1%,3%,6%,14%
Profit & Loss,Other Income,,,0,,,,0,,,,2,0,1,0,2
Profit & Loss,Interest,,,10,,,,52,,,,58,17,53,31,26
Profit & Loss,Depreciation,,,1,,,,1,,,,1,2,1,1,1
Profit & Loss,Profit before tax,,,76,,,,100,,,,132,38,42,49,66
Profit & Loss,Tax %,,,7%,,,,11%,,,,18%,6%,7%,7%,7%
Profit & Loss,Net Profit,,,70,,,,89,,,,109,36,39,46,62
Profit & Loss,EPS in Rs,,,12.92,,,,16.30,,,,20.15,35330.00,112.89,9.04,12.25
Profit & Loss,Dividend Payout %,,,0%,,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,10,,,,10,,,,10,0.01,3,9,9
Balance Sheet,Reserves,,,817,,,,921,,,,1064,370,497,553,622
Balance Sheet,Borrowings,,,441,,,,929,,,,834,384,319,268,86
Balance Sheet,Other Liabilities,,,595,,,,1037,,,,1152,333,395,352,493
Balance Sheet,Total Liabilities,,,1863,,,,2897,,,,3060,1086,1213,1182,1210
Balance Sheet,Fixed Assets,,,19,,,,21,,,,22,27,21,20,20
Balance Sheet,CWIP,,,0,,,,0,,,,0,0,0,0,0
Balance Sheet,Investments,,,570,,,,1007,,,,974,39,47,60,97
Balance Sheet,Other Assets,,,1274,,,,1870,,,,2064,1020,1144,1101,1093
Balance Sheet,Total Assets,,,1863,,,,2897,,,,3060,1086,1213,1182,1210
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,211,,,,45,,,,-119,-126,18,62,149
Cash Flows,Cash from Investing Activity,,,-466,,,,-446,,,,210,1,-64,-4,-35
Cash Flows,Cash from Financing Activity,,,418,,,,403,,,,-150,185,22,66,-181
Cash Flows,Net Cash Flow,,,163,,,,1,,,,-58,59,-24,124,-67
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,78,,,,58,,,,37,20,57,94,176
Ratios,Inventory Days,,,22,,,,18,,,,2,6,4,7,42
Ratios,Days Payable,,,28,,,,46,,,,6,14,30,17,97
Ratios,Cash Conversion Cycle,,,72,,,,30,,,,34,11,31,85,121
Ratios,Working Capital Days,,,128,,,,165,,,,182,55,102,176,319
Ratios,ROCE %,,,8%,,,,9%,,,,10%,,11%,9%,10%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,72.09%,72.09%,72.09%,72.09%,72.09%,72.09%,72.09%,72.02%,71.50%,71.48%,,,,
Shareholding Pattern (Quarterly),FIIs,,7.70%,11.25%,12.40%,11.72%,11.58%,11.47%,10.42%,11.07%,12.86%,15.11%,,,,
Shareholding Pattern (Quarterly),DIIs,,1.48%,1.48%,1.48%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%,,,,
Shareholding Pattern (Quarterly),Public,,18.73%,15.19%,14.04%,16.19%,16.34%,16.45%,17.50%,16.88%,15.64%,13.41%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,39961,28243,17761,14524,13193,12871,11459,15513,16537,16786,,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,72.09%,,,,72.09%,,,,71.48%,,,,
Shareholding Pattern (Yearly),FIIs,,,11.25%,,,,11.47%,,,,15.11%,,,,
Shareholding Pattern (Yearly),DIIs,,,1.48%,,,,0.00%,,,,0.01%,,,,
Shareholding Pattern (Yearly),Public,,,15.19%,,,,16.45%,,,,13.41%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,28243,,,,12871,,,,16786,,,,
,,,,,,,,,,,,,,,,
