Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2011,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,May 2025
Quarterly Results,Sales,35,43,37,54,47,35,33,59,71,56,72,89,94,,,,,,,,,
Quarterly Results,Expenses,26,31,26,35,30,29,25,29,35,35,43,47,44,,,,,,,,,
Quarterly Results,Operating Profit,10,12,11,19,16,6,8,31,36,20,29,43,50,,,,,,,,,
Quarterly Results,OPM %,27%,28%,29%,36%,35%,17%,23%,52%,51%,37%,41%,48%,53%,,,,,,,,,
Quarterly Results,Other Income,-43,1,2,2,1,1,1,3,0,1,1,2,0,,,,,,,,,
Quarterly Results,Interest,0,1,1,0,1,1,1,1,1,1,2,3,3,,,,,,,,,
Quarterly Results,Depreciation,5,8,9,9,11,11,11,11,11,12,12,16,15,,,,,,,,,
Quarterly Results,Profit before tax,-39,4,3,12,6,-5,-3,21,24,9,16,26,32,,,,,,,,,
Quarterly Results,Tax %,6%,56%,6%,33%,64%,4%,21%,26%,39%,40%,32%,21%,40%,,,,,,,,,
Quarterly Results,Net Profit,-41,2,3,8,2,-5,-3,16,15,5,11,21,19,,,,,,,,,
Quarterly Results,EPS in Rs,2.09,1.36,1.30,2.13,0.57,-1.41,-0.87,4.19,3.76,1.36,2.83,5.20,4.76,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,120,,,,181,,,,198,,,,311,95,60,47,64,114,115,112,80,
Profit & Loss,Expenses,92,,,,122,,,,117,,,,169,42,47,40,48,78,96,98,81,
Profit & Loss,Operating Profit,28,,,,59,,,,81,,,,142,53,13,7,16,36,19,13,-2,
Profit & Loss,OPM %,23%,,,,32%,,,,41%,,,,46%,56%,21%,16%,25%,32%,17%,12%,-2%,
Profit & Loss,Other Income,-42,,,,6,,,,5,,,,4,-1,2,6,3,4,3,4,-30,
Profit & Loss,Interest,3,,,,3,,,,5,,,,9,0,2,2,2,2,3,3,4,
Profit & Loss,Depreciation,19,,,,37,,,,44,,,,55,7,8,7,13,14,19,21,19,
Profit & Loss,Profit before tax,-36,,,,25,,,,37,,,,83,45,5,5,5,24,0,-7,-54,
Profit & Loss,Tax %,11%,,,,40%,,,,42%,,,,32%,-1%,11%,6%,-41%,28%,1108%,-23%,-5%,
Profit & Loss,Net Profit,-40,,,,15,,,,22,,,,56,46,4,2,6,17,-4,-5,-52,
Profit & Loss,EPS in Rs,4.28,,,,5.05,,,,5.58,,,,14.12,15.42,1.43,0.73,2.11,5.50,1.73,0.61,-13.75,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,8%,9%,17%,6%,2%,7%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,16,,,,19,,,,20,,,,20,15,15,15,15,15,16,16,16,
Balance Sheet,Reserves,189,,,,387,,,,469,,,,536,126,193,195,152,209,208,197,158,
Balance Sheet,Borrowings,26,,,,39,,,,60,,,,122,2,12,14,22,24,26,16,14,
Balance Sheet,Other Liabilities,88,,,,61,,,,86,,,,100,23,25,37,135,136,134,136,117,
Balance Sheet,Total Liabilities,319,,,,506,,,,635,,,,778,165,244,262,324,385,383,365,304,
Balance Sheet,Fixed Assets,138,,,,157,,,,156,,,,281,46,21,22,179,217,208,203,194,
Balance Sheet,CWIP,19,,,,65,,,,113,,,,2,0,0,0,0,0,0,0,0,
Balance Sheet,Investments,6,,,,51,,,,0,,,,0,8,122,156,25,11,11,15,8,
Balance Sheet,Other Assets,156,,,,232,,,,366,,,,495,111,101,84,120,157,165,147,102,
Balance Sheet,Total Assets,319,,,,506,,,,635,,,,778,165,244,262,324,385,383,365,304,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,28,,,,-35,,,,19,,,,-53,34,1,45,-3,17,-23,31,19,
Cash Flows,Cash from Investing Activity,-20,,,,-188,,,,-80,,,,-17,5,-4,-42,13,-37,-17,-15,-12,
Cash Flows,Cash from Financing Activity,12,,,,215,,,,71,,,,50,-2,3,-2,4,38,7,-14,-8,
Cash Flows,Net Cash Flow,20,,,,-9,,,,11,,,,-19,37,-0,1,14,17,-34,2,-1,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,150,,,,168,,,,263,,,,261,120,343,219,132,134,186,155,148,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,150,,,,168,,,,263,,,,261,120,343,219,132,134,186,155,148,
Ratios,Working Capital Days,151,,,,247,,,,329,,,,408,172,390,249,214,149,276,244,165,
Ratios,ROCE %,4%,,,,7%,,,,8%,,,,15%,41%,,3%,3%,8%,1%,-1%,-7%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,40.66%,40.60%,39.70%,39.69%,39.65%,39.62%,37.91%,37.85%,37.33%,33.14%,33.08%,,,,,,,,,31.63%
Shareholding Pattern (Quarterly),FIIs,,,6.64%,6.63%,6.50%,6.33%,6.31%,4.68%,8.55%,8.22%,7.97%,7.77%,5.11%,,,,,,,,,6.29%
Shareholding Pattern (Quarterly),DIIs,,,0.01%,0.01%,0.01%,0.01%,0.01%,0.06%,0.10%,0.07%,0.19%,0.93%,0.68%,,,,,,,,,2.51%
Shareholding Pattern (Quarterly),Public,,,52.69%,52.76%,53.80%,53.98%,54.04%,55.66%,53.43%,53.85%,54.49%,58.15%,61.13%,,,,,,,,,59.55%
Shareholding Pattern (Quarterly),No. of Shareholders,,,6907,7401,7422,8952,10051,12902,15168,18897,22905,36536,38243,,,,,,,,,41117
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,47.80%,,,,39.70%,,,,37.91%,,,,33.08%,,,,52.21%,51.64%,51.37%,48.13%,48.01%,31.63%
Shareholding Pattern (Yearly),FIIs,5.51%,,,,6.50%,,,,8.55%,,,,5.11%,,,,7.77%,4.00%,5.02%,8.47%,6.51%,6.29%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.01%,,,,0.10%,,,,0.68%,,,,6.89%,3.48%,3.38%,0.01%,0.01%,2.51%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,46.69%,,,,53.80%,,,,53.43%,,,,61.13%,,,,33.13%,40.86%,40.23%,43.39%,45.47%,59.55%
Shareholding Pattern (Yearly),No. of Shareholders,7196,,,,7422,,,,15168,,,,38243,,,,4031,5410,5424,5672,5328,41117
,,,,,,,,,,,,,,,,,,,,,,,
