Section,,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,340,623,749,534,346,663,725,570,471,741,728,628,508,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,333,528,630,478,356,534,608,510,454,619,640,561,510,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,7,95,119,56,-10,128,117,60,18,122,88,67,-3,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,2%,15%,16%,10%,-3%,19%,16%,11%,4%,16%,12%,11%,-1%,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,11,8,7,10,21,12,15,14,10,7,7,5,7,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,2,2,2,2,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,11,14,19,16,13,18,20,11,15,18,18,18,20,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,6,87,105,48,-3,120,110,62,12,109,76,53,-16,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,76%,22%,19%,21%,-126%,24%,24%,26%,30%,25%,26%,25%,-13%,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,1,68,85,38,1,92,83,46,8,82,56,40,-14,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.08,3.48,4.41,1.96,0.03,4.72,4.27,2.35,0.42,4.23,2.90,2.03,-0.73,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1984,,,,2252,,,,2429,,,,2604,1068,1245,1423,1693,1738,1529,1664,1791,,,,,,,,,,,,
Profit & Loss,Expenses,1740,,,,1989,,,,2105,,,,2323,873,1039,1211,1429,1458,1298,1397,1524,,,,,,,,,,,,
Profit & Loss,Operating Profit,244,,,,263,,,,325,,,,281,194,206,213,264,280,231,266,267,,,,,,,,,,,,
Profit & Loss,OPM %,12%,,,,12%,,,,13%,,,,11%,18%,17%,15%,16%,16%,15%,16%,15%,,,,,,,,,,,,
Profit & Loss,Other Income,30,,,,46,,,,49,,,,22,14,-10,12,6,3,14,170,13,,,,,,,,,,,,
Profit & Loss,Interest,8,,,,10,,,,7,,,,7,7,17,21,15,12,16,9,7,,,,,,,,,,,,
Profit & Loss,Depreciation,46,,,,62,,,,64,,,,74,17,29,32,41,50,44,48,46,,,,,,,,,,,,
