Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,1124,1402,1258,1269,1289,1301,1269,1296,1317,1286,,,,
Quarterly Results,Expenses,918,1160,1007,1055,1053,1061,1038,1061,1083,1052,,,,
Quarterly Results,Operating Profit,206,243,250,214,237,240,231,236,234,233,,,,
Quarterly Results,OPM %,18%,17%,20%,17%,18%,18%,18%,18%,18%,18%,,,,
Quarterly Results,Other Income,18,47,31,30,31,24,23,16,28,61,,,,
Quarterly Results,Interest,5,5,5,5,5,4,5,5,6,5,,,,
Quarterly Results,Depreciation,24,25,24,26,27,29,30,30,30,31,,,,
Quarterly Results,Profit before tax,194,260,253,213,235,231,220,217,226,258,,,,
Quarterly Results,Tax %,24%,17%,24%,25%,28%,32%,26%,28%,25%,27%,,,,
Quarterly Results,Net Profit,148,217,192,160,170,157,162,157,169,189,,,,
Quarterly Results,EPS in Rs,36.58,5.34,4.72,3.95,4.20,3.88,3.99,3.88,4.16,4.66,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,,4414,,,,5117,,,,5168,2942,2852,2381,3530
Profit & Loss,Expenses,,3593,,,,4176,,,,4234,2437,2382,1995,2884
Profit & Loss,Operating Profit,,821,,,,941,,,,934,505,470,386,646
Profit & Loss,OPM %,,19%,,,,18%,,,,18%,17%,16%,16%,18%
Profit & Loss,Other Income,,88,,,,116,,,,128,36,36,39,49
Profit & Loss,Interest,,18,,,,19,,,,20,1,16,18,22
Profit & Loss,Depreciation,,95,,,,106,,,,121,69,99,92,86
Profit & Loss,Profit before tax,,796,,,,932,,,,921,471,392,315,587
Profit & Loss,Tax %,,22%,,,,27%,,,,27%,25%,36%,24%,26%
Profit & Loss,Net Profit,,624,,,,679,,,,677,353,252,239,437
Profit & Loss,EPS in Rs,,15.38,,,,16.75,,,,16.69,,,,
Profit & Loss,Dividend Payout %,,80%,,,,60%,,,,70%,18%,66%,0%,0%
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,81,,,,81,,,,81,42,42,42,42
Balance Sheet,Reserves,,2908,,,,3140,,,,3498,1715,1811,2100,2238
Balance Sheet,Borrowings,,255,,,,257,,,,237,0,258,266,261
Balance Sheet,Other Liabilities,,1957,,,,2100,,,,2848,512,462,1164,1676
Balance Sheet,Total Liabilities,,5201,,,,5578,,,,6664,2269,2573,3573,4218
Balance Sheet,Fixed Assets,,1095,,,,1151,,,,1130,819,1119,1090,1068
Balance Sheet,CWIP,,3,,,,0,,,,0,25,0,0,0
Balance Sheet,Investments,,30,,,,150,,,,616,39,36,497,528
Balance Sheet,Other Assets,,4074,,,,4277,,,,4918,1386,1417,1986,2622
Balance Sheet,Total Assets,,5201,,,,5578,,,,6664,2269,2573,3573,4218
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,401,,,,294,,,,699,369,267,1113,-39
Cash Flows,Cash from Investing Activity,,-440,,,,400,,,,-65,-19,-3,-664,70
Cash Flows,Cash from Financing Activity,,-347,,,,-557,,,,-486,-221,-261,-44,-44
Cash Flows,Net Cash Flow,,-385,,,,137,,,,148,129,4,405,-13
,,,,,,,,,,,,,,,
Ratios,Debtor Days,,91,,,,82,,,,71,71,93,91,79
Ratios,Inventory Days,,0,,,,0,,,,0,0,0,0,0
Ratios,Days Payable,,,,,,,,,,,312,,,
Ratios,Cash Conversion Cycle,,91,,,,82,,,,71,-241,93,91,79
Ratios,Working Capital Days,,69,,,,60,,,,37,55,65,-6,-8
Ratios,ROCE %,,28%,,,,28%,,,,26%,,22%,15%,25%
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,55.39%,55.39%,55.39%,55.22%,55.22%,55.22%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,2.02%,1.10%,1.63%,3.62%,3.10%,3.10%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,2.50%,1.51%,1.78%,3.44%,3.06%,2.48%,,,,
Shareholding Pattern (Quarterly),Public,,,,,40.09%,42.01%,41.20%,37.72%,38.61%,39.20%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,1039672,1178338,1241881,1279750,1350826,1374613,,,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,55.39%,,,,55.22%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,1.10%,,,,3.10%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,1.51%,,,,2.48%,,,,
Shareholding Pattern (Yearly),Public,,,,,,42.01%,,,,39.20%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,1178338,,,,1374613,,,,
,,,,,,,,,,,,,,,
