Section,,Dec 2008,Mar 2009,Jun 2009,Sep 2009,Dec 2009,Mar 2010,Jun 2010,Sep 2010,TTM,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,122,91,154,95,165,159,144,87,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,93,60,116,69,115,160,116,101,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,30,31,38,26,50,-1,28,-14,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,24%,34%,25%,27%,30%,-0%,20%,-16%,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,16,18,16,11,9,11,13,13,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,9,8,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,5,6,14,7,33,-19,7,-35,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,0%,-34%,0%,121%,0%,19%,0%,-23%,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,5,8,14,-1,33,-23,7,-27,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.28,0.47,0.88,-0.09,2.05,-1.42,0.45,-1.64,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,555,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,492,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,63,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,11%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,46,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,32,,,,,,,,,,,,,,,,,,
