Section,,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,1931,1451,1341,1966,1829,1564,1502,1954,1484,1644,1872,2191,2548,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,1459,931,842,1478,1447,1000,886,1424,1052,1114,1213,1399,1771,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,472,520,499,488,383,564,616,529,432,530,659,792,777,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,24%,36%,37%,25%,21%,36%,41%,27%,29%,32%,35%,36%,30%,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,32,29,27,38,122,84,71,81,89,93,88,149,147,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,302,325,363,416,368,452,494,425,461,560,585,668,718,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,30,26,28,44,54,48,43,50,12,58,59,71,87,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,171,198,136,66,83,148,150,136,47,6,103,201,119,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,-5%,34%,16%,-56%,-32%,13%,41%,11%,-34%,245%,47%,17%,52%,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,183,129,115,106,111,129,91,126,69,-10,55,164,62,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,5.43,3.79,3.38,3.34,3.57,4.19,3.01,3.92,2.37,0.09,2.10,4.84,2.44,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,6645,,,,6587,,,,6501,,,,8036,189,362,1225,2408,4048,5606,8072,8717,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,4800,,,,4684,,,,4337,,,,5499,102,189,1079,1608,2883,4117,4804,5444,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,1845,,,,1903,,,,2164,,,,2537,87,173,146,800,1165,1489,3268,3273,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,28%,,,,29%,,,,33%,,,,32%,46%,48%,12%,33%,29%,27%,40%,38%,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,144,,,,212,,,,327,,,,321,9,76,151,94,78,123,326,1062,,,,,,,,,,,,,,,,
Profit & Loss,Interest,1126,,,,1481,,,,1858,,,,2589,21,107,182,309,508,751,3104,3760,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,94,,,,151,,,,152,,,,196,3,8,35,60,61,77,366,413,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,768,,,,483,,,,481,,,,72,71,134,80,524,674,785,125,162,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,30%,,,,6%,,,,17%,,,,121%,36%,35%,60%,35%,33%,31%,59%,101%,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,546,,,,462,,,,415,,,,87,51,95,29,347,445,543,146,65,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,15.82,,,,14.07,,,,13.48,,,,3.71,,,,10.47,13.16,15.11,4.54,5.34,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,15%,,,,17%,,,,22%,,,,54%,63%,37%,82%,17%,18%,19%,44%,0%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,194,,,,194,,,,247,,,,329,162,171,171,194,194,194,329,329,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,3446,,,,4433,,,,5096,,,,3973,576,744,715,1474,2045,2570,3856,4032,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,14359,,,,19193,,,,23890,,,,26556,1075,1649,1889,3357,5395,10226,31185,34544,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,2580,,,,3294,,,,2646,,,,3893,252,1023,912,1021,1777,2258,4480,8175,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,20579,,,,27115,,,,31879,,,,34752,2065,3587,3688,6047,9411,15247,39849,47080,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,3436,,,,5576,,,,7822,,,,9842,755,1084,1139,1889,1681,3413,13602,13884,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,6745,,,,8536,,,,9344,,,,8771,50,84,8,6,1577,3501,8471,9598,,,,,,,,,,,,,,,,
Balance Sheet,Investments,687,,,,469,,,,663,,,,2370,141,202,201,433,201,395,2089,2514,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,9711,,,,12534,,,,14050,,,,13768,1119,2218,2340,3719,5952,7938,15687,21083,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,20579,,,,27115,,,,31879,,,,34752,2065,3587,3688,6047,9411,15247,39849,47080,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1947,,,,1797,,,,1068,,,,2769,33,206,18,319,927,1593,2370,3079,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-5093,,,,-3981,,,,-3629,,,,-4748,-390,-256,-18,-1446,-2643,-5284,-3439,-3265,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,3230,,,,2437,,,,2638,,,,1758,376,173,-30,1523,1640,3529,1365,301,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,84,,,,253,,,,78,,,,-220,19,123,-31,396,-76,-162,296,115,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,41,,,,55,,,,59,,,,46,137,825,235,98,68,57,45,55,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,584,218,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,41,,,,55,,,,59,,,,46,721,1043,235,98,68,57,45,55,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,-71,,,,-53,,,,-77,,,,-12,1721,1151,420,354,20,-43,-80,-107,,,,,,,,,,,,,,,,
Ratios,ROCE %,12%,,,,9%,,,,9%,,,,9%,,11%,8%,20%,18%,15%,10%,10%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,,,,,,,,73.22%,73.22%,73.22%,73.22%,73.22%,73.22%,73.22%,73.22%,73.22%,73.22%,73.22%,72.45%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,,,,,,,,,,0.64%,0.65%,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,0.52%,0.45%,0.43%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,,,,,,,,26.14%,26.13%,26.20%,26.22%,26.20%,26.20%,26.21%,26.20%,26.21%,26.27%,26.33%,27.11%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,,,,,,,,51397,50858,49991,49137,48512,48054,47666,47691,47415,47434,48073,48045,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,,,,,,,,,73.22%,73.22%,,,,73.22%,,,,73.22%,,,,72.45%,73.22%,73.22%,73.22%,73.22%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,,,,,,,,,,6.49%,4.78%,,,,0.00%,,,,0.00%,,,,0.00%,4.74%,3.47%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,,,,,,,,,,0.71%,0.67%,,,,0.57%,,,,0.57%,,,,0.43%,0.57%,0.65%,0.64%,0.64%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,,,,,,,,,19.58%,21.33%,,,,26.22%,,,,26.20%,,,,27.11%,21.47%,22.67%,26.14%,26.14%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,,,,,,,,,55929,58578,,,,49137,,,,47691,,,,48045,61510,58490,55018,51775
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
