Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2006,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,64,86,89,105,104,92,89,111,116,93,105,127,125,,,,,,,
Quarterly Results,Expenses,51,56,58,72,78,65,68,71,75,66,76,77,92,,,,,,,
Quarterly Results,Operating Profit,13,30,31,33,25,26,22,40,41,27,29,50,33,,,,,,,
Quarterly Results,OPM %,20%,35%,35%,31%,24%,29%,24%,36%,35%,29%,28%,39%,27%,,,,,,,
Quarterly Results,Other Income,1,1,25,0,3,0,1,1,1,2,2,2,6,,,,,,,
Quarterly Results,Interest,5,4,4,4,4,3,3,3,3,2,3,2,2,,,,,,,
Quarterly Results,Depreciation,4,4,4,4,4,4,4,3,3,3,3,3,3,,,,,,,
Quarterly Results,Profit before tax,5,23,48,26,21,19,16,35,35,23,26,46,34,,,,,,,
Quarterly Results,Tax %,49%,30%,34%,33%,30%,32%,30%,30%,26%,44%,24%,26%,16%,,,,,,,
Quarterly Results,Net Profit,2,19,34,22,19,16,14,31,31,17,24,41,35,,,,,,,
Quarterly Results,EPS in Rs,0.32,3.05,5.36,3.45,3.04,2.63,2.27,4.91,4.98,2.71,3.86,6.57,5.55,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,227,,,,384,,,,408,,,,450,189,270,264,288,317,313,94
Profit & Loss,Expenses,175,,,,265,,,,278,,,,311,105,207,206,217,248,238,96
Profit & Loss,Operating Profit,52,,,,119,,,,130,,,,139,84,63,58,72,69,74,-2
Profit & Loss,OPM %,23%,,,,31%,,,,32%,,,,31%,45%,23%,22%,25%,22%,24%,-2%
Profit & Loss,Other Income,1,,,,29,,,,2,,,,12,1,2,8,3,7,1,3
Profit & Loss,Interest,19,,,,15,,,,13,,,,9,4,31,29,25,22,23,20
Profit & Loss,Depreciation,16,,,,15,,,,14,,,,13,11,18,18,17,17,17,17
Profit & Loss,Profit before tax,19,,,,118,,,,105,,,,129,70,15,19,32,38,36,-36
Profit & Loss,Tax %,47%,,,,32%,,,,29%,,,,26%,34%,46%,44%,34%,36%,34%,-27%
Profit & Loss,Net Profit,2,,,,93,,,,93,,,,117,46,4,4,20,27,28,-40
Profit & Loss,EPS in Rs,0.33,,,,14.88,,,,14.79,,,,18.69,7.38,0.57,0.67,3.25,4.34,4.48,-6.37
Profit & Loss,Dividend Payout %,0%,,,,7%,,,,10%,,,,11%,27%,70%,59%,18%,14%,0%,0%
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,13,,,,13,,,,13,,,,13,13,13,13,13,13,13,13
Balance Sheet,Reserves,356,,,,449,,,,535,,,,642,139,338,339,357,379,394,355
Balance Sheet,Borrowings,214,,,,141,,,,108,,,,44,86,270,255,227,197,209,225
Balance Sheet,Other Liabilities,123,,,,155,,,,162,,,,181,57,106,121,140,122,122,113
Balance Sheet,Total Liabilities,705,,,,758,,,,818,,,,880,294,726,727,736,711,738,705
Balance Sheet,Fixed Assets,409,,,,455,,,,442,,,,433,205,454,440,427,416,436,423
Balance Sheet,CWIP,86,,,,43,,,,79,,,,116,49,70,77,81,92,91,87
Balance Sheet,Investments,84,,,,97,,,,116,,,,138,0,105,99,99,102,106,92
Balance Sheet,Other Assets,127,,,,162,,,,181,,,,193,40,96,111,130,101,106,102
Balance Sheet,Total Assets,705,,,,758,,,,818,,,,880,294,726,727,736,711,738,705
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,53,,,,100,,,,124,,,,116,61,62,61,75,59,75,5
Cash Flows,Cash from Investing Activity,1,,,,-17,,,,-37,,,,-19,-51,-17,-11,-8,-16,-3,-0
Cash Flows,Cash from Financing Activity,-31,,,,-79,,,,-52,,,,-84,3,-45,-47,-55,-56,-66,-2
Cash Flows,Net Cash Flow,23,,,,4,,,,35,,,,13,13,0,2,11,-13,6,3
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,15,,,,22,,,,17,,,,14,14,18,16,24,21,18,37
Ratios,Inventory Days,107,,,,77,,,,72,,,,79,61,,106,99,79,90,228
Ratios,Days Payable,784,,,,703,,,,739,,,,872,545,,565,721,453,490,1580
Ratios,Cash Conversion Cycle,-662,,,,-605,,,,-650,,,,-779,-470,18,-443,-597,-353,-382,-1316
Ratios,Working Capital Days,-42,,,,-4,,,,-18,,,,-28,-55,-41,-66,-79,-60,-48,-253
Ratios,ROCE %,6%,,,,22%,,,,19%,,,,20%,,,7%,9%,10%,10%,-3%
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.25%,0.40%,0.52%,0.33%,0.93%,0.94%,0.80%,0.70%,0.82%,0.76%,1.68%,1.75%,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,3.24%,3.58%,4.42%,4.22%,4.27%,3.60%,3.46%,2.96%,2.69%,1.44%,2.60%,3.96%,,,,,,,
Shareholding Pattern (Quarterly),Public,,21.53%,21.03%,20.08%,20.44%,19.80%,20.47%,20.75%,21.34%,21.49%,22.80%,20.72%,19.31%,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,62657,61490,59903,60806,61201,66235,67314,77579,84411,86677,84427,83459,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,74.99%,,,,74.99%,,,,74.98%,,,,74.98%,,,74.99%,74.99%,74.99%,74.99%,74.99%
Shareholding Pattern (Yearly),FIIs,0.40%,,,,0.33%,,,,0.70%,,,,1.75%,,,3.54%,1.28%,0.90%,0.90%,0.00%
Shareholding Pattern (Yearly),DIIs,2.12%,,,,4.22%,,,,2.96%,,,,3.96%,,,2.97%,9.86%,11.20%,10.46%,5.35%
Shareholding Pattern (Yearly),Public,22.49%,,,,20.44%,,,,21.34%,,,,19.31%,,,18.50%,13.88%,12.91%,13.65%,19.66%
Shareholding Pattern (Yearly),No. of Shareholders,61405,,,,60806,,,,77579,,,,83459,,,38282,27301,26326,26097,42848
,,,,,,,,,,,,,,,,,,,,,
