Section,,Dec 2022,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2023,Mar 2022,Sep 2022,Oct 2022,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,18.10,18.10,15.76,12.51,17.28,19.70,18.73,17.39,24.44,,,,,,,
Quarterly Results,Expenses,16.33,16.33,14.87,11.38,16.11,18.57,17.31,16.60,23.34,,,,,,,
Quarterly Results,Operating Profit,1.77,1.77,0.89,1.13,1.17,1.13,1.42,0.79,1.10,,,,,,,
Quarterly Results,OPM %,9.78%,9.78%,5.65%,9.03%,6.77%,5.74%,7.58%,4.54%,4.50%,,,,,,,
Quarterly Results,Other Income,0.15,0.15,0.13,0.05,-0.16,0.08,0.07,0.08,0.09,,,,,,,
Quarterly Results,Interest,0.41,0.41,0.32,0.44,0.50,0.56,0.40,0.42,0.21,,,,,,,
Quarterly Results,Depreciation,0.29,0.29,0.37,0.40,0.37,0.14,0.15,0.16,0.16,,,,,,,
Quarterly Results,Profit before tax,1.22,1.22,0.33,0.34,0.14,0.51,0.94,0.29,0.82,,,,,,,
Quarterly Results,Tax %,26.23%,26.23%,21.21%,47.06%,-14.29%,25.49%,25.53%,20.69%,40.24%,,,,,,,
Quarterly Results,Net Profit,0.91,0.91,0.25,0.17,0.16,0.38,0.70,0.24,0.49,,,,,,,
Quarterly Results,EPS in Rs,0.16,0.16,0.04,0.03,0.03,0.07,0.12,0.04,0.09,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,63.31,,,,80.27,52.78,,,,,,
Profit & Loss,Expenses,,,,,58.35,,,,75.84,49.13,,,,,,
Profit & Loss,Operating Profit,,,,,4.96,,,,4.43,3.65,,,,,,
Profit & Loss,OPM %,,,,,7.83%,,,,5.52%,6.92%,,,,,,
Profit & Loss,Other Income,,,,,0.17,,,,0.32,0.70,,,,,,
Profit & Loss,Interest,,,,,1.66,,,,1.59,1.29,,,,,,
Profit & Loss,Depreciation,,,,,1.44,,,,0.60,1.24,,,,,,
Profit & Loss,Profit before tax,,,,,2.03,,,,2.56,1.82,,,,,,
Profit & Loss,Tax %,,,,,26.60%,,,,29.30%,26.37%,,,,,,
Profit & Loss,Net Profit,,,,,1.49,,,,1.81,1.33,,,,,,
Profit & Loss,EPS in Rs,,,,,0.26,,,,0.31,0.23,,,,,,
Profit & Loss,Dividend Payout %,,,,,0.00%,,,,0.00%,0.00%,,,,,,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,11.50,,,,11.50,11.50,,,,,,
Balance Sheet,Reserves,,,,,6.94,,,,8.79,5.41,,,,,,
Balance Sheet,Borrowings,,,,,16.89,,,,8.82,12.42,,,,,,
Balance Sheet,Other Liabilities,,,,,13.48,,,,17.15,14.58,,,,,,
Balance Sheet,Total Liabilities,,,,,48.81,,,,46.26,43.91,,,,,,
Balance Sheet,Fixed Assets,,,,,8.86,,,,8.92,6.52,,,,,,
Balance Sheet,CWIP,,,,,0.11,,,,0.00,0.07,,,,,,
Balance Sheet,Investments,,,,,0.00,,,,0.00,0.42,,,,,,
Balance Sheet,Other Assets,,,,,39.84,,,,37.34,36.90,,,,,,
Balance Sheet,Total Assets,,,,,48.81,,,,46.26,43.91,,,,,,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,0.56,,,,10.08,3.32,,,,,,
Cash Flows,Cash from Investing Activity,,,,,-3.37,,,,-0.46,-2.12,,,,,,
Cash Flows,Cash from Financing Activity,,,,,2.82,,,,-9.66,-1.33,,,,,,
Cash Flows,Net Cash Flow,,,,,0.01,,,,-0.04,-0.14,,,,,,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,95.76,,,,93.22,88.24,,,,,,
Ratios,Inventory Days,,,,,169.65,,,,86.09,186.86,,,,,,
Ratios,Days Payable,,,,,85.03,,,,73.45,114.76,,,,,,
Ratios,Cash Conversion Cycle,,,,,180.38,,,,105.85,160.35,,,,,,
Ratios,Working Capital Days,,,,,143.67,,,,96.31,150.69,,,,,,
Ratios,ROCE %,,,,,11.85%,,,,12.88%,,,,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,72.08%,72.08%,72.08%,72.08%,72.08%,72.08%,70.42%,70.42%,72.08%,73.56%,72.26%,72.26%,,,
Shareholding Pattern (Quarterly),Public,,27.90%,27.92%,27.92%,27.92%,27.92%,27.92%,29.58%,29.58%,27.92%,26.43%,27.74%,27.74%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,699,1685,4437,11684,11297,15155,19467,19455,142,91,114,126,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,72.08%,,,,70.42%,72.08%,73.56%,,,73.43%,73.43%,73.56%
Shareholding Pattern (Yearly),Public,,,,,27.92%,,,,29.58%,27.92%,26.43%,,,26.57%,26.57%,26.43%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,11684,,,,19455,142,91,,,108,104,96
,,,,,,,,,,,,,,,,,
