Section,,Mar 2022,Jun 2022,Sep 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2021
Quarterly Results,Sales,35.37,18.42,18.45,19.25,14.22,5.91,6.73,39.39,11.26,14.33,6.88,6.49,,,,,
Quarterly Results,Expenses,32.62,18.78,17.72,17.38,13.00,5.69,6.29,34.26,10.38,10.48,4.71,9.66,,,,,
Quarterly Results,Operating Profit,2.75,-0.36,0.73,1.87,1.22,0.22,0.44,5.13,0.88,3.85,2.17,-3.17,,,,,
Quarterly Results,OPM %,7.77%,-1.95%,3.96%,9.71%,8.58%,3.72%,6.54%,13.02%,7.82%,26.87%,31.54%,-48.84%,,,,,
Quarterly Results,Other Income,0.15,1.03,0.75,0.00,0.00,0.11,0.22,1.43,1.30,0.94,0.54,3.66,,,,,
Quarterly Results,Interest,0.65,0.18,0.36,0.18,0.42,-0.02,0.22,0.91,0.21,0.57,0.40,0.37,,,,,
Quarterly Results,Depreciation,0.33,0.07,0.14,0.14,0.08,0.08,0.08,0.50,0.14,0.35,0.26,-0.11,,,,,
Quarterly Results,Profit before tax,1.92,0.42,0.98,1.55,0.72,0.27,0.36,5.15,1.83,3.87,2.05,0.23,,,,,
Quarterly Results,Tax %,21.88%,0.00%,6.12%,14.84%,11.11%,7.41%,5.56%,30.49%,16.39%,9.82%,12.68%,-139.13%,,,,,
Quarterly Results,Net Profit,1.56,0.43,1.12,1.25,0.71,0.35,0.38,3.57,1.52,3.48,1.79,0.54,,,,,
Quarterly Results,EPS in Rs,0.74,0.25,0.45,0.50,0.28,0.14,0.15,1.43,0.61,1.39,0.72,0.22,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,67.03,,,50.44,,,,66.25,,,,38.96,19.17,0.00,21.99,54.30,
Profit & Loss,Expenses,62.66,,,45.98,,,,59.24,,,,35.21,19.26,0.33,21.26,52.54,
Profit & Loss,Operating Profit,4.37,,,4.46,,,,7.01,,,,3.75,-0.09,-0.33,0.73,1.76,
Profit & Loss,OPM %,6.52%,,,8.84%,,,,10.58%,,,,9.63%,-0.47%,,3.32%,3.24%,
Profit & Loss,Other Income,0.31,,,0.75,,,,1.75,,,,6.43,-0.25,0.28,0.08,0.04,
Profit & Loss,Interest,1.27,,,0.72,,,,1.53,,,,1.56,0.00,0.00,0.30,0.98,
