Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,574,532,634,560,619,660,693,713,746,744,763,728,782,,,
Quarterly Results,Expenses,481,441,528,471,522,546,575,592,619,616,631,601,655,,,
Quarterly Results,Operating Profit,94,91,106,89,96,114,118,121,127,127,133,127,127,,,
Quarterly Results,OPM %,16%,17%,17%,16%,16%,17%,17%,17%,17%,17%,17%,17%,16%,,,
Quarterly Results,Other Income,6,1,2,4,4,0,1,1,0,0,4,7,10,,,
Quarterly Results,Interest,15,14,14,16,17,19,18,18,23,19,23,18,10,,,
Quarterly Results,Depreciation,33,31,32,33,35,35,37,38,40,40,43,44,47,,,
Quarterly Results,Profit before tax,53,48,63,44,49,61,64,67,65,69,71,71,81,,,
Quarterly Results,Tax %,29%,27%,25%,29%,27%,26%,25%,27%,29%,27%,27%,22%,27%,,,
Quarterly Results,Net Profit,37,35,47,31,35,45,48,48,46,50,52,56,59,,,
Quarterly Results,EPS in Rs,7.17,6.48,8.68,5.87,6.64,8.39,8.81,8.96,8.59,9.18,9.38,8.99,9.57,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1989,,,,2346,,,,2811,,,,3017,1624,1457,1549
Profit & Loss,Expenses,1653,,,,1959,,,,2330,,,,2502,1332,1230,1275
Profit & Loss,Operating Profit,336,,,,387,,,,482,,,,515,292,227,274
Profit & Loss,OPM %,17%,,,,17%,,,,17%,,,,17%,18%,16%,18%
Profit & Loss,Other Income,15,,,,10,,,,2,,,,21,3,16,23
Profit & Loss,Interest,53,,,,64,,,,79,,,,70,54,61,50
Profit & Loss,Depreciation,120,,,,130,,,,149,,,,174,76,94,102
Profit & Loss,Profit before tax,178,,,,203,,,,256,,,,292,165,89,146
Profit & Loss,Tax %,26%,,,,27%,,,,27%,,,,26%,41%,10%,25%
Profit & Loss,Net Profit,132,,,,148,,,,188,,,,217,98,80,110
Profit & Loss,EPS in Rs,25.01,,,,27.62,,,,34.65,,,,34.75,20.50,17.11,23.01
Profit & Loss,Dividend Payout %,8%,,,,9%,,,,9%,,,,9%,0%,0%,0%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,10,,,,11,,,,11,,,,12,9,9,9
Balance Sheet,Reserves,1013,,,,1157,,,,1337,,,,2738,676,759,869
Balance Sheet,Borrowings,746,,,,804,,,,891,,,,407,685,725,640
Balance Sheet,Other Liabilities,451,,,,491,,,,555,,,,578,376,336,410
Balance Sheet,Total Liabilities,2221,,,,2463,,,,2793,,,,3736,1745,1829,1929
Balance Sheet,Fixed Assets,1239,,,,1394,,,,1584,,,,1938,1014,1064,1127
Balance Sheet,CWIP,122,,,,76,,,,84,,,,195,49,68,60
Balance Sheet,Investments,11,,,,11,,,,41,,,,52,1,4,4
Balance Sheet,Other Assets,848,,,,982,,,,1084,,,,1552,682,693,737
