Section,,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,1054,1049,1069,1080,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,991,1008,990,1009,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,63,41,78,71,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,6%,4%,7%,7%,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,4,3,3,10,,,,,,,,,,,,,,,,
Quarterly Results,Interest,6,8,1,7,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,18,18,18,19,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,44,18,62,55,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,26%,27%,24%,26%,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,32,13,47,41,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.73,0.30,1.06,0.93,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,4252,1573,1278,1551,1928,2874,,,,,,,,,,,
Profit & Loss,Expenses,,,,3998,1494,1191,1418,1771,2657,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,254,79,87,134,157,217,,,,,,,,,,,
Profit & Loss,OPM %,,,,6%,5%,7%,9%,8%,8%,,,,,,,,,,,
Profit & Loss,Other Income,,,,20,10,18,8,11,14,,,,,,,,,,,
Profit & Loss,Interest,,,,22,54,51,59,44,55,,,,,,,,,,,
Profit & Loss,Depreciation,,,,73,21,21,29,31,45,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,180,14,33,54,93,131,,,,,,,,,,,
Profit & Loss,Tax %,,,,25%,33%,20%,25%,36%,35%,,,,,,,,,,,
Profit & Loss,Net Profit,,,,134,10,26,41,60,85,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,3.02,0.30,0.82,0.93,1.37,1.95,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,8%,0%,0%,0%,0%,0%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,44,32,32,44,44,44,,,,,,,,,,,
Balance Sheet,Reserves,,,,1286,138,177,282,342,429,,,,,,,,,,,
Balance Sheet,Borrowings,,,,147,419,490,535,712,605,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,798,127,181,200,340,339,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,2275,716,881,1059,1437,1415,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,1336,388,492,629,945,928,,,,,,,,,,,
Balance Sheet,CWIP,,,,11,2,18,6,7,72,,,,,,,,,,,
Balance Sheet,Investments,,,,186,0,0,0,0,0,,,,,,,,,,,
Balance Sheet,Other Assets,,,,742,326,370,425,486,415,,,,,,,,,,,
Balance Sheet,Total Assets,,,,2275,716,881,1059,1437,1415,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,312,28,63,67,189,251,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,-161,1,-110,-125,-300,-83,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,-135,-31,48,58,119,-152,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,17,-2,1,-1,8,15,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,11,35,62,47,32,13,,,,,,,,,,,
Ratios,Inventory Days,,,,48,32,34,47,48,28,,,,,,,,,,,
Ratios,Days Payable,,,,56,23,42,35,55,29,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,3,44,54,59,25,12,,,,,,,,,,,
Ratios,Working Capital Days,,,,21,34,43,39,19,7,,,,,,,,,,,
Ratios,ROCE %,,,,,,12%,15%,14%,17%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,64.76%,64.76%,64.76%,64.82%,,,,,,64.85%,64.85%,64.85%,64.88%,64.76%,64.76%,64.76%,64.76%,,,
Shareholding Pattern (Quarterly),FIIs,5.20%,5.22%,5.94%,5.31%,,,,,,0.00%,6.37%,6.18%,6.14%,6.04%,5.95%,5.89%,5.94%,,,
Shareholding Pattern (Quarterly),DIIs,2.35%,2.35%,2.28%,2.06%,,,,,,4.45%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,2.35%,,,
Shareholding Pattern (Quarterly),Public,27.69%,27.68%,27.03%,27.81%,,,,,,30.70%,28.76%,28.96%,28.99%,29.21%,29.26%,29.36%,26.96%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,89066,115588,109131,112203,,,,,,47493,45974,50703,54293,55413,55047,56498,65892,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,64.82%,,,57.99%,57.99%,58.22%,,,,64.88%,,,,64.76%,60.60%,65.23%,65.18%
Shareholding Pattern (Yearly),FIIs,,,,5.31%,,,0.00%,0.00%,0.00%,,,,6.14%,,,,5.94%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,,2.06%,,,5.48%,5.17%,5.22%,,,,0.00%,,,,2.35%,5.41%,4.50%,4.38%
Shareholding Pattern (Yearly),Public,,,,27.81%,,,36.53%,36.84%,36.56%,,,,28.99%,,,,26.96%,33.98%,30.27%,30.43%
Shareholding Pattern (Yearly),No. of Shareholders,,,,112203,,,6369,6321,6950,,,,54293,,,,65892,6892,16180,45488
,,,,,,,,,,,,,,,,,,,,,
