Section,,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,11.70,18.85,,,,,,,,,,,,,,,
Quarterly Results,Expenses,9.64,20.08,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,2.06,-1.23,,,,,,,,,,,,,,,
Quarterly Results,OPM %,17.61%,-6.53%,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.02,0.65,,,,,,,,,,,,,,,
Quarterly Results,Interest,0.08,0.15,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.17,0.18,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,1.83,-0.91,,,,,,,,,,,,,,,
Quarterly Results,Tax %,28.96%,-4.40%,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,1.30,-0.88,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.60,-0.40,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,61.75,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,55.40,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,6.35,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,10.28%,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,0.75,,,,,,,,,,,,,,,
Profit & Loss,Interest,,0.38,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,0.69,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,6.03,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,29.35%,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,4.27,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,1.96,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,0.00%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,21.84,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,59.54,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,4.12,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,22.62,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,108.12,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,13.14,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,0.00,,,,,,,,,,,,,,,
Balance Sheet,Investments,,7.73,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,87.25,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,108.12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,-31.13,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,-15.90,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,47.09,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,0.06,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,188.85,,,,,,,,,,,,,,,
Ratios,Inventory Days,,115.88,,,,,,,,,,,,,,,
Ratios,Days Payable,,81.98,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,222.76,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,381.31,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,71.45%,54.96%,71.43%,71.43%,71.44%,71.44%,71.44%,71.44%,71.44%,71.44%,71.46%,71.45%,,,,,
Shareholding Pattern (Quarterly),FIIs,0.74%,4.77%,0.00%,0.13%,0.13%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.79%,,,,,
Shareholding Pattern (Quarterly),Public,27.81%,40.27%,28.57%,28.44%,28.43%,28.51%,28.56%,28.56%,28.56%,28.56%,28.54%,27.76%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,18699,19968,1297,8925,13696,14497,15878,17015,19059,17783,16623,18554,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,54.96%,,,,71.44%,,,,71.44%,,,71.43%,71.43%,71.43%,71.43%,71.43%
Shareholding Pattern (Yearly),FIIs,,4.77%,,,,0.05%,,,,0.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,40.27%,,,,28.51%,,,,28.56%,,,28.57%,28.57%,28.58%,28.57%,28.57%
Shareholding Pattern (Yearly),No. of Shareholders,,19968,,,,14497,,,,17783,,,163,128,128,116,797
,,,,,,,,,,,,,,,,,,
